DATE,C_COMPILER,C_TUTORIAL,CSHARP_COMPILER,CSHARP_TUTORIAL,CPLUSPLUS_COMPILER,CPLUSPLUS_TUTORIAL,CALCULATORPLUS,CALENDARPLUS,COMPILERPLUS,CSS_TUTORIAL,DART_COMPILER,DART_TUTORIAL,GO_COMPILER,GO_TUTORIAL,HTML_TUTORIAL,JAVA_COMPILER,JAVA_TUTORIAL,JAVASCRIPT_COMPILER,JAVASCRIPT_TUTORIAL,KOTLIN_COMPILER,KOTLIN_TUTORIAL,MOTIVATIONPLUS,NOTESPLUS,PHP_COMPILER,PHP_TUTORIAL,PYTHON_COMPILER,PYTHON_TUTORIAL,RUBY_COMPILER,RUBY_TUTORIAL,SUCCESS_STORIES,SWIFT_COMPILER,SWIFT_TUTORIAL,TASKSPLUS,TIMEPLUS,TRAVEL_DIARIES,XML_TUTORIAL
28-05-2021,20,1,2,0,2,0,1,3,3,0,0,0,1,0,0,1,0,0,1,0,0,5,5,0,0,0,0,0,0,2,0,0,3,2,1,0
29-05-2021,16,40,0,0,0,5,0,28,0,0,0,0,0,0,0,0,4,1,0,1,10,20,10,0,1,0,0,0,0,1,0,0,0,0,0,0
30-05-2021,6,25,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4,0,1,0,0,0,1,1,0,5,1,1,6,1
31-05-2021,4,20,0,0,0,29,2,2,1,0,0,0,0,0,0,0,14,0,0,13,0,4,2,0,0,2,0,0,0,4,0,0,14,2,0,0
01-06-2021,8,10,1,0,6,0,12,1,8,0,4,0,0,0,0,6,4,0,0,0,0,8,1,0,15,0,19,0,0,5,0,0,9,1,1,0
02-06-2021,19,9,0,0,5,10,1,0,1,0,0,39,0,3,0,0,6,2,0,0,0,5,0,0,9,0,3,0,0,1,0,0,1,0,1,0
03-06-2021,2,11,2,0,8,7,5,6,8,8,0,0,0,0,9,2,0,0,7,0,0,2,0,0,0,6,8,0,0,1,0,0,1,13,0,2
04-06-2021,9,12,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,16,0,0,32,1,1,0,0,10,0,0,1,2,9,1
05-06-2021,12,9,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,37,0,0,0,0,0,0,0,14,0,0,0
06-06-2021,2,4,6,6,2,2,1,0,4,4,6,5,13,5,7,6,7,12,6,0,0,1,0,5,22,5,7,3,6,1,6,10,0,0,0,5
07-06-2021,28,28,6,8,7,4,3,4,7,3,3,31,5,3,3,4,4,10,10,0,0,22,1,3,14,6,8,3,14,0,5,7,16,0,0,19
08-06-2021,14,24,0,6,0,13,13,14,0,17,0,37,0,0,19,13,6,0,1,0,12,12,0,3,32,5,27,3,29,0,2,3,24,1,0,16
09-06-2021,8,9,1,1,0,11,20,16,1,0,0,3,0,2,0,1,21,0,1,0,1,58,1,0,24,6,6,0,0,15,7,0,32,0,0,1
10-06-2021,5,24,0,0,0,1,1,1,14,0,0,2,0,2,1,1,9,1,5,0,0,10,3,3,0,10,4,0,0,1,1,17,9,0,0,1
11-06-2021,4,20,21,20,21,24,21,0,1,0,0,2,0,4,0,8,8,0,11,0,0,7,3,13,71,61,1,0,0,5,0,2,10,1,0,0
