,main_headings,main_contents,links,image_urls,video_urls,sub_headings_h2,sub_headings_h3,sub_headings_h4,facts,definitions,explanations,codes,outputs,table_data,list_items
0,['C Programming Language Tutorial'],"['C language Tutorial with programming approach for beginners and professionals, helps you to understand the C language tutorial easily. Our C tutorial explains each topic with programs.']","['https://www.javatpoint.com/history-of-c-language', 'https://www.javatpoint.com/https://training.javatpoint.com/c-cpp-training.jsp', 'https://www.javatpoint.com/c-array', 'https://www.javatpoint.com/c-strings', 'https://www.javatpoint.com/functions-in-c', 'https://www.javatpoint.com/file-handling-in-c', 'https://www.javatpoint.com/cpp-tutorial', 'https://www.javatpoint.com/java-tutorial', 'https://www.javatpoint.com/c-sharp-tutorial', 'https://www.javatpoint.com/c-programming-language-tutorial', 'https://www.javatpoint.com/history-of-c-language', 'https://www.javatpoint.com/features-of-c-language', 'https://www.javatpoint.com/how-to-install-c', 'https://www.javatpoint.com/first-c-program', 'https://www.javatpoint.com/flow-of-c-program', 'https://www.javatpoint.com/printf-scanf', 'https://www.javatpoint.com/variables-in-c', 'https://www.javatpoint.com/data-types-in-c', 'https://www.javatpoint.com/keywords-in-c', 'https://www.javatpoint.com/c-operators', 'https://www.javatpoint.com/comments-in-c', 'https://www.javatpoint.com/escape-sequence-in-c', 'https://www.javatpoint.com/constants-in-c', 'https://www.javatpoint.com//test/c-fundamental-1', 'https://www.javatpoint.com/c-if-else', 'https://www.javatpoint.com/c-switch', 'https://www.javatpoint.com/c-loop', 'https://www.javatpoint.com/do-while-loop-in-c', 'https://www.javatpoint.com/while-loop-in-c', 'https://www.javatpoint.com/for-loop-in-c', 'https://www.javatpoint.com/c-break', 'https://www.javatpoint.com/c-continue', 'https://www.javatpoint.com/c-goto', 'https://www.javatpoint.com/type-casting-in-c', 'https://www.javatpoint.com//test/c-control-statements-1', 'https://www.javatpoint.com/functions-in-c', 'https://www.javatpoint.com/call-by-value-and-call-by-reference-in-c', 'https://www.javatpoint.com/recursion-in-c', 'https://www.javatpoint.com/storage-classes-in-c', 'https://www.javatpoint.com//test/c-functions-1', 'https://www.javatpoint.com/c-array', 'https://www.javatpoint.com/two-dimensional-array-in-c', 'https://www.javatpoint.com/passing-array-to-function-in-c', 'https://www.javatpoint.com//test/c-array-1', 'https://www.javatpoint.com/c-pointers', 'https://www.javatpoint.com/c-pointer-to-pointer', 'https://www.javatpoint.com/pointer-arithmetic-in-c', 'https://www.javatpoint.com//test/c-pointers-1', 'https://www.javatpoint.com/dynamic-memory-allocation-in-c', 'https://www.javatpoint.com/c-strings', 'https://www.javatpoint.com/c-gets-puts', 'https://www.javatpoint.com/c-string-functions', 'https://www.javatpoint.com/c-strlen', 'https://www.javatpoint.com/c-strcpy', 'https://www.javatpoint.com/c-strcat', 'https://www.javatpoint.com/c-strcmp', 'https://www.javatpoint.com/c-strrev', 'https://www.javatpoint.com/c-strlwr', 'https://www.javatpoint.com/c-strupr', 'https://www.javatpoint.com/c-strstr', 'https://www.javatpoint.com//test/c-string-1', 'https://www.javatpoint.com/c-math', 'https://www.javatpoint.com/structure-in-c', 'https://www.javatpoint.com/array-of-structures-in-c', 'https://www.javatpoint.com/nested-structure-in-c', 'https://www.javatpoint.com/c-union', 'https://www.javatpoint.com//test/c-structure-union-enums-1', 'https://www.javatpoint.com/file-handling-in-c', 'https://www.javatpoint.com/fprintf-fscanf-in-c', 'https://www.javatpoint.com/fputc-fgetc-in-c', 'https://www.javatpoint.com/fputs-fgets-in-c', 'https://www.javatpoint.com/fseek-in-c', 'https://www.javatpoint.com/rewind-in-c', 'https://www.javatpoint.com/ftell-in-c', 'https://www.javatpoint.com/c-preprocessor', 'https://www.javatpoint.com/c-macros', 'https://www.javatpoint.com/c-preprocessor-include', 'https://www.javatpoint.com/c-preprocessor-define', 'https://www.javatpoint.com/c-preprocessor-undef', 'https://www.javatpoint.com/c-preprocessor-ifdef', 'https://www.javatpoint.com/c-preprocessor-ifndef', 'https://www.javatpoint.com/c-preprocessor-if', 'https://www.javatpoint.com/c-preprocessor-else', 'https://www.javatpoint.com/c-preprocessor-error', 'https://www.javatpoint.com/c-preprocessor-pragma', 'https://www.javatpoint.com//test/c-preprocessor-1', 'https://www.javatpoint.com/command-line-arguments-in-c', 'https://www.javatpoint.com/test/c-programming', 'https://www.javatpoint.com/c-programs', 'https://www.javatpoint.com/fibonacci-series-in-c', 'https://www.javatpoint.com/prime-number-program-in-c', 'https://www.javatpoint.com/palindrome-program-in-c', 'https://www.javatpoint.com/factorial-program-in-c', 'https://www.javatpoint.com/armstrong-number-in-c', 'https://www.javatpoint.com/sum-of-digits-program-in-c', 'https://www.javatpoint.com/c-program-to-reverse-number', 'https://www.javatpoint.com/c-program-to-swap-two-numbers-without-using-third-variable', 'https://www.javatpoint.com/c-program-to-print-hello-without-semicolon', 'https://www.javatpoint.com/assembly-program-in-c', 'https://www.javatpoint.com/c-program-without-main', 'https://www.javatpoint.com/matrix-multiplication-in-c', 'https://www.javatpoint.com/c-program-to-convert-decimal-to-binary', 'https://www.javatpoint.com/c-program-to-convert-number-in-characters', 'https://www.javatpoint.com/c-program-to-print-alphabet-triangle', 'https://www.javatpoint.com/c-program-to-print-number-triangle', 'https://www.javatpoint.com/c-program-to-generate-fibonacci-triangle', 'https://www.javatpoint.com//test/c-programming', 'https://www.javatpoint.com//test/c-fundamental-1', 'https://www.javatpoint.com//test/c-fundamental-2', 'https://www.javatpoint.com//test/c-fundamental-3', 'https://www.javatpoint.com//test/c-fundamental-4', 'https://www.javatpoint.com//test/c-control-statements-1', 'https://www.javatpoint.com//test/c-control-statements-2', 'https://www.javatpoint.com//test/c-control-statements-3', 'https://www.javatpoint.com//test/c-control-statements-4', 'https://www.javatpoint.com//test/c-functions-1', 'https://www.javatpoint.com//test/c-functions-2', 'https://www.javatpoint.com//test/c-functions-3', 'https://www.javatpoint.com//test/c-functions-4', 'https://www.javatpoint.com//test/c-array-1', 'https://www.javatpoint.com//test/c-array-2', 'https://www.javatpoint.com//test/c-array-3', 'https://www.javatpoint.com//test/c-array-4', 'https://www.javatpoint.com//test/c-pointers-1', 'https://www.javatpoint.com//test/c-pointers-2', 'https://www.javatpoint.com//test/c-pointers-3', 'https://www.javatpoint.com//test/c-pointers-4', 'https://www.javatpoint.com//test/c-string-1', 'https://www.javatpoint.com//test/c-string-2', 'https://www.javatpoint.com//test/c-string-3', 'https://www.javatpoint.com//test/c-string-4', 'https://www.javatpoint.com//test/c-structure-union-enums-1', 'https://www.javatpoint.com//test/c-structure-union-enums-2', 'https://www.javatpoint.com//test/c-structure-union-enums-3', 'https://www.javatpoint.com//test/c-structure-union-enums-4', 'https://www.javatpoint.com//test/c-preprocessor-1', 'https://www.javatpoint.com//test/c-preprocessor-2', 'https://www.javatpoint.com//test/c-preprocessor-3', 'https://www.javatpoint.com//test/c-preprocessor-4', 'https://www.javatpoint.com/c-interview-questions', 'https://www.javatpoint.com/history-of-c-language', 'https://www.javatpoint.com/history-of-c-language']",['https://www.javatpoint.com/corebasic/images/c-training.png'],[],"['1) C as a mother language', '2) C as a system programming language', '3) C as a procedural language', '4) C as a structured programming language', '5) C as a mid-level programming language', 'C Program', 'C Programming Index', 'Prerequisite', 'Audience', 'Problem']",[],[],"['C programming is considered as the base for other programming languages, that is why it is known as mother language.', 'It can be defined by the following ways:', 'It provides the core concepts like the array, strings, functions, file handling, etc. that are being used in many languages like C++, Java, C#, etc.', ""It can't be used for internet programming like Java, .Net, PHP, etc."", 'A procedural language breaks the program into functions, data structures, etc.', 'C is a procedural language. In C, variables and function prototypes must be declared before being used.', 'In the C language, we break the program into parts using functions. It makes the program easier to understand and modify.', 'A Low-level language is specific to one machine, i.e., machine dependent. It is machine dependent, fast to run. But it is not easy to understand.', 'A High-Level language is not specific to one machine, i.e., machine independent. It is easy to understand.', 'In this tutorial, all C programs are given with C compiler so that you can quickly change the C program code.', 'File: main.c', 'A detailed description of above program is given in next chapters.', 'C Tutorial', 'C Control Statements', 'C Functions', 'C Pointers', 'C Dynamic Memory', 'C Structure Union', 'C File Handling', 'C Preprocessor', 'C Command Line', 'C Programming Test', 'C Programs', 'C Programming Test', 'C Fundamental Test', 'C Control Test', 'C Function Test', 'C Array Test', 'C Pointers Test', 'C String Test', 'C Structure Test', 'C Preprocessor Test', 'C Interview', 'Before learning C Programming, you must have the basic knowledge of Computer Fundamental.', 'Our C Programming tutorial is designed to help beginners and professionals.', 'We assure that you will not find any mistake in this C Language Tutorial. But if there is any mistake, please post the problem in the contact form.']","['The C Language is developed by Dennis Ritchie for creating system applications that directly interact with the hardware devices such as drivers, kernels, etc.', 'A procedure is known as a function, method, routine, subroutine, etc. A procedural language specifies a series of steps for the program to solve the problem.', 'A structured programming language is a subset of the procedural language. Structure means to break a program into parts or blocks so that it may be easy to understand. ']","['C language is considered as the mother language of all the modern programming languages because most of the compilers, JVMs, Kernels, etc. are written in C language, and most of the programming languages follow C syntax, for example, C++, Java, C#, etc.', 'A system programming language is used to create system software. C language is a system programming language because it can be used to do low-level programming (for example driver and kernel). It is generally used to create hardware devices, OS, drivers, kernels, etc. For example, Linux kernel is written in C.', 'C is considered as a middle-level language because it supports the feature of both low-level and high-level languages. C language program is converted into assembly code, it supports pointer arithmetic (low-level), but it is machine independent (a feature of high-level).']","['#include', 'int main() {', 'printf(""Hello C Programming\\n"");', 'return 0;']",[],[],"['|||What is C Language|||History of C |||Features of C|||How to install C|||First C Program|||Flow of C Program|||printf scanf|||Variables in C|||Data Types in c|||Keywords in c|||C Operators|||C Comments|||C Escape Sequence|||Constants in C|||C Fundamental Test||||||C if-else|||C switch|||C Loops|||C do-while loop|||C while loop|||C for loop|||C break|||C continue|||C goto|||Type Casting|||C Control Statement Test||||||What is function|||Call: Value & Reference|||Recursion in c|||Storage Classes|||C Functions Test||||||1-D Array|||2-D Array|||Array to Function|||C Array Test||||||C Pointers|||C Pointer to Pointer|||C Pointer Arithmetic|||C Pointers Test||||||Dynamic memory||||||String in C|||C gets() & puts()|||C String Functions|||C strlen()|||C strcpy()|||C strcat()|||C strcmp()|||C strrev()|||C strlwr()|||C strupr()|||C strstr()|||C String Test||||||C Math Functions||||||C Structure|||C Array of Structures|||C Nested Structure|||C Union|||C Structure Test||||||C File Handling|||C fprintf() fscanf()|||C fputc() fgetc()|||C fputs() fgets()|||C fseek()|||C rewind()|||C ftell()||||||C Preprocessor|||C Macros|||C #include|||C #define|||C #undef|||C #ifdef|||C #ifndef|||C #if|||C #else|||C #error|||C #pragma|||C Preprocessor Test||||||Command Line Arguments||||||C Programming Test||||||Top 10+ C Programs|||Fibonacci Series|||Prime Number|||Palindrome Number|||Factorial|||Armstrong Number|||Sum of digits|||Reverse Number|||Swap Number|||Print ""Hello"" without ;|||Assembly code in C|||C program without main|||Matrix Multiplication|||Decimal to Binary|||Number in Characters|||Alphabet Triangle|||Number Triangle|||Fibonacci Triangle||||||C Programming Test||||||C Fundamental 1|||C Fundamental 2|||C Fundamental 3|||C Fundamental 4||||||C Control Statement 1|||C Control Statement 2|||C Control Statement 3|||C Control Statement 4||||||C Functions 1|||C Functions 2|||C Functions 3|||C Functions 4||||||C Array 1|||C Array 2|||C Array 3|||C Array 4||||||C Pointers 1|||C Pointers 2|||C Pointers 3|||C Pointers 4||||||C String 1|||C String 2|||C String 3|||C String 4||||||C Structure 1|||C Structure 2|||C Structure 3|||C Structure 4||||||C Preprocessor 1|||C Preprocessor 2|||C Preprocessor 3|||C Preprocessor 4||||||C Interview Questions|||']"
1,['History of C Language'],['History of C language is interesting to know. Here we are going to discuss a brief history of the c language.'],"['https://www.javatpoint.com/features-of-c-language', 'https://www.javatpoint.com/c-programming-language-tutorial', 'https://www.javatpoint.com/features-of-c-language', 'https://www.javatpoint.com/c-programming-language-tutorial', 'https://www.javatpoint.com/features-of-c-language']",['https://static.javatpoint.com/cpages/images/dennis.jpg'],[],[],[],[],"['C programming language was developed in 1972 by Dennis Ritchie at bell laboratories of AT&T (American Telephone & Telegraph), located in the U.S.A.', ' Dennis Ritchie is known as the founder of the c language.', 'It was developed to overcome the problems of previous languages such as B, BCPL, etc.', 'Initially, C language was developed to be used in UNIX operating system. It inherits many features of previous languages such as B and BCPL.', ""Let's see the programming languages that were developed before C language.""]",[],[],[],[],['anguageYearDeveloped B&&&lgol1960International Grou&&&CPL1967Martin Richar&&&1970Ken Thompso&&&raditional C1972Dennis Ritchi&&& & R C1978Kernighan & Dennis Ritchi&&&NSI C1989ANSI Committe&&&NSI/ISO C1990ISO Committe&&&991999Standardization Committe'],[]
2,['Features of C Language'],['C is the widely used language. It provides many features that are given below.'],"['https://www.javatpoint.com/how-to-install-c', 'https://www.javatpoint.com/history-of-c-language', 'https://www.javatpoint.com/features-of-c-language', 'https://www.javatpoint.com/history-of-c-language', 'https://www.javatpoint.com/how-to-install-c']",['https://static.javatpoint.com/cpages/images/cfeatures.jpg'],[],[],[],[],"['C provides a lot of inbuilt functions that make the development fast.', 'It supports the feature of dynamic memory allocation. In C language, we can free the allocated memory at any time by calling the free() function. ', 'The compilation and execution time of C language is fast since there are lesser inbuilt functions and hence the lesser overhead.', 'C language is extensible because it can easily adopt new features.']","['C is a simple language in the sense that it provides a structured approach (to break the problem into parts), the rich set of library functions, data types, etc.', 'Unlike assembly language, c programs can be executed on different machines with some machine specific changes. Therefore, C is a machine independent language.', 'Although, C is intended to do low-level programming. It is used to develop system applications such as kernel, driver, etc. It also supports the features of a high-level language. That is why it is known as mid-level language.', 'C is a structured programming language in the sense that we can break the program into parts using functions. So, it is easy to understand and modify. Functions also provide code reusability.', 'C provides the feature of pointers. We can directly interact with the memory by using the pointers. We can use pointers for memory, structures, functions, array, etc.', 'In C, we can call the function within the function. It provides code reusability for every function. Recursion enables us to use the approach of backtracking.']",[],[],[],[],['|||Simple|||Machine Independent or Portable|||Mid-level programming language|||structured programming language|||Rich Library|||Memory Management|||Fast Speed|||Pointers|||Recursion|||Extensible|||']
3,['How to install C'],"['There are many compilers available for c and c++. You need to download any one. Here, we are going to use Turbo C++. It will work for both C and C++. To install the Turbo C software, you need to follow following steps.']","['https://www.javatpoint.com/first-c-program', 'https://www.javatpoint.com/features-of-c-language', 'https://www.javatpoint.com/https://static.javatpoint.com/cpages/software/tc3.zip', 'https://www.javatpoint.com/first-c-program', 'https://www.javatpoint.com/features-of-c-language', 'https://www.javatpoint.com/first-c-program']","['https://static.javatpoint.com/cpages/images/installc1.jpg', 'https://static.javatpoint.com/cpages/images/installc2.jpg', 'https://static.javatpoint.com/cpages/images/installc3.jpg', 'https://static.javatpoint.com/cpages/images/installc4.jpg', 'https://static.javatpoint.com/cpages/images/installc5.jpg', 'https://static.javatpoint.com/cpages/images/installc6.jpg', 'https://static.javatpoint.com/cpages/images/installc7.jpg', 'https://static.javatpoint.com/cpages/images/installc8.jpg']",[],[],[],[],"['You can download turbo c++ from many sites. download Turbo c++', 'Now, you need to create a new directory turboc inside the c: drive. Now extract the tc3.zip file in c:\\truboc directory.', 'Now, click on the install icon located inside the c:\\turboc', 'It will ask you to install c or not, press enter to install.', 'Change your drive to c, press c.', 'Press enter, it will look inside the c:\\turboc directory for the required files.', 'Select Start installation by the down arrow key then press enter.', 'Now double click on the tc icon located in c:\\TC\\BIN directory to write the c program.', 'Now it will showing following console.']","['In windows 7 or window 8, it will show a dialog block to ignore and close the application because fullscreen mode is not supported. Click on Ignore button.']","['Now C is installed, press enter to read documentation or close the software.\n\n4) Click on the tc application located inside c:\\TC\\BIN\nNow double click on the tc icon located in c:\\TC\\BIN directory to write the c program.\n\nIn windows 7 or window 8, it will show a dialog block to ignore and close the application because fullscreen mode is not supported. Click on Ignore button.\nNow it will showing following console.\n\n\n\nNext TopicFirst C Program\n\n\n\n← prev\nnext →\n\n']",[],[],[],['|||Download Turbo C++|||Create turboc directory inside c drive and extract the tc3.zip inside c:\\turboc|||Double click on install.exe file|||Click on the tc application file located inside c:\\TC\\BIN to write the c program|||']
4,['First C Program'],"['Before starting the abcd of C language, you need to learn how to write, compile and run the first c program.']","['https://www.javatpoint.com/compilation-process-in-c', 'https://www.javatpoint.com/how-to-install-c', 'https://www.javatpoint.com/compilation-process-in-c', 'https://www.javatpoint.com/how-to-install-c', 'https://www.javatpoint.com/compilation-process-in-c']",['https://static.javatpoint.com/cpages/images/cprogramoutput.jpg'],[],['How to compile and run the c program'],"['By menu', 'By shortcut']",[],"['To write the first c program, open the C console and write the following code:', '#include <stdio.h> includes the standard input output library functions. The printf() function is defined in stdio.h .', 'int main() The main() function is the entry point of every program in c language. ', 'printf() The printf() function is used to print data on the console.', 'return 0 The return 0 statement, returns execution status to the OS. The 0 value is used for successful execution and 1 for unsuccessful execution.', 'There are 2 ways to compile and run the c program, by menu and by shortcut.', 'Now click on the compile menu then compile sub menu to compile the c program.', 'Then click on the run menu then run sub menu to run the c program.', 'Or, press ctrl+f9 keys compile and run the program directly.', 'You will see the following output on user screen.', 'You can view the user screen any time by pressing the alt+f5 keys.', 'Now press Esc to return to the turbo c++ console.']",[],[],"['#include', 'int main(){', 'printf(""Hello C Language"");', 'return 0;']",[],[],[]
5,['Compilation process in c'],"['The compilation is a process of converting the source code into object code. It is done with the help of the compiler. The compiler checks the source code for the syntactical or structural errors, and if the source code is error-free, then it generates the object code.']","['https://www.javatpoint.com/printf-scanf', 'https://www.javatpoint.com/first-c-program', 'https://www.javatpoint.com/printf-scanf', 'https://www.javatpoint.com/first-c-program', 'https://www.javatpoint.com/printf-scanf']","['https://static.javatpoint.com/cpages/images/compilation-process-in-c.png', 'https://static.javatpoint.com/cpages/images/compilation-process-in-c2.png', 'https://static.javatpoint.com/cpages/images/compilation-process-in-c3.png']",[],['What is a compilation?'],"['Preprocessor', 'Compiler', 'Assembler', 'Linker']",[],"['The following are the phases through which our program passes before being transformed into an executable form:', ""Let's understand through an example."", 'Now, we will create a flow diagram of the above program:', 'In the above flow diagram, the following steps are taken to execute a program:']","['The c compilation process converts the source code taken as input into the object code or machine code. The compilation process can be divided into four steps, i.e., Pre-processing, Compiling, Assembling, and Linking.', 'The code which is expanded by the preprocessor is passed to the compiler. The compiler converts this code into assembly code. Or we can say that the C compiler converts the pre-processed code into assembly code.']","[""The preprocessor takes the source code as an input, and it removes all the comments from the source code. The preprocessor takes the preprocessor directive and interprets it. For example, if <stdio.h>, the directive is available in the program, then the preprocessor interprets the directive and replace this directive with the content of the 'stdio.h' file."", 'The source code is the code which is written in a text editor and the source code file is given an extension "".c"". This source code is first passed to the preprocessor, and then the preprocessor expands this code. After expanding the code, the expanded code is passed to the compiler.', ""The assembly code is converted into object code by using an assembler. The name of the object file generated by the assembler is the same as the source file. The extension of the object file in DOS is '.obj,' and in UNIX, the extension is 'o'. If the name of the source file is 'hello.c', then the name of the object file would be 'hello.obj'."", ""Mainly, all the programs written in C use library functions. These library functions are pre-compiled, and the object code of these library files is stored with '.lib' (or '.a') extension. The main working of the linker is to combine the object code of library files with the object code of our program. Sometimes the situation arises when our program refers to the functions defined in other files; then linker plays a very important role in this. It links the object code of these files to our program. Therefore, we conclude that the job of the linker is to link the object code of our program with the object code of the library files and other files. The output of the linker is the executable file. The name of the executable file is the same as the source file but differs only in their extensions. In DOS, the extension of the executable file is '.exe', and in UNIX, the executable file can be named as 'a.out'. For example, if we are using printf() function in a program, then the linker adds its associated code in an output file.""]","['#include', 'int main()', 'printf(""Hello javaTpoint"");', 'return 0;']",[],[],"['|||Preprocessor|||Compiler|||Assembler|||Linker||||||Firstly, the input file, i.e., hello.c, is passed to the preprocessor, and the preprocessor converts the source code into expanded source code. The extension of the expanded source code would be hello.i.|||The expanded source code is passed to the compiler, and the compiler converts this expanded source code into assembly code. The extension of the assembly code would be hello.s.|||This assembly code is then sent to the assembler, which converts the assembly code into object code.|||After the creation of an object code, the linker creates the executable file. The loader will then load the executable file for the execution.|||']"
6,['printf() and scanf() in C'],"['The printf() and scanf() functions are used for input and output in C language. Both functions are inbuilt library functions, defined in stdio.h (header file).']","['https://www.javatpoint.com/variables-in-c', 'https://www.javatpoint.com/compilation-process-in-c', 'https://www.javatpoint.com/variables-in-c', 'https://www.javatpoint.com/compilation-process-in-c', 'https://www.javatpoint.com/variables-in-c']",[],[],[],"['printf() function', 'scanf() function', 'Program to print cube of given number', 'Program to print sum of 2 numbers']",[],"['The printf() function is used for output. It prints the given statement to the console.', 'The syntax of printf() function is given below:', 'The format string can be %d (integer), %c (character), %s (string), %f (float) etc.', 'The scanf() function is used for input. It reads the input data from the console.', ""Let's see a simple example of c language that gets input from the user and prints the cube of the given number."", 'The scanf(""%d"",&number) statement reads integer number from the console and stores the given value in number variable.', 'The printf(""cube of number is:%d "",number*number*number) statement prints the cube of number on the console.', ""Let's see a simple example of input and output in C language that prints addition of 2 numbers.""]",[],[],"['printf(""format string"",argument_list);', 'scanf(""format string"",argument_list);', '#include', 'int main(){', 'int number;', 'printf(""enter a number:"");', 'scanf(""%d"",&number);', 'printf(""cube of number is:%d "",number*number*number);', 'return 0;', '#include', 'int main(){', 'int x=0,y=0,result=0;', 'printf(""enter first number:"");', 'scanf(""%d"",&x);', 'printf(""enter second number:"");', 'scanf(""%d"",&y);', 'result=x+y;', 'printf(""sum of 2 numbers:%d "",result);', 'return 0;']","['enter a number:5', 'cube of number is:125', 'enter first number:9', 'enter second number:9', 'sum of 2 numbers:18']",[],[]
7,['Variables in C'],"['A variable is a name of the memory location. It is used to store data. Its value can be changed, and it can be reused many times.']","['https://www.javatpoint.com/data-types-in-c', 'https://www.javatpoint.com/printf-scanf', 'https://www.javatpoint.com/data-types-in-c', 'https://www.javatpoint.com/printf-scanf', 'https://www.javatpoint.com/data-types-in-c']",[],[],"['Rules for defining variables', 'Types of Variables in C']","['Local Variable', 'Global Variable', 'Static Variable', 'Automatic Variable', 'External Variable']",[],"['It is a way to represent memory location through symbol so that it can be easily identified.', ""Let's see the syntax to declare a variable:"", 'Here, a, b, c are variables. The int, float, char are the data types.', 'We can also provide values while declaring the variables as given below:', 'Valid variable names:', 'Invalid variable names:', 'There are many types of variables in c:', 'A variable that is declared inside the function or block is called a local variable.', 'It must be declared at the start of the block.', 'You must have to initialize the local variable before it is used.', 'It must be declared at the start of the block.', 'A variable that is declared with the static keyword is called static variable.', 'It retains its value between multiple function calls.', 'We can share a variable in multiple C source files by using an external variable. To declare an external variable, you need to use extern keyword.']","['A variable that is declared outside the function or block is called a global variable. Any function can change the value of the global variable. It is available to all the functions.', 'If you call this function many times, the local variable will print the same value for each function call, e.g, 11,11,11 and so on. But the static variable will print the incremented value in each function call, e.g. 11, 12, 13 and so on.', 'All variables in C that are declared inside the block, are automatic variables by default. We can explicitly declare an automatic variable using auto keyword.']","['The example of declaring the variable is given below:\n\nint a;\nfloat b;\nchar c;\n\nHere, a, b, c are variables. The int, float, char are the data types.\nWe can also provide values while declaring the variables as given below:\n\nint a=10,b=20;//declaring 2 variable of integer type\nfloat f=20.8;\nchar c=\'A\';\n\nRules for defining variables\n\nA variable can have alphabets, digits, and underscore.\nA variable name can start with the alphabet, and underscore only. It can\'t start with a digit.\nNo whitespace is allowed within the variable name.\nA variable name must not be any reserved word or keyword, e.g. int, float, etc.\n\nValid variable names:\n\nint a;\nint _ab;\nint a30;\n\nInvalid variable names:\n\nint 2;\nint a b;\nint long;\n\nTypes of Variables in C\nThere are many types of variables in c:\n\nlocal variable\nglobal variable\nstatic variable\nautomatic variable\nexternal variable\n\nLocal Variable\nA variable that is declared inside the function or block is called a local variable.\nIt must be declared at the start of the block.\n\nvoid function1(){\nint x=10;//local variable\n}\n\nYou must have to initialize the local variable before it is used.\nGlobal Variable\nA variable that is declared outside the function or block is called a global variable. Any function can change the value of the global variable. It is available to all the functions.\nIt must be declared at the start of the block.\n\nint value=20;//global variable\nvoid function1(){\nint x=10;//local variable\n}\n\nStatic Variable\nA variable that is declared with the static keyword is called static variable.\nIt retains its value between multiple function calls.\n\nvoid function1(){\nint x=10;//local variable\nstatic int y=10;//static variable\nx=x+1;\ny=y+1;\nprintf(""%d,%d"",x,y);\n}\n\nIf you call this function many times, the local variable will print the same value for each function call, e.g, 11,11,11 and so on. But the static variable will print the incremented value in each function call, e.g. 11, 12, 13 and so on.\nAutomatic Variable\nAll variables in C that are declared inside the block, are automatic variables by default. We can explicitly declare an automatic variable using auto keyword.\n\n\nvoid main(){\nint x=10;//local variable (also automatic)\nauto int y=20;//automatic variable\n}\n\nExternal Variable\nWe can share a variable in multiple C source files by using an external variable. To declare an external variable, you need to use extern keyword.\nmyfile.h\n\nextern int x=10;//external variable (also global)\n\nprogram1.c\n\n#include ""myfile.h""\n#include <stdio.h>\nvoid printValue(){\n    printf(""Global variable: %d"", global_variable);\n}\n\n\n\nNext TopicData Types in C\n\n\n\n← prev\nnext →\n\n']","['type variable_list;', 'float b;', 'int a=10,b=20;//declaring 2 variable of integer type', 'float f=20.8;', ""char c='A';"", 'int _ab;', 'int a30;', 'int a b;', 'int long;', 'void function1(){', 'int x=10;//local variable', 'int value=20;//global variable', 'void function1(){', 'int x=10;//local variable', 'void function1(){', 'int x=10;//local variable', 'static int y=10;//static variable', 'printf(""%d,%d"",x,y);', 'void main(){', 'int x=10;//local variable (also automatic)', 'auto int y=20;//automatic variable', 'extern int x=10;//external variable (also global)', '#include ""myfile.h""', '#include <stdio.h>', 'void printValue(){', 'printf(""Global variable: %d"", global_variable);']",[],[],"[""|||A variable can have alphabets, digits, and underscore.|||A variable name can start with the alphabet, and underscore only. It can't start with a digit.|||No whitespace is allowed within the variable name.|||A variable name must not be any reserved word or keyword, e.g. int, float, etc.|||&&&|||local variable|||global variable|||static variable|||automatic variable|||external variable|||""]"
8,['Data Types in C'],"['A data type specifies the type of data that a variable can store such as integer, floating, character, etc.']","['https://www.javatpoint.com/keywords-in-c', 'https://www.javatpoint.com/variables-in-c', 'https://www.javatpoint.com/keywords-in-c', 'https://www.javatpoint.com/variables-in-c', 'https://www.javatpoint.com/keywords-in-c']",['https://static.javatpoint.com/cpages/images/c-data-types.jpg'],[],['Basic Data Types'],[],[],"[' There are the following data types in C language.', 'The basic data types are integer-based and floating-point based. C language supports both signed and unsigned literals.', 'The memory size of the basic data types may change according to 32 or 64-bit operating system.', ""Let's see the basic data types. Its size is given according to 32-bit architecture.""]",[],[],[],[],"['ypesData Type&&&asic Data Typeint, char, float, doubl&&&erived Data Typearray, pointer, structure, unio&&&numeration Data Typeenu&&&oid Data Typevoi', 'ata TypesMemory SizeRang&&&har1 byte−128 to 12&&&igned char1 byte−128 to 12&&&nsigned char1 byte0 to 25&&&hort2 byte−32,768 to 32,76&&&igned short2 byte−32,768 to 32,76&&&nsigned short2 byte0 to 65,53&&&nt2 byte−32,768 to 32,76&&&igned int2 byte−32,768 to 32,76&&&nsigned int2 byte0 to 65,53&&&hort int2 byte−32,768 to 32,76&&&igned short int2 byte−32,768 to 32,76&&&nsigned short int2 byte0 to 65,53&&&ong int4 byte-2,147,483,648 to 2,147,483,64&&&igned long int4 byte-2,147,483,648 to 2,147,483,64&&&nsigned long int4 byte0 to 4,294,967,29&&&loat4 byt&&&ouble8 byt&&&ong double10 byt']",[]
9,['Keywords in C'],"['A keyword is a reserved word. You cannot use it as a variable name, constant name, etc. There are only 32 reserved words (keywords) in the C language.']","['https://www.javatpoint.com/c-identifiers', 'https://www.javatpoint.com/data-types-in-c', 'https://www.javatpoint.com/c-identifiers', 'https://www.javatpoint.com/data-types-in-c', 'https://www.javatpoint.com/c-identifiers']",[],[],[],[],[],"['A list of 32 keywords in the c language is given below:', 'We will learn about all the C language keywords later.']",[],[],[],[],['utobreakcasecharconstcontinuedefaultd&&&ouble else enum extern floatforgotoi&&&nt longregisterreturnshortsignedsizeofstati&&&tructswitchtypedefunionunsignedvoidvolatilewhil'],[]
