,main_headings,main_contents,links,image_urls,video_urls,sub_headings_h2,sub_headings_h3,sub_headings_h4,facts,definitions,explanations,codes,outputs,table_data,list_items
0,['Go Language Tutorial'],['Go tutorial provides basic and advanced concepts of Go programming. Our Go language tutorial is designed for beginners and professionals both.'],"['https://www.javatpoint.com/go-installation', 'https://www.javatpoint.com/go-tutorial', 'https://www.javatpoint.com/go-installation', 'https://www.javatpoint.com/go-hello-world-example', 'https://www.javatpoint.com/go-data-types', 'https://www.javatpoint.com/go-package-import-visibility', 'https://www.javatpoint.com/go-if-else', 'https://www.javatpoint.com/go-switch', 'https://www.javatpoint.com/go-for', 'https://www.javatpoint.com/go-for-range', 'https://www.javatpoint.com/go-goto', 'https://www.javatpoint.com/go-break', 'https://www.javatpoint.com/go-continue', 'https://www.javatpoint.com/go-comments', 'https://www.javatpoint.com/go-constants', 'https://www.javatpoint.com/go-type-casting', 'https://www.javatpoint.com/go-functions', 'https://www.javatpoint.com/go-recursion', 'https://www.javatpoint.com/go-closure', 'https://www.javatpoint.com/go-array', 'https://www.javatpoint.com/go-slice', 'https://www.javatpoint.com/go-command-line-arguments', 'https://www.javatpoint.com/go-string', 'https://www.javatpoint.com/go-regex', 'https://www.javatpoint.com/go-struct', 'https://www.javatpoint.com/go-interface', 'https://www.javatpoint.com/go-pointer', 'https://www.javatpoint.com/go-reflect', 'https://www.javatpoint.com/go-rune', 'https://www.javatpoint.com/go-map', 'https://www.javatpoint.com/go-error', 'https://www.javatpoint.com/go-recover', 'https://www.javatpoint.com/go-defer', 'https://www.javatpoint.com/go-panic', 'https://www.javatpoint.com/go-concurrency', 'https://www.javatpoint.com/go-race', 'https://www.javatpoint.com/go-mutex', 'https://www.javatpoint.com/go-atomic-variable', 'https://www.javatpoint.com/go-channel', 'https://www.javatpoint.com/go-worker-pools', 'https://www.javatpoint.com/go-time', 'https://www.javatpoint.com/go-epoch', 'https://www.javatpoint.com/go-tickers', 'https://www.javatpoint.com/go-file-io', 'https://www.javatpoint.com/go-http-server', 'https://www.javatpoint.com/go-url-parsing', 'https://www.javatpoint.com/go-rest-api', 'https://www.javatpoint.com/go-base64-encoding', 'https://www.javatpoint.com/go-random-number', 'https://www.javatpoint.com/go-sorting', 'https://www.javatpoint.com/go-json', 'https://www.javatpoint.com/go-programming-interview-questions', 'https://www.javatpoint.com/go-installation', 'https://www.javatpoint.com/go-installation']",['https://static.javatpoint.com/go/images/go-tutorial.jpg'],[],"['Go Language Introduction', 'Go Example', 'Go Language Index', 'Prerequisite', 'Audience', 'Problem']",[],[],"['Go is a programming language which is developed by Google with the vision of fast development and high performance. ', 'The basic structure of a Go programs consists of following parts:-', ""Let's see a simple example of Go programming language."", 'A complete explanation of ""Go Hello World example"" is given in next pages.', 'Go Language', 'Go Controls', 'Go Functions', 'Go Strings', 'Go Concurrency', 'Interview Questions', 'To learn Go, you must have the basic knowledge of C programming.', 'Our Go Tutorial is designed to help beginners and professionals both.', 'You will not find any problem in this Go tutorial. However, if there is any mistake, please post the problem in the contact form.']",[],"['Our Go Tutorial includes all topics of Go language such as what is go, how to install go, go if-else, go for, go for-range, go break, go continue, go struct, go interface, go ruin, go map, go string, go array, go http server, go rest api, go mutex etc.', 'Go is a programming language which is developed by Google in 2007 by Robert Griesemer, Rob Pike, and Ken Thompson. Go is a statically-typed language. Go has a similar syntax to C. It is developed with the vision of high performance and fast development. Go provides type safety, garbage collection, dynamic-typing capability, many advanced built-in types such as variable length arrays and key-value maps etc.']","['package main', 'import ""fmt""', 'func main() {', 'fmt.Println(""Hello, World"")']","['Hello, World']",[],"['||| Go is modern, fast and comes with a powerful standard library.|||Go has built-in concurrency.|||Go uses interfaces as the building blocks of code reusability.||||||Package Declaration|||Import Packages|||Variables|||Statements and Expressions|||Functions|||Comments||||||Go Tutorial|||Go Installation|||Go Hello World|||Go Data Types|||Go Package||||||Go if-else|||Go Switch|||Go For|||Go For Range|||Go Goto|||Go Break|||Go Continue|||Go Comments|||Go Constants|||Go Type Casting||||||Go Functions|||Go Recursion|||Go Closure||||||Go Array|||Go Slice|||Go Command Args||||||Go String|||Go Regex||||||Go Struct|||Go Interface|||Go Pointer|||Go Reflect|||Go Rune||||||Go Map||||||Go Error|||Go Recover|||Go Defer|||Go Panic||||||Go Concurrency|||Go Race|||Go Mutex|||Go Atomic Variable|||Go Channel|||Go Worker Pools||||||Go Time|||Go Epoch|||Go Tickers||||||Go File I/O|||Go HTTP Server|||Go URL Parsing|||Go Rest API|||Go Base64 Encoding|||Go Random Number|||Go Sorting|||Go JSON||||||Go Interview Questions|||']"
1,['Go Installation'],"['You can install Go programming on different operating systems like Windows, Linux, Mac etc. This is a link of binary distribution of the Go programming for FreeBSD (release 8-STABLE and above), Linux, Mac OS X (10.8 and above), and Windows operating systems for the 32-bit (386) and 64-bit (amd64) architectures.']","['https://www.javatpoint.com/go-hello-world-example', 'https://www.javatpoint.com/what-is-go', 'https://www.javatpoint.com/go-hello-world-example', 'https://www.javatpoint.com/what-is-go', 'https://www.javatpoint.com/go-hello-world-example']","['https://static.javatpoint.com/go/images/go-installation1.png', 'https://static.javatpoint.com/go/images/go-installation2.png', 'https://static.javatpoint.com/go/images/go-installation3.png', 'https://static.javatpoint.com/go/images/go-installation4.png', 'https://static.javatpoint.com/go/images/go-installation5.png']",[],[],"['In Linux', 'In Windows', 'In Mac OS X ']",[],"['If you do not found configuration of your combination, try installing from source or installing gccgo instead of gc.', 'Go Installation in Ubuntu', 'Step 1: Run the command sudo apt-get install golang', ""Step 2: Press 'y' when you asked"", 'Now, Go installation is done, You can check the version by the command: go version.']",[],[],"['tar -C /usr/local -xzf go$VERSION.$OS-$ARCH.tar.gz', 'export PATH=$PATH:/usr/local/go/bin']",[],[],"['|||We should choose the required archive file for installation. For Example, if we are installing Go version 1.6.1 for 64-bit x86 on Linux, the archive would be go1.2.1.linux-amd64.tar.gz.|||Now download the archive and extract it in /usr/local directory. We need to create a Go tree in /usr/local/go directory through following command:||||||To set path, add /usr/local/go/bin to the PATH environment variable. We can do this by adding following line to the command line:||||||Choose the required archive file for Windows installation.|||Download zip file and extract it into the directory (Like c:\\Go).|||If you have choosed a different directory other than c:\\Go, you must set the GOROOT environment variable to your chosen path.|||Add the bin subdirectory of your Go root (for example, c:\\Go\\bin) to your PATH environment variable.||||||Choose the required archive file for Mac installation.|||Open the downloaded package file, and follow the prompts to install the Go tools. The package installs the Go distribution to /usr/local/go.|||The package should locate the /usr/local/go/bin directory to your PATH environment variable. You may need to restart the opened terminal sessions to make the change.|||']"
2,['Go Hello World Example'],['Output:'],"['https://www.javatpoint.com/go-data-types', 'https://www.javatpoint.com/go-installation', 'https://www.javatpoint.com/go-data-types', 'https://www.javatpoint.com/go-installation', 'https://www.javatpoint.com/go-data-types']",[],[],[],['How to run Go program:'],[],"['The First line is the package deceleration, here the name of the package is main. Package deceleration is mandatory for all the go programs.', 'The next line is an import statement, here we are importing ""fmt"". The compiler will include the files of the package fmt.', 'The next line is a main() function, all execution begins with the main function.', 'The next line fmt.Println(...) is a function available in Go. This function will print the message ""Hello, World"" on the screen.', 'We have saved the program as Hello.go. To run the program, open the command prompt and write:']",[],[],"['package main', 'import ""fmt""', 'func main() {', 'fmt.Println(""Hello, World"")', 'go run Hello.go']","['Hello, World', 'Hello, World']",[],[]
3,['Go Data Types'],"['Variables can be of different types like int, float, struct, slice or it can be of the interface.']","['https://www.javatpoint.com/go-package-import-visibility', 'https://www.javatpoint.com/go-hello-world-example', 'https://www.javatpoint.com/go-package-import-visibility', 'https://www.javatpoint.com/go-hello-world-example', 'https://www.javatpoint.com/go-package-import-visibility']",[],[],['Go Construct and Data Types'],[],[],"['The general form for declaring a variable uses the keyword var:', 'GO Simple Data Type Example', 'Go file has a name or an identifier which is case sensitive like C. ', 'For example: a, ax123, i etc.', 'The _ identifier is special. It is called blank identifier. It may be used in variable declarations.', 'It is like normal identifiers but its value is discarded, so it cannot be used anymore in the code.', 'It may happen that the variable, type, or function has no name and even enhance flexibility so it is called anonymous. ', 'These are the 25 keywords for Go-code:', 'Programs consist of keywords, constants, variables, operators, types and functions.', 'The following delimiters are used in constructs such as parentheses ( ), brackets [ ] and braces { }.', 'The following punctuation characters . , ; : and ... are used.']","['when a variable is declared with var it automatically initializes it to the zero-value defined for its type. A type defines the set of values and the set of operations that can take place on those values.', 'The Go source code is stored in .go file. The name of the file consists of lowercase letters. If the file name has several parts, it should be separated by underscore ""_"" .']",[],"['var identifier type', 'var a int', 'var b bool', 'var str string', 'package main', 'import ""fmt""', 'func main() {', 'var i int', 'var f float64', 'var b bool', 'var s string', 'fmt.Printf(""%T %T %T %T\\n"",i,f,b,s) // Prints type of the variable', 'fmt.Printf(""%v   %v      %v  %q     \\n"", i, f, b, s) //prints initial value of the variable']","['int float64 bool string\n0   0           false  """"']","['break|||default|||func|||interface|||select&&&case|||defer|||go|||map|||struct&&&chan|||else|||goto|||package|||switch&&&const|||fallthrough|||If|||range|||type&&&continue|||for|||import|||return|||var', 'append|||bool|||byte|||cap|||close|||complex|||complex64|||complex128|||uint16&&&copy|||false|||float32|||float64|||imag|||int|||int8|||int16|||uint32&&&int32|||int64|||iota|||len|||make|||new|||nil|||panic|||uint64&&&print|||println|||real|||recover|||string|||true|||uint|||uint8|||Uintptr']",[]
4,"['Go Package, import and visibility']","['Packages are used to categorize our program so that it can be easy to maintain. Every go-file belongs to some package. Each Go application must have ""main"" package so that it can be compiled. ']","['https://www.javatpoint.com/go-if-else', 'https://www.javatpoint.com/go-data-types', 'https://www.javatpoint.com/go-if-else', 'https://www.javatpoint.com/go-data-types', 'https://www.javatpoint.com/go-if-else']",[],[],"['Packages', 'Import', 'Visibility']",[],[],"['An application can consist of different packages. Many different .go file can belong to one main package. ', 'We can save Go program by any name but it must have main package. The package name should be written in lowercase letters.', 'If a package is changed and recompiled, all the client programs that use this package must be recompiled too!', 'A Go program is linked to different packages through the import keyword.', 'We can import multiple packages by a separate statement like:', 'We can also use shorter way like : ', 'It can be even shorter:', 'An identifier can be variable, constant, function, type or struct field. We can declare identifier in lowercase or uppercase letters. ', 'The dot . Operator is used to access the identifier e.g. pack.Age where pack is the package name and Age is the identifier.']","['The package names are enclosed within double quotes """". Import loads the public declarations from the compiled package, it does not insert the source code.', 'If we declare identifier in lowercase letter, it will be visible within the package only. But if we declare package in uppercase letter, it will be visible within and outside the package which is also known as exported.']",[],"['import ""fmt""', 'import ""os""', 'import ""fmt""; import ""os""', 'import (', '""fmt""', 'import(""fmt""; ""os""']",[],[],[]
5,['Go If'],"['The if statement in Go is used to test the condition. If it evaluates to true, the body of the statement is executed. If it evaluates to false, if block is skipped.']","['https://www.javatpoint.com/go-switch', 'https://www.javatpoint.com/go-package-import-visibility', 'https://www.javatpoint.com/go-switch', 'https://www.javatpoint.com/go-package-import-visibility', 'https://www.javatpoint.com/go-switch']",[],[],"['Go if-else', 'Go If else-if chain', 'Go Nested if-else']",[],[],"['Go if example', 'The if-else is used to test the condition. If condition is true, if block is executed otherwise else block is executed.', 'Go if-else example', 'Go If-else example: with input from user', 'The Go if else-if chain is used to execute one statement from multiple conditions. ', 'We can have N numbers of if-else statement. It has no limit. ', 'Go If else-if chain Example', 'We can also nest the if-else statement to execute one statement from multiple conditions.', 'nested if-else example']",['The curly braces{ } are mandatory in if-else statement even if you have one statement in it. The else-if and else keyword must be on the same line after the closing curly brace }.'],[],"['if(boolean_expression) {', '/* statement(s) got executed only if the expression results in true */', 'package main', 'import ""fmt""', 'func main() {', '/* local variable definition */', 'var a int = 10', '/* check the boolean condition using if statement */', 'if( a % 2==0 ) {      /* if condition is true then print the following', '*/ fmt.Printf(""a is even number"" )', 'if(boolean_expression) {', '/* statement(s) got executed only if the expression results in true */', '} else {', '/* statement(s) got executed only if the expression results in false */', 'package main', 'import ""fmt""', 'func main() {', '/* local variable definition */', 'var a int = 10;', '/* check the boolean condition */', 'if ( a%2 == 0 ) {', '/* if condition is true then print the following */', 'fmt.Printf(""a is even\\n"");', '} else {', '/* if condition is false then print the following */', 'fmt.Printf(""a is odd\\n"");', 'fmt.Printf(""value of a is : %d\\n"", a);', 'func main() {', 'fmt.Print(""Enter number: "")', 'var input int', 'fmt.Scanln(&input)', 'fmt.Print(input)', '/* check the boolean condition */', 'if( input % 2==0 ) {', '/* if condition is true then print the following */', 'fmt.Printf("" is even\\n"" );', '} else {', '/* if condition is false then print the following */', 'fmt.Printf("" is odd\\n"" );', 'package main', 'import ""fmt""', 'func main() {', 'fmt.Print(""Enter text: "")', 'var input int', 'fmt.Scanln(&input)', 'if (input < 0 || input > 100) {', 'fmt.Print(""Please enter valid no"")', '} else if (input >= 0 && input < 50  ) {', 'fmt.Print("" Fail"")', '} else if (input >= 50 && input < 60) {', 'fmt.Print("" D Grade"")', '} else if (input >= 60 && input < 70  ) {', 'fmt.Print("" C Grade"")', '} else if (input >= 70 && input < 80) {', 'fmt.Print("" B Grade"")', '} else if (input >= 80 && input < 90  ) {', 'fmt.Print("" A Grade"")', '} else if (input >= 90 && input <= 100) {', 'fmt.Print("" A+ Grade"")', 'if( boolean_expression 1) {', '/* statement(s) got executed only if the expression 1 results in true */', 'if(boolean_expression 2) {', '/* statement(s) got executed only if the expression 2 results in true */', 'package main', 'import ""fmt""', 'func main() {', '/* local variable definition */', 'var x int = 10', 'var y int = 20', '/* check the boolean condition */', 'if( x >=10 ) {', '/* if condition is true then check the following */', 'if( y >= 10 )  {', '/* if condition is true then print the following */', 'fmt.Printf(""Inside nested If Statement \\n"" );', 'fmt.Printf(""Value of x is : %d\\n"", x );', 'fmt.Printf(""Value of y is : %d\\n"", y );']","['a is even number', 'a is even\nvalue of a is : 10', 'Enter number: 10\n10 is even', 'Enter text: 84\n A Grade', 'Inside nested If Statement \nValue of x is : 10\nValue of y is : 20']",[],[]
6,['Go switch'],['The Go switch statement executes one statement from multiple conditions. It is similar to if-else-if chain statement.'],"['https://www.javatpoint.com/go-for', 'https://www.javatpoint.com/go-if-else', 'https://www.javatpoint.com/go-for', 'https://www.javatpoint.com/go-if-else', 'https://www.javatpoint.com/go-for']",[],[],[],[],[],"['In switch statement, more than one values can be tested in a case, the values are presented in a comma separated list', 'like: case val1, val2, val3:', 'For fall-through in Go switch statement, use the keyword ""fallthrough"" at the end of the branch.', 'Go Switch Example:', 'Go switch fallthrough example']","['The switch statement in Go is more flexible. In the above syntax, var1 is a variable which can be of any type, and val1, val2, ... are possible values of var1.', 'If any case is matched, the corresponding case statement is executed. Here, the break keyword is implicit. So automatic fall-through is not the default behavior in Go switch statement. ']",[],"['switch  var1 {', 'case val1:', 'case val2', 'default:', 'package main', 'import ""fmt""', 'func main() {', 'fmt.Print(""Enter Number: "")', 'var input int', 'fmt.Scanln(&input)', 'switch (input) {', 'case 10:', 'fmt.Print(""the value is 10"")', 'case 20:', 'fmt.Print(""the value is 20"")', 'case 30:', 'fmt.Print(""the value is 30"")', 'case 40:', 'fmt.Print(""the value is 40"")', 'default:', 'fmt.Print("" It is not 10,20,30,40 "")', 'import ""fmt""', 'func main() {', 'k := 30', 'switch k {', 'case 10:', 'fmt.Println(""was <= 10""); fallthrough;', 'case 20:', 'fmt.Println(""was <= 20""); fallthrough;', 'case 30:', 'fmt.Println(""was <= 30""); fallthrough;', 'case 40:', 'fmt.Println(""was <= 40""); fallthrough;', 'case 50:', 'fmt.Println(""was <= 50""); fallthrough;', 'case 60:', 'fmt.Println(""was <= 60""); fallthrough;', 'default:', 'fmt.Println(""default case"")']","['Enter Number: 20', 'the value is 20', 'Enter Number: 35', 'It is not 10,20,30,40', 'was <= 30', 'was <= 40', 'was <= 50', 'was <= 60', 'default case']",[],[]
7,['Go For Loop'],['The Go for statement is used for repeating a set of statements number of times. It is the only loop in go language.'],"['https://www.javatpoint.com/go-for-range', 'https://www.javatpoint.com/go-switch', 'https://www.javatpoint.com/go-for-range', 'https://www.javatpoint.com/go-switch', 'https://www.javatpoint.com/go-for-range']",[],[],[],[],[],"['There are two variants of for loop in Go: Counter-controlled iteration and Condition-controlled iteration.', 'When the execution of the loop is over, the objects created inside the loop gets destroyed.', 'Go For Loop counter-controlled iteration example:', 'Go Nested For Loop Example:', 'Go Infinitive For Loop', 'In infinite for loop, the conditional statement is absent like: ', 'Go Infinitive For Loop Example:', 'Go For - Condition-controlled iteration', 'The for loop which has no header is used for condition-controlled iteration. It is similar to while-loop in other languages.', 'For Loop Example in while fashion:']",[],"['As you can see in the above example, loop begins with the initialization stage, variable for i (i:= 0); This is done only once. It is followed by a conditional check i (i < 10). Conditional check is performed in every iteration. The for loop stops when the condition becomes false.']","['package main', 'import ""fmt""', 'func main() {', 'for a := 0; a < 11; a++ {', 'fmt.Print(a,""\\n"")', 'package main', 'import ""fmt""', 'func main() {', 'for a := 0; a < 3; a++ {', 'for b := 3;b > 0; b-- {', 'fmt.Print(a,"" "",b,""\\n"")', '}', 'for i:=0; ; i++', 'for { }', 'package main', 'import ""fmt""', 'func main() {', 'for true  {', 'fmt.Printf(""This loop will run forever.\\n"");', 'for condition { }', 'package main', 'import ""fmt""', 'func main() {', 'sum := 1', 'for sum < 100 {', 'sum += sum', 'fmt.Println(sum)']","['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '0 3', '0 2', '0 1', '1 3', '1 2', '1 1', '2 3', '2 2', '2 1', 'This loop will run forever.', 'This loop will run forever.', 'This loop will run forever.', 'This loop will run forever.', 'This loop will run forever.', 'This loop will run forever.', 'This loop will run forever.', '2', '4', '8', '16', '32', '64', '128']",[],[]
8,['Go for range construct'],"['The for range construct is useful in many context. It can be used to traverse every item in a collection. It is similar to foreach in other languages. But, we still have the index at each iteration in for range construct.']","['https://www.javatpoint.com/go-goto', 'https://www.javatpoint.com/go-for', 'https://www.javatpoint.com/go-goto', 'https://www.javatpoint.com/go-for', 'https://www.javatpoint.com/go-goto']",[],[],[],[],[],['Go For Range Example'],[],[],"['for ix, val := range coll { }', 'import ""fmt""', 'func main() {', 'nums := []int{2, 3, 4}', 'sum := 0', 'for _, value := range nums {// ""_ "" is to ignore the index', 'sum += value', 'fmt.Println(""sum:"", sum)', 'for i, num := range nums {', 'if num == 3 {', 'fmt.Println(""index:"", I)', '}', 'kvs := map[string]string{""1"":""mango"",""2"":""apple"",""3"":""banana""}', 'for k, v := range kvs {', 'fmt.Printf(""%s -> %s\\n"", k, v)', 'for k := range kvs {', 'fmt.Println(""key:"", k)', 'for i, c := range ""Hi"" {', 'fmt.Println(i, c)']","['sum: 60', '1 -> mango', '2 -> apple', '3 -> banana', 'key: 1', 'key: 2', 'key: 3', '0 72', '1 105']",[],[]
9,['Go Goto Statement'],['The Go goto statement is a jump statement which is used to transfer the control to other parts of the program. '],"['https://www.javatpoint.com/go-break', 'https://www.javatpoint.com/go-for-range', 'https://www.javatpoint.com/go-break', 'https://www.javatpoint.com/go-for-range', 'https://www.javatpoint.com/go-break']",[],[],[],[],[],"['In goto statement, there must be a label. We use label to transfer the control of the program.', 'Go Goto Statement Example:']",[],[],"['package main', 'import (', '""fmt""', 'func main() {', 'var input int', 'fmt.Print(""You are not eligible to vote "")', 'fmt.Print(""Enter your age "")', 'fmt.Scanln(&input)', 'if (input <= 17) {', 'goto Loop', '} else {', 'fmt.Print(""You can vote "")']","['You are not eligible to vote', 'Enter your age 15', 'You are not eligible to vote', 'Enter your age 18', 'You can vote']",[],[]
