,main_headings,main_contents,links,image_urls,video_urls,sub_headings_h2,sub_headings_h3,sub_headings_h4,facts,definitions,explanations,codes,outputs,table_data,list_items
0,['PHP Tutorial'],['PHP tutorial for beginners and professionals provides in-depth knowledge of PHP scripting language. Our PHP tutorial will help you to learn PHP scripting language easily.'],"['https://www.javatpoint.com/install-php', 'https://www.javatpoint.com/http://training.javatpoint.com/php-training.jsp', 'https://www.javatpoint.com/install-php', 'https://www.javatpoint.com/install-php']","['https://static.javatpoint.com/phppages/images/php-tutorial.png', 'https://static.javatpoint.com/phppages/images/what-is-php.png', 'https://static.javatpoint.com/phppages/images/php-features.png']",[],"['What is PHP', 'Why use PHP', 'PHP Features', 'Web Development', 'Prerequisite', 'Audience', 'Problem']",[],[],"['PHP is a server-side scripting language, which is used to design the dynamic web applications with MySQL database. ', 'PHP is very popular language because of its simplicity and open source. There are some important features of PHP given below:', 'Performance:', 'Open Source:', 'Familiarity with syntax:', 'PHP has easily understandable syntax. Programmers are comfortable coding with it.', 'PHP code can be easily embedded within HTML tags and script.', 'Platform Independent:', 'PHP is available for WINDOWS, MAC, LINUX & UNIX operating system. A PHP application developed in one OS can be easily executed in other OS also.', 'Database Support:', 'PHP supports all the leading databases such as MySQL, SQLite, ODBC, etc.', 'Error Reporting -', 'PHP has predefined error reporting constants to generate an error notice or warning at runtime. E.g., E_ERROR, E_WARNING, E_STRICT, E_PARSE.', 'Loosely Typed Language:', 'Web servers Support:', 'PHP is compatible with almost all local servers used today like Apache, Netscape, Microsoft IIS, etc.', 'PHP is a secure language to develop the website. It consists of multiple layers of security to prevent threads and malicious attacks.', 'A Helpful PHP Community:', 'Before learning PHP, you must have the basic knowledge of HTML, CSS, and JavaScript. So, learn these technologies for better implementation of PHP.', 'CSS - CSS helps to make the webpage content more effective and attractive.', 'JavaScript - JavaScript is used to design an interactive website.']","['PHP was created by Rasmus Lerdorf in 1994 but appeared in the market in 1995. PHP 7.4.0 is the latest version of PHP, which was released on 28 November. Some important points need to be noticed about PHP are as followed:', 'PHP source code and software are freely available on the web. You can develop all the versions of PHP according to your requirement without paying any cost. All its components are free to download and use.', 'PHP allows us to use a variable without declaring its datatype. It will be taken automatically at the time of execution based on the type of data it contains on its value.', 'Different programming languages require long script or code, whereas PHP can do the same work in a few lines of code. It has maximum control over the websites like you can make changes easily whenever you want.', 'It has a large community of developers who regularly updates documentation, tutorials, online help, and FAQs. Learning PHP from the communities is one of the significant benefits.', 'PHP is widely used in web development nowadays. PHP can develop dynamic websites easily. But you must have the basic the knowledge of following technologies for web development as well.', 'Our PHP tutorial is designed to help beginners and professionals. This PHP tutorial will help those who are unaware about the concepts of PHP but have basic knowledge of computer programming.', 'We assure you that you will not find any problem in this PHP tutorial. But if there is any mistake or error, please post the error in the contact form.']","['This PHP tutorial covers all the topics of PHP such as introduction, control statements, functions, array, string, file handling, form handling, regular expression, date and time, object-oriented programming in PHP, math, PHP MySQL, PHP with Ajax, PHP with jQuery and PHP with XML.', 'PHP is an open-source, interpreted, and object-oriented scripting language that can be executed at the server-side. PHP is well suited for web development. Therefore, it is used to develop web applications (an application that executes on the server and generates the dynamic page.).', 'PHP script is executed much faster than those scripts which are written in other languages such as JSP and ASP. PHP uses its own memory, so the server workload and loading time is automatically reduced, which results in faster processing speed and better performance.', 'HTML - HTML is used to design static webpage.\nCSS - CSS helps to make the webpage content more effective and attractive.\nJavaScript - JavaScript is used to design an interactive website.\nAudience\nOur PHP tutorial is designed to help beginners and professionals. This PHP tutorial will help those who are unaware about the concepts of PHP but have basic knowledge of computer programming.\nProblem\nWe assure you that you will not find any problem in this PHP tutorial. But if there is any mistake or error, please post the error in the contact form.\n\n\nNext TopicInstall PHP\n\n\n\nnext →\n\n\n']",[],[],[],"['|||PHP stands for Hypertext Preprocessor.|||PHP is an interpreted language, i.e., there is no need for compilation.|||PHP is faster than other scripting languages, for example, ASP and JSP.|||PHP is a server-side scripting language, which is used to manage the dynamic content of the website.|||PHP can be embedded into HTML.|||PHP is an object-oriented language.|||PHP is an open-source scripting language.|||PHP is simple and easy to learn language.||||||It handles dynamic content, database as well as session tracking for the website.|||You can create sessions in PHP.|||It can access cookies variable and also set cookies. |||It helps to encrypt the data and apply validation. |||PHP supports several protocols such as HTTP, POP3, SNMP, LDAP, IMAP, and many more. |||Using PHP language, you can control the user to access some pages of your website.|||As PHP is easy to install and set up, this is the main reason why PHP is the best language to learn.|||PHP can handle the forms, such as - collect the data from users using forms, save it into the database, and return useful information to the user. For example - Registration form.||||||HTML|||CSS|||JavaScript|||Ajax|||XML and JSON|||jQuery|||']"
1,['Install PHP'],"['To install PHP, we will suggest you to install AMP (Apache, MySQL, PHP) software stack. It is available for all operating systems. There are many AMP options available in the market that are given below:']","['https://www.javatpoint.com/run-php-code-in-xampp', 'https://www.javatpoint.com/php-tutorial', 'https://www.javatpoint.com/http://www.wampserver.com/en/', 'https://www.javatpoint.com/http://csg.sph.umich.edu/abecasis/LAMP/download/', 'https://www.javatpoint.com/https://www.mamp.info/en/downloads/', 'https://www.javatpoint.com/https://www.apachefriends.org/download.html', 'https://www.javatpoint.com/run-php-code-in-xampp', 'https://www.javatpoint.com/php-tutorial', 'https://www.javatpoint.com/run-php-code-in-xampp']","['https://static.javatpoint.com/phppages/images/php-installation1.png', 'https://static.javatpoint.com/phppages/images/php-installation2.png', 'https://static.javatpoint.com/phppages/images/php-installation3.png', 'https://static.javatpoint.com/phppages/images/php-installation4.png', 'https://static.javatpoint.com/phppages/images/php-installation5.png', 'https://static.javatpoint.com/phppages/images/php-installation6.png', 'https://static.javatpoint.com/phppages/images/php-installation7.png', 'https://static.javatpoint.com/phppages/images/php-installation8.png', 'https://static.javatpoint.com/phppages/images/php-installation9.png', 'https://static.javatpoint.com/phppages/images/php-installation10.png']",[],['How to install XAMPP server on windows'],"['Download and Install WAMP Server', 'Download and Install LAMP Server', 'Download and Install MAMP Server', 'Download and Install XAMPP Server']",[],"['We will learn how to install the XAMPP server on windows platform step by step. Follow the below steps and install the XAMPP server on your system.', 'Step 1: Click on the above link provided to download the XAMPP server according to your window requirement.', 'Step 3: Here, select the components, which you want to install and click Next.', 'Step 4: Choose a folder where you want to install the XAMPP in your system and click Next.', 'Step 5: Click Next and move ahead.', 'Step 6: XAMPP is ready to install, so click on the Next button and install the XAMPP.', 'Step 7: A finish window will display after successful installation. Click on the Finish button. ', 'Step 8: Choose your preferred language.', 'Step 9: XAMPP is ready to use. Start the Apache server and MySQL and run the php program on the localhost. ', 'How to run PHP programs on XAMPP, see in the next tutorial.', 'Step 10: If no error is shown, then XAMPP is running successfully.']","[""If you are on Windows and don't want Perl and other features of XAMPP, you should go for WAMP. In a similar way, you may use LAMP for Linux and MAMP for Macintosh."", 'Step 2: After downloading XAMPP, double click on the downloaded file and allow XAMPP to make changes in your system. A window will pop-up, where you have to click on the Next button.']",[],[],[],[],"['|||WAMP for Windows|||LAMP for Linux|||MAMP for Mac|||SAMP for Solaris|||FAMP for FreeBSD|||XAMPP (Cross, Apache, MySQL, PHP, Perl) for Cross Platform: It includes some other components too such as FileZilla, OpenSSL, Webalizer, Mercury Mail, etc.|||']"
2,['How to run PHP code in XAMPP'],"['Generally, a PHP file contains HTML tags and some PHP scripting code. It is very easy to create a simple PHP example. To do so, create a file and write HTML tags + PHP code and save this file with .php extension. ']","['https://www.javatpoint.com/php-echo', 'https://www.javatpoint.com/install-php', 'https://www.javatpoint.com/php-echo', 'https://www.javatpoint.com/install-php', 'https://www.javatpoint.com/php-echo']",['https://static.javatpoint.com/phppages/images/run-php-code-in-xampp.png'],[],"['How to run PHP programs in XAMPP', 'PHP Case Sensitivity']",[],"['Note: PHP statements ends with semicolon (;).', 'Note: PHP program must be saved in the htdocs folder, which resides inside the xampp folder, where you installed the XAMPP. Otherwise it will generate an error - Object not found.']","['All PHP code goes between the php tag. It starts with <?php and ends with ?>. The syntax of PHP tag is given below:', ""Let's see a simple PHP example where we are writing some text using PHP echo command."", 'File: first.php', 'For example - p1.php. ', 'As I\'m using window, and my XAMPP server is installed in D drive. So, the path for the htdocs directory will be ""D:\\xampp\\htdocs"".', 'PHP program runs on a web browser such as - Chrome, Internet Explorer, Firefox, etc. Below some steps are given to run the PHP programs.', 'Step 1: Create a simple PHP program like hello world.', 'Step 2: Save the file with hello.php name in the htdocs folder, which resides inside the xampp folder.', 'Step 3: Run the XAMPP server and start the Apache and MySQL.', 'Step 4: Now, open the web browser and type localhost http://localhost/hello.php on your browser window.', 'Step 5: The output for the above hello.php program will be shown as the screenshot below:', 'Most of the time, PHP programs run as a web server module. However, PHP can also be run on CLI (Command Line Interface).', 'In the below example, you can see that all three echo statements are equal and valid: ']","['In PHP, keyword (e.g., echo, if, else, while), functions, user-defined functions, classes are not case-sensitive. However, all variable names are case-sensitive. ', 'Only $color variable has printed its value, and other variables $ColoR and $COLOR are declared as undefined variables. An error has occurred in line 5 and line 7.']","['How to run PHP programs in XAMPP\nPHP is a popular backend programming language. PHP programs can be written on any editor, such as - Notepad, Notepad++, Dreamweaver, etc. These programs save with .php extension, i.e., filename.php inside the htdocs folder.', 'Look at the below example that the variable names are case sensitive. You can see the example below that only the second statement will display the value of the $color variable. Because it treats $color, $ColoR, and $COLOR as three different variables:']","['<!DOCTYPE>', 'echo ""<h2>Hello First PHP</h2>"";', 'echo ""Hello World!"";', '<!DOCTYPE>', 'echo ""Hello world using echo </br>"";', 'ECHO ""Hello world using ECHO </br>"";', 'EcHo ""Hello world using EcHo </br>"";', '</body>', '$color = ""black"";', 'echo ""My car is "". $ColoR .""</br>"";', 'echo ""My dog is "". $color .""</br>"";', 'echo ""My Phone is "". $COLOR .""</br>"";', '</body>']","['Hello First PHP', 'Hello world using echo\nHello world using ECHO\nHello world using EcHo', 'Notice: Undefined variable: ColoR in D:\\xampp\\htdocs\\program\\p2.php on line 8\nMy car is\nMy dog is black\n\nNotice: Undefined variable: COLOR in D:\\xampp\\htdocs\\program\\p2.php on line 10\nMy Phone is']",[],[]
3,['PHP Echo'],"[""PHP echo is a language construct, not a function. Therefore, you don't need to use parenthesis with it. But if you want to use more than one parameter, it is required to use parenthesis.""]","['https://www.javatpoint.com/php-print', 'https://www.javatpoint.com/run-php-code-in-xampp', 'https://www.javatpoint.com/php-print', 'https://www.javatpoint.com/run-php-code-in-xampp', 'https://www.javatpoint.com/php-print']",[],[],[],[],[],"['The syntax of PHP echo is given below:', 'File: echo1.php', 'File: echo2.php', 'File: echo3.php', 'File: echo4.php']","['PHP echo statement can be used to print the string, multi-line strings, escaping characters, variable, array, etc. Some important points that you must know about the echo statement are:']",[],"['void echo ( string $arg1 [, string $... ] )', 'echo ""Hello by PHP echo"";', 'echo ""Hello by PHP echo', 'this is multi line', 'text printed by', 'PHP echo statement', 'echo ""Hello escape \\""sequence\\"" characters"";', '$msg=""Hello JavaTpoint PHP"";', 'echo ""Message is: $msg"";']","['Hello by PHP echo', 'Hello by PHP echo this is multi line text printed by PHP echo statement', 'Hello escape ""sequence"" characters', 'Message is: Hello JavaTpoint PHP']",[],"['|||echo is a statement, which is used to display the output. |||echo can be used with or without parentheses: echo(), and echo.|||echo does not return any value.|||We can pass multiple strings separated by a comma (,) in echo.|||echo is faster than the print statement.|||']"
4,['PHP Print'],"[""Like PHP echo, PHP print is a language construct, so you don't need to use parenthesis with the argument list. Print statement can be used with or without parentheses: print and print(). Unlike echo, it always returns 1.""]","['https://www.javatpoint.com/php-echo-and-print-statements', 'https://www.javatpoint.com/php-echo', 'https://www.javatpoint.com/php-echo-and-print-statements', 'https://www.javatpoint.com/php-echo', 'https://www.javatpoint.com/php-echo-and-print-statements']",[],[],['PHP print: printing variable value'],[],[],"['The syntax of PHP print is given below:', 'File: print1.php', 'File: print2.php', 'File: print3.php', 'File: print4.php']","['PHP print statement can be used to print the string, multi-line strings, escaping characters, variable, array, etc. Some important points that you must know about the echo statement are:']",[],"['int print(string $arg)', 'print ""Hello by PHP print "";', 'print (""Hello by PHP print()"");', 'print ""Hello by PHP print', 'this is multi line', 'text printed by', 'PHP print statement', 'print ""Hello escape \\""sequence\\"" characters by PHP print"";', '$msg=""Hello print() in PHP"";', 'print ""Message is: $msg"";']","['Hello by PHP print Hello by PHP print()', 'Hello by PHP print this is multi line text printed by PHP print statement', 'Hello escape ""sequence"" characters by PHP print', 'Message is: Hello print() in PHP']",[],"['|||print is a statement, used as an alternative to echo at many times to display the output. |||print can be used with or without parentheses.|||print always returns an integer value, which is 1.|||Using print, we cannot pass multiple arguments.|||print is slower than the echo statement.|||']"
5,['PHP echo and print Statements'],['We frequently use the echo statement to display the output. There are two basic ways to get the output in PHP: '],"['https://www.javatpoint.com/php-variables', 'https://www.javatpoint.com/php-print', 'https://www.javatpoint.com/php-variables', 'https://www.javatpoint.com/php-print', 'https://www.javatpoint.com/php-variables']","['https://static.javatpoint.com/phppages/images/php-echo-and-print-statements.png', 'https://static.javatpoint.com/phppages/images/php-echo-and-print-statements2.png', 'https://static.javatpoint.com/phppages/images/php-echo-and-print-statements3.png', 'https://static.javatpoint.com/phppages/images/php-echo-and-print-statements4.png']",[],['Difference between echo and print'],"['echo', 'print', 'For Example (Check multiple arguments)', 'For Example (Check Return Value)']",[],"['You can see the difference between echo and print statements with the help of the following programs.', 'You can pass multiple arguments separated by a comma (,) in echo. It will not generate any syntax error.', 'It will generate a syntax error because of multiple arguments in a print statement.', 'echo statement does not return any value. It will generate an error if you try to display its return value.', 'As we already discussed that print returns a value, which is always 1. ']",[],"['echo and print are language constructs, and they never behave like a function. Therefore, there is no requirement for parentheses. However, both the statements can be used with or without parentheses. We can use these statements to output variables or strings. ']","['$fname = ""Gunjan"";', '$lname = ""Garg"";', 'echo ""My name is: "".$fname,$lname;', '$fname = ""Gunjan"";', '$lname = ""Garg"";', 'print ""My name is: "".$fname,$lname;', '$lang = ""PHP"";', '$ret = echo $lang."" is a web development language."";', 'echo ""</br>"";', 'echo ""Value return by print statement: "".$ret;', '$lang = ""PHP"";', '$ret = print $lang."" is a web development language."";', 'print ""</br>"";', 'print ""Value return by print statement: "".$ret;']",[],[],"['|||echo|||print||||||echo is a statement, which is used to display the output. |||echo can be used with or without parentheses.|||echo does not return any value.|||We can pass multiple strings separated by comma (,) in echo.|||echo is faster than print statement.||||||print is also a statement, used as an alternative to echo at many times to display the output. |||print can be used with or without parentheses.|||print always returns an integer value, which is 1.|||Using print, we cannot pass multiple arguments.|||print is slower than echo statement.|||']"
6,['PHP Variables'],"['In PHP, a variable is declared using a $ sign followed by the variable name. Here, some important points to know about variables:']","['https://www.javatpoint.com/php-variable-scope', 'https://www.javatpoint.com/php-echo-and-print-statements', 'https://www.javatpoint.com/php-variable-scope', 'https://www.javatpoint.com/php-echo-and-print-statements', 'https://www.javatpoint.com/php-variable-scope']",[],[],[],[],[],"['Syntax of declaring a variable in PHP is given below:', 'Rules for declaring PHP variable:', ""Let's see the example to store string, integer, and float values in PHP variables."", 'File: variable1.php', 'File: variable2.php', 'In PHP, variable names are case sensitive. So variable name ""color"" is different from Color, COLOR, COLor etc.', 'File: variable3.php', 'PHP variables must start with letter or underscore only.', ""PHP variable can't be start with numbers and special symbols."", 'File: variablevalid.php', 'File: variableinvalid.php', 'PHP is a loosely typed language, it means PHP automatically converts the variable to its correct data type. ']",[],[],"['$variablename=value;', '$str=""hello string"";', '$y=44.6;', 'echo ""string is: $str "";', 'echo ""integer is: $x "";', 'echo ""float is: $y "";', '$z=$x+$y;', 'echo $z;', '$color=""red"";', 'echo ""My car is "" . $color . ""<br>"";', 'echo ""My house is "" . $COLOR . ""<br>"";', 'echo ""My boat is "" . $coLOR . ""<br>"";', '$a=""hello"";//letter (valid)', '$_b=""hello"";//underscore (valid)', 'echo ""$a <br/> $_b"";', '$4c=""hello"";//number (invalid)', '$*d=""hello"";//special symbol (invalid)', 'echo ""$4c <br/> $*d"";']","['string is: hello string\ninteger is: 200\nfloat is: 44.6', '11', 'My car is red\nNotice: Undefined variable: COLOR in C:\\wamp\\www\\variable.php on line 4\nMy house is \nNotice: Undefined variable: coLOR in C:\\wamp\\www\\variable.php on line 5\nMy boat is', 'hello \nhello', ""Parse error: syntax error, unexpected '4' (T_LNUMBER), expecting variable (T_VARIABLE)\n or '$' in C:\\wamp\\www\\variableinvalid.php on line 2""]",[],"['|||As PHP is a loosely typed language, so we do not need to declare the data types of the variables. It automatically analyzes the values and makes conversions to its correct datatype.|||After declaring a variable, it can be reused throughout the code.|||Assignment Operator (=) is used to assign the value to a variable.||||||A variable must start with a dollar ($) sign, followed by the variable name.|||It can only contain alpha-numeric character and underscore (A-z, 0-9, _).|||A variable name must start with a letter or underscore (_) character.|||A PHP variable name cannot contain spaces.|||One thing to be kept in mind that the variable name cannot start with a number or special symbols.|||PHP variables are case-sensitive, so $name and $NAME both are treated as different variable.|||']"
7,['PHP Variable Scope'],"['The scope of a variable is defined as its range in the program under which it can be accessed. In other words, ""The scope of a variable is the portion of the program within which it is defined and can be accessed.""']","['https://www.javatpoint.com/php-dollar-doubledollar', 'https://www.javatpoint.com/php-variables', 'https://www.javatpoint.com/php-dollar-doubledollar', 'https://www.javatpoint.com/php-variables', 'https://www.javatpoint.com/php-dollar-doubledollar']",[],[],"['Local variable', 'Global variable', 'Static variable']","['Example:', 'Example:', 'Using $GLOBALS instead of global', 'Example:']","['Note: Without using the global keyword, if you try to access a global variable inside the function, it will generate an error that the variable is undefined.', 'Note: local variable has higher priority than the global variable.']","['PHP has three types of variable scopes:', 'File: local_variable1.php', 'File: local_variable2.php', ""Let's understand the global variables with the help of an example:"", 'File: global_variable1.php', 'File: global_variable2.php', 'Another way to use the global variable inside the function is predefined $GLOBALS array.', 'File: global_variable3.php', 'If two variables, local and global, have the same name, then the local variable has higher priority than the global variable inside the function. ', 'File: global_variable2.php', 'File: static_variable.php']","[""A variable declaration outside the function with the same name is completely different from the variable declared inside the function. Let's understand the local variables with the help of an example:"", 'Static variables exist only in a local function, but it does not free its memory after the program execution leaves the scope. Understand it with the help of an example:', 'You have to notice that $num1 regularly increments after each function call, whereas $num2 does not. This is why because $num1 is not a static variable, so it freed its memory after the execution of each function call. ']","['The variables that are declared within a function are called local variables for that function. These local variables have their scope only in that particular function in which they are declared. This means that these variables cannot be accessed outside the function, as they have local scope.', 'The global variables are the variables that are declared outside the function. These variables can be accessed anywhere in the program. To access the global variable within a function, use the GLOBAL keyword before the variable. However, these variables can be directly accessed or used outside the function without any keyword. Therefore there is no need to use any keyword to access a global variable outside the function.', 'It is a feature of PHP to delete the variable, once it completes its execution and memory is freed. Sometimes we need to store a variable even after completion of function execution. Therefore, another important feature of variable scoping is static variable. We use the static keyword before the variable to define a variable, and this variable is called as static variable.']","['function local_var()', '$num = 45;\t//local variable', 'echo ""Local variable declared inside the function is: "". $num;', 'local_var();', 'function mytest()', '$lang = ""PHP"";', 'echo ""Web development language: "" .$lang;', 'mytest();', 'echo $lang;', '$name = ""Sanaya Sharma"";\t\t//Global Variable', 'function global_var()', 'global $name;', 'echo ""Variable inside the function: "". $name;', 'echo ""</br>"";', 'global_var();', 'echo ""Variable outside the function: "". $name;', '$name = ""Sanaya Sharma"";\t\t//global variable', 'function global_var()', 'echo ""Variable inside the function: "". $name;', 'echo ""</br>"";', 'global_var();', '$num1 = 5;\t\t//global variable', '$num2 = 13;\t\t//global variable', 'function global_var()', ""$sum = $GLOBALS['num1'] + $GLOBALS['num2'];"", 'echo ""Sum of global variables is: "" .$sum;', 'global_var();', '$x = 5;', 'function mytest()', '$x = 7;', 'echo ""value of x: "" .$x;', 'mytest();', 'function static_var()', 'static $num1 = 3;\t\t//static variable', '$num2 = 6;\t\t\t//Non-static variable', '$num1++;', '$num2++;', 'echo ""Static: "" .$num1 .""</br>"";', 'echo ""Non-static: "" .$num2 .""</br>"";', 'static_var();', 'static_var();']","['Local variable declared inside the function is: 45', 'Web development language: PHP', 'Notice: Undefined variable: lang in D:\\xampp\\htdocs\\program\\p3.php on line 28', 'Variable inside the function: Sanaya Sharma', 'Variable outside the function: Sanaya Sharma', 'Notice: Undefined variable: name in D:\\xampp\\htdocs\\program\\p3.php on line 6', 'Variable inside the function:', 'Sum of global variables is: 18', 'Value of x: 7', 'Static: 4', 'Non-static: 7', 'Static: 5', 'Non-static: 7']",[],['|||Local variable|||Global variable|||Static variable|||']
8,['PHP $ and $$ Variables'],"['The $var (single dollar) is a normal variable with the name var that stores any value like string, integer, float, etc.']","['https://www.javatpoint.com/php-constants', 'https://www.javatpoint.com/php-variable-scope', 'https://www.javatpoint.com/php-constants', 'https://www.javatpoint.com/php-variable-scope', 'https://www.javatpoint.com/php-constants']","['https://static.javatpoint.com/phppages/images/$-and-$$-variables1.png', 'https://static.javatpoint.com/phppages/images/$-and-$$-variables2.png', 'https://static.javatpoint.com/phppages/images/$-and-$$-variables3.png']",[],[],"['Example 1', 'Example2', 'Example3']",[],"[""To understand the difference better, let's see some examples."", 'In the above example, we have assigned a value to the variable x as abc. Value of reference variable $$x is assigned as 200.', 'Now we have printed the values $x, $$x and $abc.', 'In the above example, we have assigned a value to the variable x as U.P. Value of reference variable $$x is assigned as Lucknow.', 'Now we have printed the values $x, $$x and a string.', 'Now we have printed the values as $name, ${$name}, $Cat, ${${$name}} and $Dog.']","['In the above example, we have assigned a value to the variable name Cat. Value of reference variable ${$name} is assigned as Dog and ${${$name}} as Monkey.']",[],"['$x = ""abc"";', '$$x = 200;', 'echo $x.""<br/>"";', 'echo $$x.""<br/>"";', 'echo $abc;', '$x=""U.P"";', '$$x=""Lucknow"";', 'echo $x. ""<br>"";', 'echo $$x. ""<br>"";', 'echo ""Capital of $x is "" . $$x;', '$name=""Cat"";', '${$name}=""Dog"";', '${${$name}}=""Monkey"";', 'echo $name. ""<br>"";', 'echo ${$name}. ""<br>"";', 'echo $Cat. ""<br>"";', 'echo ${${$name}}. ""<br>"";', 'echo $Dog. ""<br>"";']",[],[],[]
9,['PHP Constants'],"[""PHP constants are name or identifier that can't be changed during the execution of the script except for magic constants, which are not really constants. PHP constants can be defined by 2 ways:""]","['https://www.javatpoint.com/php-magic-constants', 'https://www.javatpoint.com/php-dollar-doubledollar', 'https://www.javatpoint.com/https://www.javatpoint.com/php-magic-constants', 'https://www.javatpoint.com/php-magic-constants', 'https://www.javatpoint.com/php-dollar-doubledollar', 'https://www.javatpoint.com/php-magic-constants']",[],[],"['PHP constant: define()', 'PHP constant: const keyword', 'Constant() function', 'Constant vs Variables']",[],"['Note: Unlike variables, constants are automatically global throughout the script.']","['Conventionally, PHP constants should be defined in uppercase letters.', ""Use the define() function to create a constant. It defines constant at run time. Let's see the syntax of define() function in PHP."", ""Let's see the example to define PHP constant using define()."", 'File: constant1.php', 'Create a constant with case-insensitive name:', 'File: constant2.php', 'File: constant3.php', 'File: constant4.php', 'There is another way to print the value of constants using constant() function instead of using the echo statement.', 'The syntax for the following constant function:', 'File: constant5.php']","['PHP introduced a keyword const to create a constant. The const keyword defines constants at compile time. It is a language construct, not a function. The constant defined using const keyword are case-sensitive.']","['Constants are similar to the variable except once they defined, they can never be undefined or changed. They remain constant across the entire program. PHP constants follow the same PHP variable rules. For example, it can be started with a letter or underscore only.']","['define(name, value, case-insensitive)', 'define(""MESSAGE"",""Hello JavaTpoint PHP"");', 'echo MESSAGE;', 'define(""MESSAGE"",""Hello JavaTpoint PHP"",true);//not case sensitive', 'echo MESSAGE, ""</br>"";', 'echo message;', 'define(""MESSAGE"",""Hello JavaTpoint PHP"",false);//case sensitive', 'echo MESSAGE;', 'echo message;', 'const MESSAGE=""Hello const by JavaTpoint PHP"";', 'echo MESSAGE;', 'constant (name)', 'define(""MSG"", ""JavaTpoint"");', 'echo MSG, ""</br>"";', 'echo constant(""MSG"");']","['Hello JavaTpoint PHP', 'Hello JavaTpoint PHP\nHello JavaTpoint PHP', ""Hello JavaTpoint PHP\nNotice: Use of undefined constant message - assumed 'message' \nin C:\\wamp\\www\\vconstant3.php on line 4\nmessage"", 'Hello const by JavaTpoint PHP', 'JavaTpoint\nJavaTpoint']","[""Constant|||Variables&&&Once the constant is defined, it can never be redefined.|||A variable can be undefined as well as redefined easily.&&&A constant can only be defined using define() function. It cannot be defined by any simple assignment.|||A variable can be defined by simple assignment (=) operator.&&&There is no need to use the dollar ($) sign before constant during the assignment.|||To declare a variable, always use the dollar ($) sign before the variable.&&&Constants do not follow any variable scoping rules, and they can be defined and accessed anywhere.|||Variables can be declared anywhere in the program, but they follow variable scoping rules.&&&Constants are the variables whose values can't be changed throughout the program.|||The value of the variable can be changed.&&&By default, constants are global.|||Variables can be local, global, or static.""]",['|||Using define() function|||Using const keyword||||||name: It specifies the constant name.|||value: It specifies the constant value.|||case-insensitive: Specifies whether a constant is case-insensitive. Default value is false. It means it is case sensitive by default.|||']
