,main_headings,main_contents,links,image_urls,video_urls,sub_headings_h2,sub_headings_h3,sub_headings_h4,facts,definitions,explanations,codes,outputs,table_data,list_items
0,['Ruby Tutorial'],['Ruby tutorial provides basic and advanced concepts of Ruby. Our Ruby programming tutorial is designed for beginners and professionals both.'],"['https://www.javatpoint.com/what-is-ruby', 'https://www.javatpoint.com/ruby-tutorial', 'https://www.javatpoint.com/what-is-ruby', 'https://www.javatpoint.com/ruby-features', 'https://www.javatpoint.com/ruby-vs-python', 'https://www.javatpoint.com/ruby-installation', 'https://www.javatpoint.com/hello-ruby-program', 'https://www.javatpoint.com/ruby-operators', 'https://www.javatpoint.com/ruby-variables', 'https://www.javatpoint.com/ruby-data-types', 'https://www.javatpoint.com/ruby-if-else', 'https://www.javatpoint.com/ruby-case', 'https://www.javatpoint.com/ruby-for-loop', 'https://www.javatpoint.com/ruby-while-and-do-while-loop', 'https://www.javatpoint.com/ruby-until-loop', 'https://www.javatpoint.com/ruby-break-and-next-statement', 'https://www.javatpoint.com/ruby-redo-and-retry-statement', 'https://www.javatpoint.com/ruby-comments', 'https://www.javatpoint.com/ruby-class-and-object', 'https://www.javatpoint.com/ruby-methods', 'https://www.javatpoint.com/ruby-blocks', 'https://www.javatpoint.com/ruby-modules', 'https://www.javatpoint.com/ruby-strings', 'https://www.javatpoint.com/ruby-arrays', 'https://www.javatpoint.com/ruby-hashes', 'https://www.javatpoint.com/ruby-date-and-time', 'https://www.javatpoint.com/ruby-ranges', 'https://www.javatpoint.com/ruby-iterators', 'https://www.javatpoint.com/ruby-file-io', 'https://www.javatpoint.com/ruby-directories', 'https://www.javatpoint.com/ruby-exceptions', 'https://www.javatpoint.com/ruby-oops', 'https://www.javatpoint.com/ruby-regular-expression', 'https://www.javatpoint.com/ruby-socket-programming', 'https://www.javatpoint.com/ruby-multithreading', 'https://www.javatpoint.com/ruby-ldap', 'https://www.javatpoint.com/ruby-xml', 'https://www.javatpoint.com/ruby-xpath-and-xslt', 'https://www.javatpoint.com/ruby-interview-questions', 'https://www.javatpoint.com/ruby-on-rails-tutorial', 'https://www.javatpoint.com/what-is-ruby', 'https://www.javatpoint.com/what-is-ruby']",['https://static.javatpoint.com/ruby/images/ruby-tutorial.png'],[],"['Ruby Index', 'Prerequisite', 'Audience', 'Problem']",[],[],"['Ruby is an open-source and fully object-oriented programming language. ', 'Ruby Tutorial', 'Control Statements', 'Ruby Advance', 'Interview Questions', 'Ruby on Rails', 'Before learning Ruby, you must have the basic knowledge of any programming language.', 'Our Ruby tutorial is designed to help beginners and professionals.', 'We assure that you will not find any problem in this Ruby programming tutorial. But if there is any mistake, please post the problem in contact form.']","['Our Ruby tutorial includes all topics of Ruby such as installation, example, operators, control statements, loops, comments, arrays, strings, hashes, regular expressions, file handling, exception handling, OOPs, Ranges, Iterators. etc']",[],[],[],[],['|||Ruby Tutorial|||What is Ruby |||Ruby Features|||Ruby vs Python|||Ruby Installation|||Hello Ruby Program|||Ruby Operators|||Ruby Variables|||Ruby Data Types||||||Ruby if-else|||Ruby case|||Ruby for|||Ruby while do-while|||Ruby Until|||Ruby break next|||Ruby redo retry|||Ruby Comments||||||Ruby Object Class|||Ruby Methods|||Ruby Blocks|||Ruby Modules|||Ruby Strings|||Ruby Arrays|||Ruby Hashes|||Ruby Date & Time|||Ruby Ranges|||Ruby Iterators|||Ruby File I/O|||Ruby Directories|||Ruby Exceptions||||||Ruby OOPs|||Ruby Regex|||Ruby Socket|||Ruby Multithreading|||Ruby LDAP|||Ruby XML|||Ruby XPATH XSLT||||||Ruby Interview||||||Ruby on Rails|||']
1,['What is Ruby'],"['Ruby is a dynamic, open source, object oriented and reflective programming language. Ruby is considered similar to Perl and Smalltalk programming languages. It runs on all types of platforms like Windows, Mac OS and all versions of UNIX.']","['https://www.javatpoint.com/ruby-features', 'https://www.javatpoint.com/ruby-tutorial', 'https://www.javatpoint.com/ruby-features', 'https://www.javatpoint.com/ruby-tutorial', 'https://www.javatpoint.com/ruby-features']",[],[],"['History of Ruby', 'Idea of Ruby', 'The name ""Ruby""', 'Ruby Early Years', 'Ruby in Present', 'Future of Ruby', 'Ruby Versions']",[],[],"['Ruby is designed and developed by Yukihiro ""Martz"" Matsumoto in mid 1990s in Japan. ', 'Ruby was localized to Japan. To expand it, the Ruby-Talk, first English language Ruby mailing list was created.', 'In 2001, first Ruby book ""Programming Ruby"" was published. After its publishment, learners of Ruby throughout the world increased. ', 'Ruby 1.8.7 was released in May 2008. At this point, Ruby was at its peak so much that even Mac OS X began their shipping with built-in Ruby.', 'There are many Ruby versions that have been released till date. Current stable Ruby version is 2.4']","['It is fully object oriented programming language. Everything is an object in Ruby. Each and every code has their properties and actions. Here properties refer to variables and actions refer to methods.', 'Ruby is considered to follow the principle of POLA (principle of least astonishment). It means that the language behaves in such a way to minimize the confusion for experienced users.', 'The name ""Ruby"" originated during a chat session between Matsumoto and Keiju Ishitsuka. Two names were selected, ""Coral"" and ""Ruby"". Matsumoto chose the later one as it was the birthstone of one of his colleagues.', 'The first public release of Ruby 0.95 was announced on Japanese newspaper on December 21, 1995. Within next two days, three more versions were released.', 'In 2005, they released their first Ruby framework ""Ruby on Rails"". The framework release was a big success and the Ruby community increased incredibly.', 'The current Ruby version 2.4.0 was released on Christmas in 2016. It has several new features like improvement to hash table, instance variable access, Array#max and Array#min.', 'Ruby is a great object oriented scripting programming language. Looking at its past we can say that it has a bright future if its community members continue expanding it beyond the thinking.']","['Perl is a scripting language but comes under the category of Toy language. Python is not fully object oriented language. Ruby developer Yukihiro ""Martz"" Matsumoto wanted a programming language which is completely object oriented and should be easy to use as a scripting language. He searched for this type of language, but couldn\'t find one. Hence, he developed one.']",[],[],[],"['|||Version 1.8 (4th Aug, 2003)|||Version 1.9 (25th Dec, 2007)|||Version 2.0 (24th Feb, 2013)|||Version 2.1 (25th Dec, 2013)|||Version 2.2 (25th Dec, 2014)|||Version 2.3 (25th Dec, 2015)|||Version 2.4 (25th Dec, 2016)|||Version 3.0 (Future Release)|||']"
2,['Features of Ruby'],['Ruby language has many features. Some of them are explained below:'],"['https://www.javatpoint.com/ruby-vs-python', 'https://www.javatpoint.com/what-is-ruby', 'https://www.javatpoint.com/ruby-vs-python', 'https://www.javatpoint.com/what-is-ruby', 'https://www.javatpoint.com/ruby-vs-python']",['https://static.javatpoint.com/ruby/images/features-of-ruby.png'],[],[],"['Object Oriented', 'Flexibility', 'Mixins', 'Visual appearance', 'Dynamic typing and Duck typing', 'Variable constants', 'Naming conventions', 'Keyword arguments', 'Method names', 'Singleton methods', 'Missing method', 'Statement delimiters', 'Keywords', 'Case Sensitive']",[],"[""Ruby generally prefers English keyword and some punctuation is used to decorate Ruby. It doesn't need variable declaration. "", 'Ruby is a dynamic programming language. Ruby programs are not compiled. All class, module and method definition are built by the code when it run.', 'Ruby defines some naming conventions for its variable, method, constant and class.', 'Like Python, Ruby methods can also be defined using keyword arguments.', 'Ruby singleton methods are per-object methods. They are only available on the object you defined it on. ', 'If a method is lost, Ruby calls the method_missing method with name of the lost method.', 'Multiple statements in a single line must contain semi colon in between but not at the end of a line. ', ""In Ruby there are approximately 42 keywords which can't be used for other purposes. They are called reserved words. "", 'Ruby is a case-sensitive language. Lowercase letters and uppercase letters are different. ']","['Ruby is a flexible language as you can easily remove, redefine or add existing parts to it. It allows its users to freely alter its parts as they wish.', 'In Ruby, constants are not really constant. If an already initialized constant will be modified in a script, it will simply trigger a warning but will not halt your program.', 'Methods are allowed to end with question mark (?) or exclamation mark (!). By convention, methods that answer questions end with question mark and methods that indicates that method can change the state of the object end with exclamation mark.']","['Ruby is purely object oriented programming language. Each and every value is an object. Every object has a class and every class has a super class. Every code has their properties and actions. Ruby is influenced with Smalltalk language. Rules applying to objects applies to the entire Ruby.', 'Ruby has a feature of single inheritance only. Ruby has classes as well as modules. A module has methods but no instances. Instead, a module can be mixed into a class, which adds the method of that module to the class. It is similar to inheritance but much more flexible.', 'Ruby variables are loosely typed language, which means any variable can hold any type of object. When a method is called on an object, Ruby only looks up at the name irrespective of the type of object. This is duck typing. It allows you to make classes that pretend to be other classes.']",[],[],[],['|||Object-oriented|||Flexibility|||Expressive feature|||Mixins|||Visual appearance|||Dynamic typing and Duck typing|||Exception handling|||Garbage collector|||Portable|||Keywords|||Statement delimiters|||Variable constants|||Naming conventions|||Keyword arguments|||Method names|||Singleton methods|||Missing method|||Case Sensitive||||||Constant: Starts with a capital letter.|||Global variable: Starts with a dollar sign ($).|||Instance variable: Starts with a (@) sign.|||Class variable: Starts with a (@@) sign.|||Method name: Allowed to start with a capital letter.|||']
3,['Ruby vs Python'],['There are many differences and similarities between Ruby and Python programming language. '],"['https://www.javatpoint.com/ruby-installation', 'https://www.javatpoint.com/ruby-features', 'https://www.javatpoint.com/ruby-installation', 'https://www.javatpoint.com/ruby-features', 'https://www.javatpoint.com/ruby-installation']",[],[],"['Similarities', 'Differences']",[],[],[],[],[],[],[],"[""Terms|||Ruby|||Python&&&Definition|||Ruby is an open source web application programming language.|||Python is a high level programming language.&&&Object Oriented|||Fully object oriented programming language.|||Not fully object oriented programming language.&&&Developer|||Yukihiro Matsumoto in 1990s.|||Guido Van Rossum in 1980s.&&&Developing Environment|||EclipseIDE is supported.|||multiple IDEs are supported.&&&Libraries|||It has smaller library than Python.|||Has larger range of libraries.&&&Mixins|||Mixins are used.|||Mixins can't be used.&&&Web frameworks|||Ruby on Rails|||Django&&&Community|||Mainly focused on web.|||Focussed in academia and Linux.&&&Usage|||Apple|||Github|||Twitter|||Groupon|||Shopify|||ThemeForest||||||Google|||Instagram|||Mozilla Firefox|||The Washington post|||Yahoo|||Shopzilla|||&&&Built-in classes|||Built-in classes can be modified|||Built-in classes can't be modified&&&elseif|||elsif|||elif&&&Unset a variable|||Once a variable is set you can't unset it back . It will be present in the symbol table as long as it is in scope.|||del statement help you to delete a set variable.&&&yield keyword|||It will execute another function that has been passed as the final argument, then immediately resume.|||It returns execution to the scope outside the function's invocation. External code is responsible for resuming the function.&&&Anonymous functions|||Support blocks, procs and lambdas.|||Support only lambdas.&&&Functions|||Doesn't have functions.|||It has functions.&&&Tuples|||It doesn't support tuples.|||It support tuples.&&&switch/case statement|||It support switch/case statement.|||It doesn't support switch/case statement.&&&lambda function|||Its lambda functions are larger.|||It support only single line lambda function.&&&Inheritance|||Support single inheritance.|||Support multiple inheritance.""]",['|||They both are high level language.|||They both are server side scripting language.|||Both are used for web applications.|||Both work on multiple platforms.|||Both have clean syntax and are easily readable.|||Both use an interactive prompt called irb.|||Objects are strongly and dynamically typed.|||Both use embedded doc tools.|||']
4,['Ruby Installation'],['Ruby is a cross platform programming language. It is installed differently on different operating systems.'],"['https://www.javatpoint.com/hello-ruby-program', 'https://www.javatpoint.com/ruby-vs-python', 'https://www.javatpoint.com/https://www.ruby-lang.org/en/documentation/installation/#apt', 'https://www.javatpoint.com/hello-ruby-program', 'https://www.javatpoint.com/ruby-vs-python', 'https://www.javatpoint.com/hello-ruby-program']","['https://static.javatpoint.com/ruby/images/ruby-installation1.png', 'https://static.javatpoint.com/ruby/images/ruby-installation2.png']",[],[],[],[],"['We will install Ruby on Linux Ubuntu using package manager.', 'Step 2 Debian GNU/Linux and Ubuntu use the apt package manager. Use the following command:', 'Here, by default, the ruby-full package provides Ruby 1.9.3 version which is an old version on Debian and Ubuntu.', 'Step 3 To know your Ruby version installed in your system, use the command,']",[],"['Step 1 Choose the package management system which you want to install from the link click here\nStep 2 Debian GNU/Linux and Ubuntu use the apt package manager. Use the following command:\n\nsudo apt-get install ruby-full\n\nHere, by default, the ruby-full package provides Ruby 1.9.3 version which is an old version on Debian and Ubuntu.\n\nStep 3 To know your Ruby version installed in your system, use the command,\n\nruby -v\n\n\n\nNext TopicHello ruby program\n\n\n\n← prev\nnext →\n\n\n']",['sudo apt-get install ruby-full'],[],[],"[""|||For UNIX like operating system, use your system's package manager.|||For Windows operating system, use RubyInstaller.|||For OS X system, use third party tools (rbenv and RVM).|||""]"
5,['Hello Ruby Program'],"['Now we will write a simple program of Ruby. Before writing Hello World program, we are assuming that you have successfully installed Ruby in your system.']","['https://www.javatpoint.com/ruby-operators', 'https://www.javatpoint.com/ruby-installation', 'https://www.javatpoint.com/ruby-operators', 'https://www.javatpoint.com/ruby-installation', 'https://www.javatpoint.com/ruby-operators']","['https://static.javatpoint.com/ruby/images/hello-ruby-program1.png', 'https://static.javatpoint.com/ruby/images/hello-ruby-program2.png']",[],"['Requirement for Hello Ruby Program', 'Creating Hello Ruby Program']",[],[],"['1) Use any text editor and create a hello.rb file. Write the following code,', '3) Run the following command.', 'This is final output of our Hello Ruby program.']",['2) Connect Ruby path to the above file. We have created hello.rb file in the Desktop. So first we need to go the Desktop directory through our console.'],[],"['puts ""Hello Ruby !""', 'ruby hello.rb']",[],[],['|||Download Ruby and install it.|||Create a file with .rb extension.|||Connect Ruby path to the file.|||Run the file.|||']
6,['Ruby Operators'],"['Ruby has a built-in modern set of operators. Operators are a symbol which is used to perform different operations. For example, +, -, /, *, etc.']","['https://www.javatpoint.com/ruby-variables', 'https://www.javatpoint.com/hello-ruby-program', 'https://www.javatpoint.com/ruby-variables', 'https://www.javatpoint.com/hello-ruby-program', 'https://www.javatpoint.com/ruby-variables']","['https://static.javatpoint.com/ruby/images/ruby-operators1.png', 'https://static.javatpoint.com/ruby/images/ruby-operators2.png', 'https://static.javatpoint.com/ruby/images/ruby-operators3.png', 'https://static.javatpoint.com/ruby/images/ruby-operators4.png']",[],"['Types of operators:', 'Unary Operator', 'Airthmetic Operator', 'Bitwise Operator', 'Logical Operator', 'Ternary Operator', 'Assignment Operator', 'Comparison Operator', 'Range Operator']",[],[],"['Unary operators expect a single operand to run on.', 'In file hello.rb, write the following code.', 'Airthmetic operators take numerical values as operands and return them in a single value.', 'In file hello.rb, write the following code.', 'Bitwise operators work on bits operands. ', 'Logical operators work on bits operands.', 'Ternary operators first check whether given conditions are true or false, then execute the condition.', 'In file hello.rb, write the following code.', 'Assignment operator assign a value to the operands.', 'Comparison operators compare two operands.', 'In file hello.rb, write the following code.', 'Range operators create a range of successive values consisting of a start, end and range of values in between.', 'The (..) creates a range including the last term and (...) creates a range excluding the last term.', 'For example, for the range of 1..5, output will range from 1 to 5.', 'and for the range of 1...5, output will range from 1 to 4.']",[],[],"['#!/usr/bin/ruby -w', 'puts(""Unary operator"")', 'puts(~5)', 'puts(~-5)', 'puts(!true)', 'puts(!false)', '#!/usr/bin/ruby -w', 'puts(""add operator"")', 'puts(10 + 20)', 'puts(""subtract operator"")', 'puts(35 - 15)', 'puts(""multiply operator"")', 'puts(4 * 8)', 'puts(""division operator"")', 'puts(25 / 5)', 'puts(""exponential operator"")', 'puts(5 ** 2)', 'puts(""modulo operator"")', 'puts(25 % 4)', '#!/usr/bin/ruby -w', 'puts(""Ternary operator"")', 'puts(2<5 ? 5:2)', 'puts(5<2 ? 5:2)', '#!/usr/bin/ruby -w', 'puts(""Comparison operator"")', 'puts(2 == 5)', 'puts(2 != 5)', 'puts(2 > 5)', 'puts(2 < 5)', 'puts(2 >= 5)', 'puts(2 <= 5)']",[],"['Operator|||Description&&&!|||Boolean NOT&&&~|||Bitwise complement&&&+|||Unary plus', 'Operator|||Description&&&+|||Adds values from both sides of the operator.&&&-|||Subtract values from both sides of the operator.&&&/|||Divide left side operand with right side operand.&&&*|||Multiply values from both sides of the operator.&&&**|||Right side operand becomes the exponent of left side operand.&&&%|||Divide left side operand with right side operand returning remainder.', 'Operator|||Description&&&&|||AND operator&&&||||OR operator&&&<<|||Left shift operator&&&>> |||Right shift operator &&&^|||XOR operator&&&~|||Complement operator', 'Operator|||Description&&&&&|||AND operator&&&|||||OR operator ', 'Operator|||Description&&&?:|||Conditional expression', 'Operator|||Description&&&=|||Simple assignment operator&&&+=|||Add assignment operator&&&-=|||subtract assignment operator&&&*=|||Multiply assignment operator &&&/=|||Divide assignment operator&&&%=|||Modulus assignment operator&&&**=|||Exponential assignment operator', 'Operator|||Description&&&==|||Equal operator&&&!=|||Not equal operator &&&>|||left operand is greater than right operand&&&< |||Right operand is greater than left operand&&&>=|||Left operand is greater than or equal to right operand&&&<=|||Right operand is greater than or equal to left operand&&&<=>|||Combined comparison operator&&&.eql?|||Checks for equality and type of the operands&&&equal?|||Checks for the object ID', 'Operator|||Description&&&..|||Range is inclusive of the last term&&&...|||Range is exclusive of the last term']",['|||Unary operator|||Airthmetic operator|||Bitwise operator|||Logical operator|||Ternary operator|||Assignment operator|||Comparison operator|||Range operator|||']
7,['Ruby Variables'],"['Ruby variables are locations which hold data to be used in the programs. Each variable has a different name. These variable names are based on some naming conventions. Unlike other programming languages, there is no need to declare a variable in Ruby. A prefix is needed to indicate it.']","['https://www.javatpoint.com/ruby-data-types', 'https://www.javatpoint.com/ruby-operators', 'https://www.javatpoint.com/ruby-data-types', 'https://www.javatpoint.com/ruby-operators', 'https://www.javatpoint.com/ruby-data-types']","['https://static.javatpoint.com/ruby/images/ruby-variables.png', 'https://static.javatpoint.com/ruby/images/ruby-variables1.png', 'https://static.javatpoint.com/ruby/images/ruby-variables2.png', 'https://static.javatpoint.com/ruby/images/ruby-variables3.png']",[],"['Local variables', 'Class variables', 'Instance variables', 'Global variables', 'Summary']",[],[],"['There are four types of variables in Ruby:', 'When uninitialized local variables are called, they are interpreted as call to a method that has no arguments. ', 'A class variable is shared by all the descendents of the class. An uninitialized class variable will result in an error. ', 'In the above example, @@no_of_states is a class variable.', ""They don't need to be initialize. An uninitialized instance variable will have a nil value."", 'In the above example, @states_name is the instance variable.', 'A global variable name starts with a $ sign. Its scope is globally, means it can be accessed from any where in a program.', 'An uninitialized global variable will have a nil value. It is advised not to use them as they make programs cryptic and complex.', 'There are a number of predefined global variables in Ruby.', 'In the above example, @states_name is the instance variable.']","['A local variable name starts with a lowercase letter or underscore (_). It is only accessible or have its scope within the block of its initialization. Once the code block completes, variable has no scope. ', 'An instance variable name starts with a @ sign. It belongs to one instance of the class and can be accessed from any instance of the class within a method. They only have limited access to a particular instance of a class.']","['A class variable name starts with @@ sign. They need to be initialized before use. A class variable belongs to the whole class and can be accessible from anywhere inside the class. If the value will be changed at one instance, it will be changed at every instance. ']","['#!/usr/bin/ruby', 'class States', '@@no_of_states=0', 'def initialize(name)', '@states_name=name', '@@no_of_states += 1', 'def display()', 'puts ""State name #@state_name""', 'def total_no_of_states()', 'puts ""Total number of states written: #@@no_of_states""', 'end', '# Create Objects', 'first=States.new(""Assam"")', 'second=States.new(""Meghalaya"")', 'third=States.new(""Maharashtra"")', 'fourth=States.new(""Pondicherry"")', '# Call Methods', 'first.total_no_of_states()', 'second.total_no_of_states()', 'third.total_no_of_states()', 'fourth.total_no_of_states()', '#!/usr/bin/ruby', 'class States', 'def initialize(name)', '@states_name=name', 'def display()', 'puts ""States name #@states_name""', '# Create Objects', 'first=States.new(""Assam"")', 'second=States.new(""Meghalaya"")', 'third=States.new(""Maharashtra"")', 'fourth=States.new(""Pondicherry"")', '# Call Methods', 'first.display()', 'second.display()', 'third.display()', 'fourth.display()', '#!/usr/bin/ruby', '$global_var = ""GLOBAL""', 'class One', 'def display', 'puts ""Global variable in One is #$global_var""', 'class Two', 'def display', 'puts ""Global variable in Two is #$global_var""', 'oneobj = One.new', 'oneobj.display', 'twoobj = Two.new', 'twoobj.display']",[],['|||Local|||Global|||Instance|||Class&&&Scope|||Limited within the block of initialization.|||Its scope is globally.|||It belongs to one instance of a class.|||Limited to the whole class in which they are created.&&&Naming|||Starts with a lowercase letter or underscore (_).|||Starts with a $ sign.|||Starts with an @ sign.|||Starts with an @@ sign.&&&Initialization|||No need to initialize. An uninitialized local variable is interpreted as methods with no arguments.|||No need to initialize. An uninitialized global variable will have a nil value.|||No need to initialize. An uninitialized instance variable will have a nil value.|||They need to be initialized before use. An uninitialized global variable results in an error. '],['|||Local variables|||Class variables|||Instance variables|||Global variables|||']
8,['Ruby Data types'],"['Data types represents a type of data such as text, string, numbers, etc. There are different data types in Ruby:']","['https://www.javatpoint.com/ruby-if-else', 'https://www.javatpoint.com/ruby-variables', 'https://www.javatpoint.com/ruby-if-else', 'https://www.javatpoint.com/ruby-variables', 'https://www.javatpoint.com/ruby-if-else']","['https://static.javatpoint.com/ruby/images/data-types1.png', 'https://static.javatpoint.com/ruby/images/data-types2.png', 'https://static.javatpoint.com/ruby/images/data-types3.png', 'https://static.javatpoint.com/ruby/images/data-types4.png', 'https://static.javatpoint.com/ruby/images/data-types5.png', 'https://static.javatpoint.com/ruby/images/data-types6.png', 'https://static.javatpoint.com/ruby/images/data-types7.png', 'https://static.javatpoint.com/ruby/images/data-types8.png']",[],"['Numbers', 'Strings', 'Symbols', 'Hashes', 'Arrays']",[],[],"['Integers and floating point numbers come in the category of numbers.', 'A string is a group of letters that represent a sentence or a word. Strings are defined by enclosing a text within single (\') or double ("") quote.', 'Symbols are like strings. A symbol is preceded by a colon (:). For example,', 'Symbols are unique identifiers and represent static values, while string represent values that change.', 'In the above snapshot, two different object_id is created for string but for symbol same object_id is created.', '{""Akash"" => ""Physics"", ""Ankit"" => ""Chemistry"", ""Aman"" => ""Maths""}', 'Elements from an array are retrieved by their position. The position of elements in an array starts with 0.']","['Integers are held internally in binary form. Integer numbers are numbers without a fraction. According to their size, there are two types of integers. One is Bignum and other is Fixnum. ', 'They do not contain spaces. Symbols containing multiple words are written with (_). One difference between string and symbol is that, if text is a data then it is a string but if it is a code it is a symbol. ', 'A hash assign its values to its keys. They can be looked up by their keys. Value to a key is assigned by => sign. A key/value pair is separated with a comma between them and all the pairs are enclosed within curly braces. For example,', 'An array stroes data or list of data. It can contain all types of data. Data in an array are separated by comma in between them and are enclosed by square bracket. For example,']",[],"['#!/usr/bin/ruby', 'data = {""Akash"" => ""Physics"", ""Ankit"" => ""Chemistry"", ""Aman"" => ""Maths""}', 'puts data[""Akash""]', 'puts data[""Ankit""]', 'puts data[""Aman""]', '[""Akash"", ""Ankit"", ""Aman""]', '#!/usr/bin/ruby', 'data = [""Akash"", ""Ankit"", ""Aman""]', 'puts data[0]', 'puts data[1]', 'puts data[2]']",[],['Class|||Description|||Example&&&Fixnum|||They are normal numbers|||1&&&Bignum|||They are big numbers|||111111111111&&&Float|||Decimal numbers|||3.0&&&Complex|||Imaginary numbers|||4 + 3i&&&Rational|||They are fractional numbers|||9/4&&&BigDecimal|||Precision decimal numbers|||6.0'],"['|||Numbers|||Strings|||Symbols|||Hashes|||Arrays|||Booleans||||||In a calculation if integers are used, then only integers will be returned back.||||||In a calculation if float type is used, then only float will be returned back.||||||In case of dvision, following output will appear.|||||||||Two strings can be concatenated using + sign in between them.||||||Multiplying a number string with a number will repeat the string as many times.||||||']"
9,['Ruby If-else Statement'],['The Ruby if else statement is used to test condition. There are various types of if statement in Ruby.'],"['https://www.javatpoint.com/ruby-case', 'https://www.javatpoint.com/ruby-data-types', 'https://www.javatpoint.com/ruby-case', 'https://www.javatpoint.com/ruby-data-types', 'https://www.javatpoint.com/ruby-case']","['https://static.javatpoint.com/ruby/images/ruby-if-else1.png', 'https://static.javatpoint.com/ruby/images/ruby-if-else2.png', 'https://static.javatpoint.com/ruby/images/ruby-if-else3.png', 'https://static.javatpoint.com/ruby/images/ruby-if-else4.png', 'https://static.javatpoint.com/ruby/images/ruby-if-else5.png', 'https://static.javatpoint.com/ruby/images/ruby-if-else6.png', 'https://static.javatpoint.com/ruby/images/ruby-if-else7.png']",[],"['Ruby if statement', 'Ruby if else', 'Ruby if else if (elsif)', 'Ruby ternary Statement']",[],[],"['Ruby if statement tests the condition. The if block statement is executed if condition is true.', 'Ruby if else statement tests the condition. The if block statement is executed if condition is true otherwise else block statement is executed. ', 'Ruby if else if statement tests the condition. The if block statement is executed if condition is true otherwise else block statement is executed. ', 'In Ruby ternary statement, the if statement is shortened. First it evaluats an expression for true or false value then execute one of the statements.']",[],[],"['if (condition)', 'a = gets.chomp.to_i', 'if a >= 18', 'puts ""You are eligible to vote.""', 'if(condition)', 'a = gets.chomp.to_i', 'if a >= 18', 'puts ""You are eligible to vote.""', 'puts ""You are not eligible to vote.""', 'if(condition1)', 'elsif (condition2)', 'else (condition3)', 'a = gets.chomp.to_i', 'if a <50', 'puts ""Student is fail""', 'elsif a >= 50 && a <= 60', 'puts ""Student gets D grade""', 'elsif a >= 70 && a <= 80', 'puts ""Student gets B grade""', 'elsif a >= 80 && a <= 90', 'puts ""Student gets A grade""', 'elsif a >= 90 && a <= 100', 'puts ""Student gets A+ grade""', 'test-expression ? if-true-expression : if-false-expression', 'var = gets.chomp.to_i;', 'a = (var > 3 ? true : false);', 'puts a']",[],[],['|||if statement|||if-else statement|||if-else-if (elsif) statement|||ternay (shortened if statement) statement|||']
