,main_headings,main_contents,links,image_urls,video_urls,sub_headings_h2,sub_headings_h3,sub_headings_h4,facts,definitions,explanations,codes,outputs,table_data,list_items
0,['XML Tutorial'],"['XML tutorial is designed for beginners and professionals. Our XML tutorial provides a detailed knowledge of XML technology like what is xml, features of xml, xml example, xml related technologies, creating xml structure by DTD, creating xml structure by schema (XSD), difference between DTD and schema.']","['https://www.javatpoint.com/what-is-xml', 'https://www.javatpoint.com/https://www.javatpoint.com/xmlpages/pcdata.xml', 'https://www.javatpoint.com/https://www.javatpoint.com/xmlpages/xmlschema1.xml', 'https://www.javatpoint.com/xml-tutorial', 'https://www.javatpoint.com/what-is-xml', 'https://www.javatpoint.com/features-and-advantages-of-xml', 'https://www.javatpoint.com/html-vs-xml', 'https://www.javatpoint.com/xml-example', 'https://www.javatpoint.com/xml-related-technologies', 'https://www.javatpoint.com/xml-attributes', 'https://www.javatpoint.com/xml-comments', 'https://www.javatpoint.com/xml-tree-structure', 'https://www.javatpoint.com/xml-validation', 'https://www.javatpoint.com/xml-dtd', 'https://www.javatpoint.com/xml-css', 'https://www.javatpoint.com/xml-schema', 'https://www.javatpoint.com/dtd-vs-xsd', 'https://www.javatpoint.com/cdata-pcdata', 'https://www.javatpoint.com/xml-parsers', 'https://www.javatpoint.com/xml-dom', 'https://www.javatpoint.com/xml-database', 'https://www.javatpoint.com/xml-namespaces', 'https://www.javatpoint.com/xml-interview-questions', 'https://www.javatpoint.com/xquery-tutorial', 'https://www.javatpoint.com/what-is-xquery', 'https://www.javatpoint.com/xquery-features', 'https://www.javatpoint.com/difference-between-xquery-and-xpath', 'https://www.javatpoint.com/xquery-vs-xslt', 'https://www.javatpoint.com/xquery-environment-setup', 'https://www.javatpoint.com/xquery-first-example', 'https://www.javatpoint.com/xquery-flwor', 'https://www.javatpoint.com/xquery-html-format', 'https://www.javatpoint.com/xquery-xpath', 'https://www.javatpoint.com/xquery-syntax', 'https://www.javatpoint.com/xquery-add', 'https://www.javatpoint.com/xquery-functions', 'https://www.javatpoint.com/xquery-sequences', 'https://www.javatpoint.com/xquery-sequence-functions', 'https://www.javatpoint.com/xquery-string-functions', 'https://www.javatpoint.com/xquery-string-length-function', 'https://www.javatpoint.com/xquery-concat-function', 'https://www.javatpoint.com/xquery-string-join-function', 'https://www.javatpoint.com/xquery-time-and-date-function', 'https://www.javatpoint.com/xquery-current-date-function', 'https://www.javatpoint.com/xquery-current-time-function', 'https://www.javatpoint.com/xquery-current-datetime-function', 'https://www.javatpoint.com/xquery-if-then-else-statement', 'https://www.javatpoint.com/xquery-regular-expressions', 'https://www.javatpoint.com/xslt-tutorial', 'https://www.javatpoint.com/what-is-xslt', 'https://www.javatpoint.com/xslt-syntax', 'https://www.javatpoint.com/xslt-xsl-value-of-element', 'https://www.javatpoint.com/xslt-xsl-for-each-element', 'https://www.javatpoint.com/xslt-xsl-sort-element', 'https://www.javatpoint.com/xslt-xsl-if-element', 'https://www.javatpoint.com/xslt-xsl-choose-element', 'https://www.javatpoint.com/xslt-xsl-key-element', 'https://www.javatpoint.com/xslt-xsl-message-element', 'https://www.javatpoint.com/xslt-xsl-apply-template-element', 'https://www.javatpoint.com/xslt-xsl-import-element', 'https://www.javatpoint.com/xpath-tutorial', 'https://www.javatpoint.com/what-is-xpath', 'https://www.javatpoint.com/xpath-expression', 'https://www.javatpoint.com/xpath-nodes', 'https://www.javatpoint.com/xpath-syntax', 'https://www.javatpoint.com/xpath-absolute-path', 'https://www.javatpoint.com/xpath-relative-path', 'https://www.javatpoint.com/xpath-axes', 'https://www.javatpoint.com/xpath-operators', 'https://www.javatpoint.com/xpath-operators', 'https://www.javatpoint.com/xpath-comparison-operators', 'https://www.javatpoint.com/xpath-boolean-operators', 'https://www.javatpoint.com/xpath-number-operators-functions', 'https://www.javatpoint.com/xpath-string-functions', 'https://www.javatpoint.com/xpath-node-functions', 'https://www.javatpoint.com/xpath-wildcard', 'https://www.javatpoint.com/xpath-predicate', 'https://www.javatpoint.com/what-is-xml', 'https://www.javatpoint.com/what-is-xml']",['https://static.javatpoint.com/xmlpages/images/xml-tutorial.png'],[],"['XML Validation', 'XML DTD', 'XML Schema', 'XML Index', 'Prerequisite', 'Audience', 'Problem']",[],[],"['XML file can be validated by 2 ways:', 'DTD (Document Type Definition) and XSD (XML Schema Definition) are used to define XML structure.', 'In our XML tutorial, you will learn about DTD file, creating xml with DTD, using CSS file, CDATA vs PCDATA and difference between DTD and XML schema.', ""Let's see an example of XML using DTD file."", 'employee.xml', 'A detailed description of XML with DTD is given in next pages.', 'In this XML tutorial, we will provide a detail description of schema file, XML schema validation, XML schema data types and XML parsers.', ""Let's see an example of XML using XSD file."", 'A detailed description of XML with XSD is given in next pages.', 'XML Tutorial', 'XML Validation', 'XML Advance', 'XML Interview', 'XQuery Tutorial', 'XSLT Tutorial', 'XPath Tutorial', 'Before learning XML, you must have the basic knowledge of HTML.', 'Our XML tutorial is designed to help beginners and professionals.', 'We assure that you will not find any problem in this XML tutorial. But if there is any mistake, please post the problem in contact form.']",[],[],"['<?xml version=""1.0""?>', '<!DOCTYPE employee SYSTEM ""employee.dtd"">', '<employee>', '<firstname>vimal</firstname>', '<lastname>jaiswal</lastname>', '<email>vimal@javatpoint.com</email>', '</employee>', '<?xml version=""1.0""?>', '<employee', 'xmlns=""http://www.javatpoint.com""', 'xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""', 'xsi:schemaLocation=""http://www.javatpoint.com employee.xsd"">', '<firstname>vimal</firstname>', '<lastname>jaiswal</lastname>', '<email>vimal@javatpoint.com</email>', '</employee>']",[],[],['|||XML Introduction|||What is XML|||XML Features|||HTML vs XML|||XML Example|||XML Technologies|||XML Attributes|||XML Comments|||XML Tree||||||XML Validation|||XML DTD|||XML CSS|||XML Schema|||DTD vs XSD|||CDATA vs PCDATA||||||XML Parsers|||XML DOM|||XML Database|||XML Namespaces||||||XML Interview Questions||||||XQuery Tutorial|||What is XQuery||| XQuery Features||| XQuery vs XPath||| XQuery vs XSLT|||Environment Setup|||XQuery First Example|||XQuery FLWOR|||XQuery HTML Format|||XQuery XPath|||XQuery Syntax|||XQuery Add|||XQuery Functions|||XQuery Sequences|||XQuery Sequence functions|||XQuery String functions|||1) String-length()|||2) String concat()|||3) String-join()|||XQuery Time & Date|||1) current-date()|||2) current-time()|||3) current-dateTime()|||XQuery If Then Else|||XQuery Regex||||||XSLT Tutorial|||What is XSLT|||XSLT Syntax|||XSLT xsl:value-of|||XSLT xsl:for-each|||XSLT xsl:sort|||XSLT xsl:if|||XSLT xsl:choose|||XSLT xsl:key|||XSLT xsl:message|||XSLT xsl:apply-template|||XSLT xsl:import||||||XPath Tutorial|||What is XPath|||XPath Expression|||XPath Nodes|||XPath Syntax|||XPath Absolute Path|||XPath Relative Path|||XPath Axes|||XPath Operators|||XPath Operators|||1) XPath Comparison|||2) XPath Boolean|||3) XPath Number|||4) XPath String|||5) XPath Node|||XPath Wildcard|||XPath Predicate|||']
1,['What is xml'],['A mark up language is a modern system for highlight or underline a document. '],"['https://www.javatpoint.com/features-and-advantages-of-xml', 'https://www.javatpoint.com/xml-tutorial', 'https://www.javatpoint.com/features-and-advantages-of-xml', 'https://www.javatpoint.com/xml-tutorial', 'https://www.javatpoint.com/features-and-advantages-of-xml']",[],[],"['What is mark-up language', 'Prerequisite', 'Why xml']",[],"['Note: Self-describing data is the data that describes both its content and structure.\n\n\n\nWhat is mark-up language\nA mark up language is a modern system for highlight or underline a document. \nStudents often underline or highlight a passage to revise easily, same in the sense of modern mark up language highlighting or underlining is replaced by tags.\n\nPrerequisite\nBefore you start to learn xml, you should know basic of HTML & JavaScript.\n\nWhy xml\nPlatform Independent and Language Independent: The main benefit of xml is that you can use it to take data from a program like Microsoft SQL, convert it into XML then share that XML with other programs and platforms. You can communicate between two platforms which are generally very difficult.\nThe main thing which makes XML truly powerful is its international acceptance. Many corporation use XML interfaces for databases, programming, office application mobile phones and more. It is due to its platform independent feature.\n\nNext TopicXML Features and Advantages\n\n\n\n← prev\nnext →\n\n\n', '\n\n\n\nWhat is mark-up language\nA mark up language is a modern system for highlight or underline a document. \nStudents often underline or highlight a passage to revise easily, same in the sense of modern mark up language highlighting or underlining is replaced by tags.\n\nPrerequisite\nBefore you start to learn xml, you should know basic of HTML & JavaScript.\n\nWhy xml\nPlatform Independent and Language Independent: The main benefit of xml is that you can use it to take data from a program like Microsoft SQL, convert it into XML then share that XML with other programs and platforms. You can communicate between two platforms which are generally very difficult.\nThe main thing which makes XML truly powerful is its international acceptance. Many corporation use XML interfaces for databases, programming, office application mobile phones and more. It is due to its platform independent feature.\n\nNext TopicXML Features and Advantages\n\n\n\n← prev\nnext →\n\n\n']","['Before you start to learn xml, you should know basic of HTML & JavaScript.']","['Students often underline or highlight a passage to revise easily, same in the sense of modern mark up language highlighting or underlining is replaced by tags.', 'The main thing which makes XML truly powerful is its international acceptance. Many corporation use XML interfaces for databases, programming, office application mobile phones and more. It is due to its platform independent feature.']","['Platform Independent and Language Independent: The main benefit of xml is that you can use it to take data from a program like Microsoft SQL, convert it into XML then share that XML with other programs and platforms. You can communicate between two platforms which are generally very difficult.']",[],[],[],"['|||Xml (eXtensible Markup Language) is a mark up language.|||XML is designed to store and transport data.|||Xml was released in late 90’s. it was created to provide an easy to use and store self describing data.|||XML became a W3C Recommendation on February 10, 1998.|||XML is not a replacement for HTML.|||XML is designed to be self-descriptive.|||XML is designed to carry data, not to display data.|||XML tags are not predefined. You must define your own tags.|||XML is platform independent and language independent.|||']"
2,['Features and Advantages of XML'],['XML is widely used in the era of web development. It is also used to simplify data storage and data sharing.'],"['https://www.javatpoint.com/xml-example', 'https://www.javatpoint.com/what-is-xml', 'https://www.javatpoint.com/xml-example', 'https://www.javatpoint.com/what-is-xml', 'https://www.javatpoint.com/xml-example']",[],[],[],[],['4) XML simplifies Platform change'],"['The main features or advantages of XML are given below.', 'If you need to display dynamic data in your HTML document, it will take a lot of work to edit the HTML each time the data changes.', 'With a few lines of JavaScript code, you can read an external XML file and update the data content of your web page.', 'In the real world, computer systems and databases contain data in incompatible formats.', 'XML data is stored in plain text format. This provides a software- and hardware-independent way of storing data.', 'This makes it much easier to create data that can be shared by different applications.', 'One of the most time-consuming challenges for developers is to exchange data between incompatible systems over the Internet.', 'Exchanging data as XML greatly reduces this complexity, since the data can be read by different incompatible applications.', 'Different applications can access your data, not only in HTML pages, but also from XML data sources.', 'A lot of new Internet languages are created with XML.', 'Here are some examples:']","['With XML, data can be stored in separate XML files. This way you can focus on using HTML/CSS for display and layout, and be sure that changes in the underlying data will not require any changes to the HTML.', 'Upgrading to new systems (hardware or software platforms), is always time consuming. Large amounts of data must be converted and incompatible data is often lost.', 'XML data is stored in text format. This makes it easier to expand or upgrade to new operating systems, new applications, or new browsers, without losing data.', 'With XML, your data can be available to all kinds of ""reading machines"" (Handheld computers, voice machines, news feeds, etc), and make it more available for blind people, or people with other disabilities.']",[],[],[],[],['|||XHTML|||WSDL for describing available web services|||WAP and WML as markup languages for handheld devices|||RSS languages for news feeds|||RDF and OWL for describing resources and ontology|||SMIL for describing multimedia for the web|||']
3,['HTML vs XML'],['There are many differences between HTML (Hyper Text Markup Language) and XML (eXtensible Markup Language). The important differences are given below:'],"['https://www.javatpoint.com/xml-example', 'https://www.javatpoint.com/features-and-advantages-of-xml', 'https://www.javatpoint.com/xml-example', 'https://www.javatpoint.com/features-and-advantages-of-xml', 'https://www.javatpoint.com/xml-example']",[],[],[],[],[],[],[],[],[],[],"['o.HTMLXM&&&)HTML is used to display data and focuses on how data looks.XML is a software and hardware independent tool used to transport and store data. It focuses on what data is&&&)HTML is a markup language itself.XML provides a framework to define markup languages&&&)HTML is not case sensitive.XML is case sensitive&&&)HTML is a presentation language.XML is neither a presentation language nor a programming language&&&)HTML has its own predefined tags.You can define tags according to your need&&&)In HTML, it is not necessary to use a closing tag.XML makes it mandatory to use a closing tag&&&)HTML is static because it is used to display data.XML is dynamic because it is used to transport data&&&)HTML does not preserve whitespaces.XML preserve whitespaces']",[]
4,['XML Example'],"['XML documents create a hierarchical structure looks like a tree so it is known as XML Tree that starts at ""the root"" and branches to ""the leaves"".']","['https://www.javatpoint.com/xml-related-technologies', 'https://www.javatpoint.com/features-and-advantages-of-xml', 'https://www.javatpoint.com/https://www.javatpoint.com/xmlpages/books.xml', 'https://www.javatpoint.com/https://www.javatpoint.com/xmlpages/emails.xml', 'https://www.javatpoint.com/xml-related-technologies', 'https://www.javatpoint.com/features-and-advantages-of-xml', 'https://www.javatpoint.com/xml-related-technologies']",[],[],[],[],[],"['XML documents uses a self-describing and simple syntax:', 'The first line is the XML declaration. It defines the XML version (1.0) and the encoding used (ISO-8859-1 = Latin-1/West European character set).', 'The next line describes the root element of the document (like saying: ""this document is a note""):', 'The next 4 lines describe 4 child elements of the root (to, from, heading, and body).', 'And finally the last line defines the end of the root element.', 'XML documents must contain a root element. This element is ""the parent"" of all other elements.', 'The elements in an XML document form a document tree. The tree starts at the root and branches to the lowest level of the tree.', 'All elements can have sub elements (child elements).', 'All elements can have text content and attributes (just like in HTML).', 'File: books.xml', 'The root element in the example is <bookstore>. All  elements in the document are contained within <bookstore>.', 'The <book> element has 4 children: <title>,< author>, <year> and <price>.', 'File: emails.xml']","['The terms parent, child, and sibling are used to describe the relationships between elements. Parent elements have children. Children on the same level are called siblings (brothers or sisters).']",[],"['<?xml version=""1.0"" encoding=""ISO-8859-1""?>', '<to>Tove</to>', '<from>Jani</from>', '<heading>Reminder</heading>', ""<body>Don't forget me this weekend!</body>"", '<to>Tove</to>', '<from>Jani</from>', '<heading>Reminder</heading>', ""<body>Don't forget me this weekend!</body>"", '<child>', '<subchild>.....</subchild>', '</child>', '<bookstore>', '<book category=""COOKING"">', '<title lang=""en"">Everyday Italian</title>', '<author>Giada De Laurentiis</author>', '<year>2005</year>', '<price>30.00</price>', '</book>', '<book category=""CHILDREN"">', '<title lang=""en"">Harry Potter</title>', '<author>J K. Rowling</author>', '<year>2005</year>', '<price>29.99</price>', '</book>', '<book category=""WEB"">', '<title lang=""en"">Learning XML</title>', '<author>Erik T. Ray</author>', '<year>2003</year>', '<price>39.95</price>', '</book>', '</bookstore>', '<?xml version=""1.0"" encoding=""UTF-8""?>', '<emails>', '<to>Vimal</to>', '<from>Sonoo</from>', '<heading>Hello</heading>', '<body>Hello brother, how are you!</body>', '</email>', '<to>Peter</to>', '<from>Jack</from>', '<heading>Birth day wish</heading>', '<body>Happy birth day Tom!</body>', '</email>', '<to>James</to>', '<from>Jaclin</from>', '<heading>Morning walk</heading>', '<body>Please start morning walk to stay fit!</body>', '</email>', '<to>Kartik</to>', '<from>Kumar</from>', '<heading>Health Tips</heading>', '<body>Smoking is injurious to health!</body>', '</email>', '</emails>']","['<?xml version=""1.0"" encoding=""ISO-8859-1""?>\n<note>\n  <to>Tove</to>\n  <from>Jani</from>\n  <heading>Reminder</heading>\n  <body>Don\'t forget me this weekend!</body>\n</note>', '<note>', ""<to>Tove</to>\n<from>Jani</from>\n<heading>Reminder</heading>\n<body>Don't forget me this weekend!</body>"", '</note>', '<root>\n  <child>\n    <subchild>.....</subchild>\n  </child>\n</root>', '<bookstore>\n  <book category=""COOKING"">\n    <title lang=""en"">Everyday Italian</title>\n    <author>Giada De Laurentiis</author>\n    <year>2005</year>\n    <price>30.00</price>\n  </book>\n  <book category=""CHILDREN"">\n    <title lang=""en"">Harry Potter</title>\n    <author>J K. Rowling</author>\n    <year>2005</year>\n    <price>29.99</price>\n  </book>\n  <book category=""WEB"">\n    <title lang=""en"">Learning XML</title>\n    <author>Erik T. Ray</author>\n    <year>2003</year>\n    <price>39.95</price>\n  </book>\n</bookstore>', '<?xml version=""1.0"" encoding=""UTF-8""?>\n<emails>\n<email>\n  <to>Vimal</to>\n  <from>Sonoo</from>\n  <heading>Hello</heading>\n  <body>Hello brother, how are you!</body>\n</email>\n<email>\n  <to>Peter</to>\n  <from>Jack</from>\n  <heading>Birth day wish</heading>\n  <body>Happy birth day Tom!</body>\n</email>\n<email>\n  <to>James</to>\n  <from>Jaclin</from>\n  <heading>Morning walk</heading>\n  <body>Please start morning walk to stay fit!</body>\n</email>\n<email>\n  <to>Kartik</to>\n  <from>Kumar</from>\n  <heading>Health Tips</heading>\n  <body>Smoking is injurious to health!</body>\n</email>\n</emails>']",[],[]
5,['XML Related Technologies'],['Here we have pointed out XML related technologies. There are following XML related technologies:'],"['https://www.javatpoint.com/xml-attributes', 'https://www.javatpoint.com/xml-example', 'https://www.javatpoint.com/xml-attributes', 'https://www.javatpoint.com/xml-example', 'https://www.javatpoint.com/xml-attributes']",[],[],[],[],[],[],[],[],[],[],"['o.|||Technology|||Meaning|||Description &&&1)|||XHTML Extensible html|||It is a|||clearer and stricter version of XML. It belongs to the family of XML markup languages. It was developed to make html more extensible and increase inter-operability with other data.&&&2)|||XML DOM XML document object|||model|||It is a|||standard document model that is used to access and manipulate XML. It defines the XML file in tree structure.&&&3)|||XSL it|||contain three parts:|||i) XSLT (xsl transform)|||ii) XSL|||iii)XPathExtensible style sheet|||language|||i) It transforms XML into other formats, like html.ii) It is used for formatting XML to screen, paper etc.iii) It|||is a language to navigate XML documents.&&&4)|||XQuery XML query language|||It is a|||XML based language which is used to query XML based data.&&&5)|||DTD Document type definition|||It is an standard which is used to define the legal elements in an XML document.&&&6)|||XSD XML schema definition|||It is an|||XML based alternative to dtd. It is used to describe the structure of an XML document.&&&7)|||XLink XML linking language|||xlink stands for XML linking language. This is|||a language for creating hyperlinks (external and internal links) in XML documents.&&&8)|||XPointer XML pointer language|||It is a system for addressing components of XML based internet media. It|||allows the xlink hyperlinks to point to more specific parts in the XML|||document.&&&9)|||SOAP Simple object access|||protocol|||It is an acronym stands simple object access protocol. It is|||XML based protocol to let applications exchange information over http. in simple words you can say that it is protocol used for accessing web services. &&&10)|||WSDL web services description|||languages|||It is an|||XML based language to describe web services. It also describes the functionality offered by a web service.&&&11)|||RDF Resource description|||framework|||RDF is an|||XML based language to describe web resources. It is a standard model for data interchange on the web. It is used to describe the title, author, content and copyright information of a web page.&&&12)|||SVG Scalable vector graphics|||It is an XML based vector image format for two-dimensional images. It|||defines graphics in XML format. It also supports animation.&&&13)|||RSS Really simple syndication|||RSS is a XML-based format to handle web content syndication. It is used for fast browsing for news and updates. It is generally used for news like sites.']",[]
6,['XML Attributes'],['XML elements can have attributes. By the use of attributes we can add the information about the element.'],"['https://www.javatpoint.com/xml-comments', 'https://www.javatpoint.com/xml-related-technologies', 'https://www.javatpoint.com/xml-comments', 'https://www.javatpoint.com/xml-related-technologies', 'https://www.javatpoint.com/xml-comments']",[],[],"['Why should we avoid XML attributes', 'Difference between attribute and sub-element']",[],['Note: XML attributes must always be quoted. We can use single or double quote. '],"['XML attributes enhance the properties of the elements.', 'Let us take an example of a book publisher. Here, book is the element and publisher is the attribute.', 'Metadata should be stored as attribute and data should be stored as element.', 'Data can be stored in attributes or in child elements. But there are some limitations in using attributes, over child elements.', 'In the context of documents, attributes are part of markup, while sub elements are part of the basic document contents.', 'In the context of data representation, the difference is unclear and may be confusing.', 'Same information can be represented in two ways:', 'In the first example publisher is used as an attribute and in the second example publisher is an element.', 'Both examples provide the same information but it is good practice to avoid attribute in XML and use elements instead of attributes.']",[],[],"['<book publisher=""Tata McGraw Hill""></book>', ""<book publisher='Tata McGraw Hill'></book>"", '<book category=""computer"">', '<author> A & B </author>', '<book publisher=""Tata McGraw Hill""> </book>', '<publisher> Tata McGraw Hill </publisher>']",[],[],"[""|||Attributes cannot contain multiple values but child elements can have multiple values.|||Attributes cannot contain tree structure but child element can.|||Attributes are not easily expandable. If you want to change in attribute's vales in future, it may be complicated.|||Attributes cannot describe structure but child elements can.|||Attributes are more difficult to be manipulated by program code.|||Attributes values are not easy to test against a DTD, which is used to define the legal elements of an XML document.|||""]"
7,['XML Comments'],['XML comments are just like HTML comments. We know that the comments are used to make codes more understandable other developers.'],"['https://www.javatpoint.com/xml-tree-structure', 'https://www.javatpoint.com/xml-related-technologies', 'https://www.javatpoint.com/https://www.javatpoint.com/xmlpages/xmlcomments1.xml', 'https://www.javatpoint.com/xml-tree-structure', 'https://www.javatpoint.com/xml-related-technologies', 'https://www.javatpoint.com/xml-tree-structure']",[],[],"['XML Comments Example', 'Rules for adding XML comments']",[],"['Syntax', 'You cannot nest one XML comment inside the another.']","['An XML comment should be written as:', ""Let's take an example to show the use of comment in an XML example: ""]",['XML Comments add notes or lines for understanding the purpose of an XML code. Although XML is known as self-describing data but sometimes XML comments are necessary.'],[],"['<!-- Write your comment-->', '<?xml version=""1.0"" encoding=""UTF-8"" ?>', '<!--Students marks are uploaded by months-->', '<students>', '<student>', '<name>Ratan</name>', '<marks>70</marks>', '</student>', '<student>', '<name>Aryan</name>', '<marks>60</marks>', '</student>', '</students>']",[],[],"[""|||Don't use a comment before an XML declaration.|||You can use a comment anywhere in XML document except within attribute value.|||Don't nest a comment inside the other comment. |||""]"
8,['XML Tree Structure'],['An XML document has a self descriptive structure. It forms a tree structure which is referred as an XML tree. The tree structure makes easy to describe an XML document. '],"['https://www.javatpoint.com/xml-validation', 'https://www.javatpoint.com/xml-comments', 'https://www.javatpoint.com/https://www.javatpoint.com/xmlpages/xmltree.xml', 'https://www.javatpoint.com/xml-validation', 'https://www.javatpoint.com/xml-comments', 'https://www.javatpoint.com/xml-validation']",['https://static.javatpoint.com/xmlpages/images/xml-tree.png'],[],"['Example of an XML document', 'XML Tree Rules']",[],['Note: DOM parser represents the XML document in Tree structure. '],"[""Let's see the tree-structure representation of the above example."", '<address> branch contains 3 sub-branches named <city>, <state> and <pin>. ', 'These rules are used to figure out the relationship of the elements. It shows if an element is a child or a parent of the other element.']","['A tree structure contains root element (as parent), child element and so on. It is very easy to traverse all succeeding branches and sub-branches and leaf nodes starting from the root.', 'Descendants: If element A is contained by element B, then A is known as descendant of B. In the above example ""College"" is the root element and all the other elements are the descendants of ""College"".', 'Ancestors: The containing element which contains other elements is called ""Ancestor"" of other element. In the above example Root element (College) is ancestor of all other elements.']","['In the above example, first line is the XML declaration. It defines the XML version 1.0. Next line shows the root element (college) of the document. Inside that there is one more element (student). Student element contains five branches named <firstname>, <lastname>, <contact>, <Email> and <address>.']","['<?xml version=""1.0""?>', '<college>', '<student>', '<firstname>Tamanna</firstname>', '<lastname>Bhatia</lastname>', '<contact>09990449935</contact>', '<email>tammanabhatia@abc.com</email>', '<address>', '<city>Ghaziabad</city>', '<state>Uttar Pradesh</state>', '<pin>201007</pin>', '</address>', '</student>', '</college>']",[],[],[]
9,['XML Validation'],['A well formed XML document can be validated against DTD or Schema.'],"['https://www.javatpoint.com/xml-dtd', 'https://www.javatpoint.com/xml-attributes', 'https://www.javatpoint.com/xml-dtd', 'https://www.javatpoint.com/xml-attributes', 'https://www.javatpoint.com/xml-dtd']",['https://static.javatpoint.com/xmlpages/images/xml-validation.jpg'],[],"['Valid XML document', 'Rules for well formed XML', 'XML DTD', 'XML schema']",[],[],"['It must be well formed (satisfy all the basic syntax condition)', 'It should be behave according to predefined DTD or XML schema', 'A DTD defines the legal elements of an XML document', 'In simple words we can say that a DTD defines the document structure with a list of legal elements and attributes.', 'XML schema is a XML based alternative to DTD.', 'Actually DTD and XML schema both are used to form a well formed XML document.', 'We should avoid errors in XML documents because they will stop the XML programs.', 'It is defined as an XML language', 'Uses namespaces to allow for reuses of existing definitions', 'It supports a large number of built in data types and definition of derived data types']",['A well-formed XML document is an XML document with correct syntax. It is very necessary to know about valid XML document before knowing XML validation.'],[],[],[],[],['|||It must begin with the XML declaration.|||It must have one unique root element.|||All start tags of XML documents must match end tags.|||XML tags are case sensitive.|||All elements must be closed.|||All elements must be properly nested.|||All attributes values must be quoted.|||XML entities must be used for special characters.|||']
