,main_headings,sub_headings_h2,sub_headings_h3,links,image_urls,facts,definitions,explanations,codes,table_data,list_items
0,['CSS Tutorial'],"['Examples in Each Chapter', 'CSS Examples', 'Use the Menu', 'CSS Templates', 'CSS Exercises', 'Test Yourself With Exercises', 'Exercise:', 'CSS Quiz', 'CSS References', 'Kickstart your career']",['CSS Example'],"['https://www.w3schools.com/css//default.asp', 'https://www.w3schools.com/css/css_intro.asp', 'https://www.w3schools.com/css/css_intro.asp', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_default', 'https://www.w3schools.com/css/css_examples.asp', 'https://www.w3schools.com/css/css_rwd_templates.asp', 'https://www.w3schools.com/css/exercise.asp?filename=exercise_selectors1', 'https://www.w3schools.com/css/css_quiz.asp', 'https://www.w3schools.com/css//cssref/default.asp', 'https://www.w3schools.com/css//cssref/css_selectors.asp', 'https://www.w3schools.com/css//cssref/css_functions.asp', 'https://www.w3schools.com/css//cssref/css_animatable.asp', 'https://www.w3schools.com/css//cssref/css_ref_aural.asp', 'https://www.w3schools.com/css//cssref/css_units.asp', 'https://www.w3schools.com/css//cssref/css_colors.asp', 'https://www.w3schools.com/css//cssref/css_default_values.asp', 'https://www.w3schools.com/css//cssref/css3_browsersupport.asp', 'https://courses.w3schools.com/', 'https://www.w3schools.com/css//default.asp', 'https://www.w3schools.com/css/css_intro.asp']",[],"['CSS is the language we use to style an HTML document.', 'CSS describes how HTML elements should be displayed.', 'This tutorial will teach you CSS from basic to advanced.', 'This CSS tutorial contains hundreds of CSS examples.', 'Click on the ""Try it Yourself"" button to see how it works.', 'Go to CSS Examples!', 'We recommend reading this tutorial, in the sequence listed in the menu.', 'If you have a large screen, the menu will always be present on the left.', 'If you have a small screen, open the menu by clicking the top menu sign ☰.', 'We have created some responsive W3.CSS templates for you to use.', 'You are free to modify, save, share, and use them in all your projects.', 'Free CSS Templates!', 'Set the color of all <p> elements to red.', 'Start the Exercise', 'Test your CSS skills with a quiz.', 'CSS Properties Reference', 'CSS Selectors Reference', 'CSS Functions Reference', 'CSS Animatable Reference', 'CSS Aural Reference', 'CSS Color Reference', 'CSS Default Values', 'CSS Browser Support', 'Get certified by completing the  course']","['With our online editor, you can edit the CSS, and click on a button to view the result.', 'Learn from over 300 examples! With our editor, you can edit the CSS, and click on abutton to view the result.']","['At W3Schools you will find complete CSS references of all properties and selectors with syntax, examples, browser support, and more.']",['\nbody\n{\xa0\xa0background-color: lightblue;}\nh1\n{\n\xa0\xa0color: white;\n\xa0\xa0text-align: center;\n}\np\n{\n  \xa0\nfont-family: verdana;\n\xa0\xa0font-size: 20px;\n}'],[],[]
1,['CSS Introduction'],"['What is CSS?', 'CSS Demo - One HTML Page - Multiple Styles!', 'Why Use CSS?', 'CSS Solved a Big Problem', 'CSS Saves a Lot of Work!']",['CSS Example'],"['https://www.w3schools.com/css/default.asp', 'https://www.w3schools.com/css/css_syntax.asp', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_intro', 'https://www.w3schools.com/css//html/default.asp', 'https://www.w3schools.com/css/default.asp', 'https://www.w3schools.com/css/css_syntax.asp']",[],"['CSS is the language we use to style a Web page.', 'HTML was NEVER intended to contain tags for formatting a web page!', 'HTML was created to describe the content of a web page, like:', '<h1>This is a heading</h1>', '<p>This is a paragraph.</p>', 'To solve this problem, the World Wide Web Consortium (W3C) created CSS.', 'CSS removed the style formatting from the HTML page!', ""If you don't know what HTML is, we suggest that you read our HTML Tutorial."", 'The style definitions are normally saved in external .css files.']","['With an external stylesheet file, you can change the look of an entire website by changing just one file!']","['Here we will show one HTML page displayed with four different stylesheets. Click on the ""Stylesheet 1"", ""Stylesheet 2"", ""Stylesheet 3"", ""Stylesheet 4"" links below to see the different styles:', 'CSS is used to define styles for your web pages, including the design, layout and variations in display for different devices and screen sizes.', 'When tags like <font>, and color attributes were added to the HTML 3.2 specification, it started a nightmare for web developers. Development of large websites, where fonts and color information were added to every single  page, became a long and expensive process.']",['\nbody\n{\xa0\xa0background-color: lightblue;}\nh1\n{\n\xa0\xa0color: white;\n\xa0\xa0text-align: center;\n}\np\n{\n  \xa0\nfont-family: verdana;\n\xa0\xa0font-size: 20px;\n}'],[],"['CSS stands for Cascading Style Sheets|||CSS describes how HTML elements are to be displayed on screen,  |||  paper, or in other media|||CSS saves a lot of work. It can control the layout of |||  multiple web pages all at once|||External stylesheets are stored in CSS files|||']"
2,['CSS Syntax'],['CSS Syntax'],['Example'],"['https://www.w3schools.com/css/css_intro.asp', 'https://www.w3schools.com/css/css_selectors.asp', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_syntax1', 'https://www.w3schools.com/css/css_intro.asp', 'https://www.w3schools.com/css/css_selectors.asp']",['https://www.w3schools.com/css/img_selector.gif'],"['A CSS rule consists of a selector and a declaration block.', 'The selector points to the HTML element you want to style.', 'In this example all <p> elements will be center-aligned, with a red text color:']","['The declaration block contains one or more declarations separated by semicolons.', 'Each declaration includes a CSS property name and a value, separated by a colon.', 'Multiple CSS declarations are separated with semicolons, and declaration blocks are surrounded by curly braces.', 'You will learn much more about CSS selectors and CSS properties in the next chapters!']",[],['\np\n{\n\xa0\xa0color: red;\n\xa0\xa0text-align: center;\n}\n'],[],"['p is a selector in CSS (it points to the HTML element you want to style: |||<p>).|||color is a property, and red is the property value|||text-align is a property, and center is the property value|||']"
3,['CSS Selectors'],"['CSS Selectors', 'The CSS element Selector', 'The CSS id Selector', 'The CSS class Selector', 'The CSS Universal Selector', 'The CSS Grouping Selector', 'Test Yourself With Exercises', 'Exercise:', 'All CSS Simple Selectors']","['Example', 'Example', 'Example', 'Example', 'Example', 'Example', 'Example']","['https://www.w3schools.com/css/css_syntax.asp', 'https://www.w3schools.com/css/css_howto.asp', 'https://www.w3schools.com/css/css_combinators.asp', 'https://www.w3schools.com/css/css_pseudo_classes.asp', 'https://www.w3schools.com/css/css_pseudo_elements.asp', 'https://www.w3schools.com/css/css_attribute_selectors.asp', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_syntax_element', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_syntax_id', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_syntax_class', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_syntax_element_class', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_syntax_element_class2', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_syntax_universal', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_grouping', 'https://www.w3schools.com/css/exercise.asp?filename=exercise_selectors1', 'https://www.w3schools.com/css//cssref/sel_id.asp', 'https://www.w3schools.com/css//cssref/sel_class.asp', 'https://www.w3schools.com/css/../cssref/sel_element_class.asp', 'https://www.w3schools.com/css//cssref/sel_all.asp', 'https://www.w3schools.com/css//cssref/sel_element.asp', 'https://www.w3schools.com/css//cssref/sel_element_comma.asp', 'https://www.w3schools.com/css/css_syntax.asp', 'https://www.w3schools.com/css/css_howto.asp']",[],"['A CSS selector selects the HTML element(s) you want to style.', 'We can divide CSS selectors into five categories:', 'This page will explain the most basic CSS selectors.', 'The element selector selects HTML elements based on the element name.', 'The CSS rule below will be applied to the HTML element with id=""para1"":\xa0', 'Note: An id name cannot start with a number!', 'The class selector selects HTML elements with a specific class attribute.', 'HTML elements can also refer to more than one class.', 'Note: A class name cannot start with a number!', 'The universal selector (*) selects all HTML elements on the page.', 'The CSS rule below will affect every HTML element on the page:\xa0', 'It will be better to group the selectors, to minimize the code.', 'To group selectors, separate each selector with a comma.', 'In this example we have grouped the selectors from the code above:\xa0', 'Set the color of all <p> elements to red.', 'Start the Exercise']","['CSS selectors are used to ""find"" (or select) the HTML elements you want to style.', 'Here, all <p> elements on the page will be center-aligned, with a red text color:\xa0', 'The id selector uses the id attribute of an HTML element to select a specific element.', 'The id of an element is unique within a page, so the id selector is used to select one unique element!', 'To select an element with a specific id, write a hash (#) character, followed by the id of the element.', 'To select elements with a specific class, write a period (.) character, followed by the class name.', 'In this example all HTML elements with class=""center"" will be red and center-aligned:\xa0', 'You can also specify that only specific HTML elements should be affected by a class.', 'In this example only <p> elements with class=""center"" will be red and center-aligned:\xa0', 'In this example the <p> element will be styled according to class=""center"" and to class=""large"":\xa0', 'The grouping selector selects all the HTML elements with the same style definitions.', 'Look at the following CSS code (the h1, h2, and p elements have the same style definitions):']",[],"['\np\n{\n\xa0\xa0text-align: center;\n\xa0\xa0color: red;\n}\n', '\n#para1\n{\n\xa0\xa0text-align: center;\n\xa0\xa0color: red;\n}\n', '\n.center {\xa0 text-align: center;\xa0\xa0color: red;}\n', '\np.center {\xa0 text-align: center;\xa0\xa0color: red;}\n', '\n<p class=""center large"">This paragraph refers to two classes.</p>', '\n  *\n{\n\xa0\xa0text-align: center;\n\xa0\xa0color: blue;\n}\n', '\nh1\n{\n\xa0\xa0text-align: center;\xa0\xa0color: red;\n}\nh2\n{\n  \xa0\ntext-align: center;\xa0 color: red;}\np\n{\n\xa0\xa0text-align: center;\xa0\xa0color: red;\n}', '\nh1, h2, p\n{\n  \xa0\ntext-align: center;\xa0\xa0color: red;}']","['Selector|||Example|||Example description&&&#id|||#firstname|||Selects the element with id=""firstname""&&&.class|||.intro|||Selects all elements with class=""intro""&&&element.class|||p.intro|||Selects only <p> elements with class=""intro""&&&*|||*|||Selects all elements&&&element|||p|||Selects all <p> elements&&&element,element,..|||div, p|||Selects all <div> elements and all <p> elements']","['Simple selectors (select elements based on name, id, class)|||Combinator selectors (select  |||  elements based on a specific relationship between them)|||Pseudo-class selectors (select elements based on a certain state)|||Pseudo-elements selectors (select |||  and style a part of an element)|||Attribute selectors (select elements based on |||  an attribute or attribute value)|||']"
4,['How To Add CSS'],"['Three Ways to Insert CSS', 'External CSS', 'Internal CSS', 'Inline CSS', 'Multiple Style Sheets', 'Cascading Order', 'Test Yourself With Exercises', 'Exercise:']","['Example', '""mystyle.css""', 'Example', 'Example', 'Example', 'Example']","['https://www.w3schools.com/css/css_selectors.asp', 'https://www.w3schools.com/css/css_comments.asp', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_howto_external', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_howto_internal', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_howto_inline', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_howto_multiple', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_howto_multiple2', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_howto_cascade', 'https://www.w3spaces.com', 'https://www.w3schools.com/css/exercise.asp?filename=exercise_howto1', 'https://www.w3schools.com/css/css_selectors.asp', 'https://www.w3schools.com/css/css_comments.asp']",[],"['There are three ways of inserting a style sheet:', 'The external .css file should not contain any HTML tags.', 'Here is how the ""mystyle.css"" file looks:', 'An internal style sheet may be used if one single HTML page has a unique style.', 'An inline style may be used to apply a unique style for a single element.', 'Try it Yourself »', '* no credit card required', 'Add an external style sheet with the URL: ""mystyle.css"".', 'Start the Exercise']","['When a browser reads a style sheet, it will format the HTML document according to the information in the style sheet.', 'With anexternal style sheet, you can change the look of an entire website by changing just one file!', 'External styles are defined within the <link> element, inside the <head> section of an HTML page:', 'An external style sheet can be written in any text editor, and must be saved with a .css extension.', 'The internal style is defined inside the <style> element, inside the head section.', 'Internal styles are defined within the <style> element, inside the <head> section of an HTML page:', 'To use inline styles, add the style attribute to the relevant element. Thestyle attribute can contain any CSS property.', 'Inline styles are defined within the ""style"" attribute of the relevant   element:', ' Assume that an external style sheet has the following style for the <h1> element:', 'Then, assume that an internal style sheet also has the following style for the <h1> element:', 'If the internal style is defined after the link to the external style sheet, the <h1> elements will be ""orange"":', 'What style will be used when there is more than one style specified for an HTML element?', 'So, an inline style has the highest priority, and will override external and internal styles and browser defaults.', 'Ever heard about W3Schools Spaces? Here you can create your own website, or save code snippets for later use, for free.']","['Each HTML page must include a reference to the external style sheet file inside the <link> element, inside the head section.', 'Note: Do not add a space between the property value and the unit:  Incorrect (space): margin-left: 20 px;  Correct (nospace): margin-left: 20px;', 'Tip: An inline style loses many of the advantages of a style sheet (by mixingcontent with presentation). Use this method sparingly.', 'If some properties have been defined for the same selector (element) in different style sheets,the value from the last read style sheet will be used.\xa0', 'However, if the internal style is defined before the link to the external style sheet, the <h1> elements will be ""navy"":\xa0', 'All the styles in a page will ""cascade"" into a new ""virtual"" stylesheet by the following rules, where number one has the highest priority:']","['\n  <!DOCTYPE html><html><head><link rel=""stylesheet"" href=""mystyle.css""></head><body><h1>This is a heading</h1>\n  <p>This is a paragraph.</p></body></html>', '\nbody {\xa0\xa0background-color: lightblue;}h1 {\xa0\xa0color: navy;\xa0\xa0margin-left: 20px;}', '\n  <!DOCTYPE html><html><head><style>body {\xa0 \n  background-color: linen;}h1 {\xa0 color: maroon;\xa0 \n  margin-left: 40px;} </style></head><body><h1>This is a \n  heading</h1><p>This is a paragraph.</p></body></html>', '\n  <!DOCTYPE html><html><body><h1 style=""color:blue;text-align:center;"">This \n  is a heading</h1><p style=""color:red;"">This is a paragraph.</p>\n  </body></html>', '\nh1\n{\n\xa0\xa0color: navy;\n}', '\nh1\n{\n\xa0\xa0color: orange;\xa0\xa0\xa0\n}', '\n<head><link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"">\n<style>h1 {\xa0\xa0color: orange;}</style></head>', '\n<head><style>h1 {\xa0\xa0color: orange;}</style><link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"">\n</head>']",[],['External CSS|||Internal CSS|||Inline CSS|||&&&Inline style (inside an HTML element)|||External and internal style sheets (in the head section)|||Browser default|||']
5,['CSS Comments'],"['CSS Comments', 'HTML and CSS Comments']","['Example', 'Example', 'Example', 'Example']","['https://www.w3schools.com/css/css_howto.asp', 'https://www.w3schools.com/css/css_colors.asp', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_comments', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_comments2', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_comments3', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_comments4', 'https://www.w3schools.com/css/css_howto.asp', 'https://www.w3schools.com/css/css_colors.asp']",[],"['Comments are ignored by browsers.', 'You can add comments wherever you want in the code:', 'Comments can also span multiple lines:\xa0', 'In the following example, we use a combination of HTML and CSS comments:']","['CSS comments are not displayed in the browser, but they can help document your source code.', 'Comments are used to explain the code, and may help when you edit the source code at a later date.', 'A CSS comment is placed inside the <style> element, and starts with /* and ends with */:', 'From the HTML tutorial, you learned that you can add comments to your HTML source by using the <!--...--> syntax.']",[],"['\n  /* This is a single-line comment */p\n{\n  \xa0\ncolor: red;\n}', '\n    p\n{\n  \xa0\ncolor: red;\xa0\n  /* Set text color to red */\n}', '\n  /* This isa multi-linecomment */\np\n{\n  \xa0\ncolor: red;\n}\n', '\n  <!DOCTYPE html><html><head><style>p {\xa0 color: red; /* Set \n  text color to red */} </style></head><body><h2>My \n  Heading</h2><!-- These paragraphs will be red --><p>Hello \n  World!</p><p>This paragraph is styled with CSS.</p><p>CSS comments are \n  not shown in the output.</p></body></html>\n']",[],[]
6,['CSS Colors'],"['CSS Color Names', 'CSS Background Color', 'CSS Text Color', 'CSS Border Color', 'Hello World', 'Hello World', 'Hello World', 'CSS Color Values']","['Example', 'Hello World', 'Example', 'Example', 'Example', 'Learn more about Color Values']","['https://www.w3schools.com/css/css_comments.asp', 'https://www.w3schools.com/css/css_colors_rgb.asp', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_color_names', 'https://www.w3schools.com/css//colors/colors_names.asp', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_color_background', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_color_text', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_color_border', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_color_values', 'https://www.w3schools.com/css/css_colors_rgb.asp', 'https://www.w3schools.com/css/css_colors_hex.asp', 'https://www.w3schools.com/css/css_colors_hsl.asp', 'https://www.w3schools.com/css/css_comments.asp', 'https://www.w3schools.com/css/css_colors_rgb.asp']",[],"['In CSS, a color can be specified by using a predefined color name:', 'Try it Yourself »', 'CSS/HTML support 140 standard color names.', 'You can set the background color for HTML elements:', 'You can set the color of text:', 'You can set the color of borders:', 'Same as color name ""Tomato"":', 'Same as color name ""Tomato"", but 50% transparent:', 'You will learn more about RGB, HEX and HSL in the next chapters.']","['Colors are specified using predefined color names, or RGB, HEX, HSL, RGBA, HSLA values.', 'In CSS, colors can also be specified using RGB values, HEX values, HSL values, RGBA values, and HSLA values:']","['Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat.', 'Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat.']","['\n  <h1 style=""background-color:DodgerBlue;"">Hello World</h1><p style=""background-color:Tomato;"">Lorem \n  ipsum...</p>', '\n  <h1 style=""color:Tomato;"">Hello \n  World</h1><p style=""color:DodgerBlue;"">Lorem \n  ipsum...</p><p style=""color:MediumSeaGreen;"">Ut wisi \n  enim...</p>', '\n  <h1 style=""border:2px \n  solid Tomato;"">Hello \n  World</h1><h1 style=""border:2px \n  solid DodgerBlue;"">Hello \n  World</h1><h1 style=""border:2px \n  solid Violet;"">Hello \n  World</h1>', '\n  <h1 style=""background-color:rgb(255, \n  99, 71);"">...</h1><h1 style=""background-color:#ff6347;"">...</h1><h1 style=""background-color:hsl(9, \n  100%, 64%);"">...</h1><h1 style=""background-color:rgba(255, \n  99, 71, 0.5);"">...</h1><h1 style=""background-color:hsla(9, \n  100%, 64%, 0.5);"">...</h1>']",[],[]
7,['CSS Colors'],"['CSS Color Names', 'CSS Background Color', 'CSS Text Color', 'CSS Border Color', 'Hello World', 'Hello World', 'Hello World', 'CSS Color Values']","['Example', 'Hello World', 'Example', 'Example', 'Example', 'Learn more about Color Values']","['https://www.w3schools.com/css/css_comments.asp', 'https://www.w3schools.com/css/css_colors_rgb.asp', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_color_names', 'https://www.w3schools.com/css//colors/colors_names.asp', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_color_background', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_color_text', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_color_border', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_color_values', 'https://www.w3schools.com/css/css_colors_rgb.asp', 'https://www.w3schools.com/css/css_colors_hex.asp', 'https://www.w3schools.com/css/css_colors_hsl.asp', 'https://www.w3schools.com/css/css_comments.asp', 'https://www.w3schools.com/css/css_colors_rgb.asp']",[],"['In CSS, a color can be specified by using a predefined color name:', 'Try it Yourself »', 'CSS/HTML support 140 standard color names.', 'You can set the background color for HTML elements:', 'You can set the color of text:', 'You can set the color of borders:', 'Same as color name ""Tomato"":', 'Same as color name ""Tomato"", but 50% transparent:', 'You will learn more about RGB, HEX and HSL in the next chapters.']","['Colors are specified using predefined color names, or RGB, HEX, HSL, RGBA, HSLA values.', 'In CSS, colors can also be specified using RGB values, HEX values, HSL values, RGBA values, and HSLA values:']","['Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat.', 'Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat.']","['\n  <h1 style=""background-color:DodgerBlue;"">Hello World</h1><p style=""background-color:Tomato;"">Lorem \n  ipsum...</p>', '\n  <h1 style=""color:Tomato;"">Hello \n  World</h1><p style=""color:DodgerBlue;"">Lorem \n  ipsum...</p><p style=""color:MediumSeaGreen;"">Ut wisi \n  enim...</p>', '\n  <h1 style=""border:2px \n  solid Tomato;"">Hello \n  World</h1><h1 style=""border:2px \n  solid DodgerBlue;"">Hello \n  World</h1><h1 style=""border:2px \n  solid Violet;"">Hello \n  World</h1>', '\n  <h1 style=""background-color:rgb(255, \n  99, 71);"">...</h1><h1 style=""background-color:#ff6347;"">...</h1><h1 style=""background-color:hsl(9, \n  100%, 64%);"">...</h1><h1 style=""background-color:rgba(255, \n  99, 71, 0.5);"">...</h1><h1 style=""background-color:hsla(9, \n  100%, 64%, 0.5);"">...</h1>']",[],[]
8,['CSS RGB Colors'],"['RGB Value', 'RGBA Value']","['Example', 'Example', 'Example']","['https://www.w3schools.com/css/css_colors.asp', 'https://www.w3schools.com/css/css_colors_hex.asp', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_color_rgb2', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_color_rgb_gray', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_color_rgba2', 'https://www.w3schools.com/css/css_colors.asp', 'https://www.w3schools.com/css/css_colors_hex.asp']",[],"['An RGB color value represents RED, GREEN, and BLUE light sources.', 'In CSS, a color can be specified as an RGB value, using this formula:', 'rgb(red, green, blue)', 'To display black, set all color parameters to 0, like this: rgb(0, 0, 0).', 'Experiment by mixing the RGB values below:', 'An RGBA color value is specified with:', 'rgba(red, green, blue, alpha)', 'Experiment by mixing the RGBA values below:']","['Each parameter (red, green, and blue) defines the intensity of the color between 0 and 255.', 'To display white, set all color parameters to 255, like this: rgb(255, 255, 255). ', 'Shades of gray are often defined using equal values for all the 3 light sources:', 'RGBA color values are an extension of RGB color values with an alpha channel - which specifies the opacity for a color.', 'The alpha parameter is a number between 0.0 (fully transparent) and 1.0 (not transparent at all):']","['For example, rgb(255, 0, 0) is displayed as red, because red is set to its highest value (255) and the others are set to 0.']",[],[],[]
9,['CSS HEX Colors'],"['HEX Value', '3 Digit HEX Value']","['Example', 'Example', 'Example']","['https://www.w3schools.com/css/css_colors_rgb.asp', 'https://www.w3schools.com/css/css_colors_hsl.asp', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_color_hex2', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_color_hex_gray', 'https://www.w3schools.com/css/tryit.asp?filename=trycss_color_hex_3digit', 'https://www.w3schools.com/css/css_colors_rgb.asp', 'https://www.w3schools.com/css/css_colors_hsl.asp']",[],"['In CSS, a color can be specified using a hexadecimal value in the form:', 'To display black, set all values to 00, like this: #000000.', 'To display white, set all values to ff, like this: #ffffff. \xa0', 'Experiment by mixing the HEX values below:', 'Sometimes you will see a 3-digit hex code in the CSS source.', 'The 3-digit hex code is a shorthand for some 6-digit hex codes.', 'The 3-digit hex code has the following form:', 'Here is an example:']","['Where rr (red), gg (green) and bb (blue) are hexadecimal values between 00 and ff (same as decimal 0-255).', 'Shades of gray are often defined using equal values for all the 3 light sources:', 'Where r, g, and b represents the red, green, and blue components with values between 0 and f.']","['A hexadecimal color is specified with: #RRGGBB, where the RR (red), GG (green) and BB (blue) hexadecimal integers specify the components of the color.', 'For example, #ff0000 is displayed as red, because red is set to its highest value (ff) and the others are set to the lowest value (00).', 'The 3-digit hex code can only be used when both the values (RR, GG, and BB) are the same for each components. So, if we have #ff00cc, it can be written like this: #f0c.']",['\n  body {\xa0 background-color: #fc9; /* same as #ffcc99 */}h1 {\xa0 \n  color: #f0f; /* same as #ff00ff */}p {\xa0 \n  color: #b58; /* same as #bb5588 */} '],[],[]
