,main_headings,sub_headings_h2,sub_headings_h3,links,image_urls,facts,definitions,explanations,codes,table_data,list_items
0,['C# Tutorial'],"['Examples in Each Chapter', 'C# Exercises', 'Test Yourself With Exercises', 'Exercise:', 'Learn by Examples', 'C# Quiz', 'Kickstart your career']",['Example'],"['https://www.w3schools.com/cs//default.asp', 'https://www.w3schools.com/cs/cs_intro.php', 'https://www.w3schools.com/cs/cs_intro.asp', 'https://www.w3schools.com/cs/trycs.php?filename=demo_helloworld', 'https://www.w3schools.com/cs/exercise.asp?filename=exercise_syntax1', 'https://www.w3schools.com/cs/cs_examples.asp', 'https://www.w3schools.com/cs/cs_quiz.asp', 'https://courses.w3schools.com/', 'https://www.w3schools.com/cs//default.asp', 'https://www.w3schools.com/cs/cs_intro.php']",[],"['C# is used to develop web apps, desktop apps, mobile apps, games and much more.', 'Try it Yourself »', 'Click on the ""Run example"" button to see how it works.', 'We recommend reading this tutorial, in the sequence listed in the left menu.', 'Insert the missing part of the code below to output ""Hello World!"".', 'Start the Exercise', 'See All C# Examples', 'Start C# Quiz', 'Get certified by completing the  course']","['C# (C-Sharp) is a programming language developed by Microsoft that runs on the .NET Framework.', 'Our ""Try it Yourself"" tool makes it easy to learn C#. You can edit C# code and view the result in your browser.', 'Learn by examples! This tutorial supplements all explanations with clarifying examples.', 'Learn by taking a quiz! The quiz will give you a signal of how much you know, or do not know, about C#.']",[],[],[],[]
1,['C# Introduction'],"['What is C#?', 'Why Use C#?', 'Get Started']",[],"['https://www.w3schools.com/cs/index.php', 'https://www.w3schools.com/cs/cs_getstarted.php', 'https://www.w3schools.com/cs//cpp/default.asp', 'https://www.w3schools.com/cs//java/default.asp', 'https://www.w3schools.com/cs//cpp/default.asp', 'https://www.w3schools.com/cs//java/default.asp', 'https://www.w3schools.com/cs/cs_getstarted.php', 'https://www.w3schools.com/cs/index.php', 'https://www.w3schools.com/cs/cs_getstarted.php']",[],"['C# is pronounced ""C-Sharp"". ', 'C# is used for:', 'This tutorial will teach you the basics of C#.', 'It is not necessary to have any prior programming experience.']","['It is an object-oriented programming language created by Microsoft that runs on the .NET Framework.', 'C# has roots from the C family, and the language is close to other popular languages like C++ and Java.', 'The first version was released in year 2002. The latest version, C# 8, was released in September 2019.']",[],[],[],"['Mobile applications|||Desktop applications|||Web applications|||Web services|||Web sites|||Games|||VR|||Database applications|||And much, much more!|||It is one of the most popular programming language in the world|||It is easy to learn and simple to use|||It has a huge community support|||C# is an object oriented language which gives a clear structure to programs and allows code to be reused, lowering development costs.|||As C# is close to C, C++ and Java, it makes it easy for programmers to switch to C# or vice versa|||']"
2,['C# Get Started'],"['C# IDE', 'C# Install', 'Learning C# At W3Schools']",[],"['https://www.w3schools.com/cs/cs_intro.php', 'https://www.w3schools.com/cs/cs_syntax.php', 'https://visualstudio.microsoft.com/vs/community/', 'https://www.w3schools.com/cs/trycs.php?filename=demo_helloworld', 'https://www.w3schools.com/cs/trycs.php?filename=demo_helloworld', 'https://www.w3schools.com/cs/cs_intro.php', 'https://www.w3schools.com/cs/cs_syntax.php']","['https://www.w3schools.com/cs/Workload.png', 'https://www.w3schools.com/cs/Newproject.png', 'https://www.w3schools.com/cs/Newproject2.png', 'https://www.w3schools.com/cs/Consoleapp.png', 'https://www.w3schools.com/cs/saveas.png', 'https://www.w3schools.com/cs/Program.png']","['The easiest way to get started with C#, is to use an IDE.', 'An IDE (Integrated Development Environment) is used to edit and compile code.', 'On the start window, choose Create a new project:', 'Then click on the ""Install more tools and features"" button:', 'Choose ""Console App (.NET Core)"" from the list and click on the Next button:', 'Enter a name for your project, and click on the Create button:', 'Visual Studio will automatically generate some code for your project:', 'The code should look something like this:', 'Try it Yourself »', 'Congratulations! You have now written and executed your first C# program.', 'Try it Yourself »']","['After the installation is complete, click on the Launch button to get started with Visual Studio.']","['In our tutorial, we will use Visual Studio Community, which is free to download from https://visualstudio.microsoft.com/vs/community/.', 'Applications written in C# use the .NET Framework, so it makes sense to use Visual Studio, as the program, the framework, and the language, are all created by Microsoft.', 'Once the Visual Studio Installer is downloaded and installed, choose the .NET workload and click on the Modify/Install button:', ""Don't worry if you don't understand the code above - we will discuss it in detail in later chapters. For now, focus on how to run the code."", 'Run the program by pressing the F5 button on your keyboard (or click on ""Debug"" -> ""Start Debugging""). This will compile and execute your code. The result will look something to this:', 'When learning C# at W3Schools.com, you can use our ""Try it Yourself"" tool, which shows both the code and the result. This will make it easier for you to understand every part as we move forward:']",[],[],[]
3,['C# Syntax'],"['C# Syntax', 'WriteLine or Write', 'C# Exercises', 'Test Yourself With Exercises', 'Exercise:']","['Example explained', 'Example']","['https://www.w3schools.com/cs/cs_getstarted.php', 'https://www.w3schools.com/cs/cs_comments.php', 'https://www.w3schools.com/cs/trycs.php?filename=demo_helloworld', 'https://www.w3schools.com/cs//java/default.asp', 'https://www.w3schools.com/cs/cs_getstarted.asp', 'https://www.w3schools.com/cs/trycs.php?filename=demo_helloworld2', 'https://www.w3schools.com/cs/exercise.php?filename=exercise_syntax1', 'https://www.w3schools.com/cs/cs_getstarted.php', 'https://www.w3schools.com/cs/cs_comments.php']",[],"['Try it Yourself »', 'Line 1: using System means that we can use classes from the System namespace.', 'Line 4: The curly braces {} marks the beginning and the end of a block of code.', 'Note: Every C# statement ends with a semicolon ;.', 'Note: C# is case-sensitive: ""MyClass"" and ""myclass"" has different meaning.', 'Try it Yourself »', 'Insert the missing part of the code below to output ""Hello World!"".', 'Start the Exercise']","['Line 2: A blank line. C# ignores white space. However, multiple lines makes the code more readable.', 'Line 3: namespace is used to organize your code, and it is a container for classes and other namespaces.', 'If you omit the using System line, you would have to write System.Console.WriteLine() to print/output text.', 'The most common method to output something in C# is WriteLine(), but you can also use Write().', 'In this tutorial, we will only use WriteLine() as it makes it easier to read the output of code.']","['In the previous chapter, we created a C# file called Program.cs, and we used the following code to print ""Hello World"" to the screen:', 'Line 5: class is a container for data and methods, which brings functionality to your program. Every line of code that runs in C# must be inside a class. In our example, we named the class Program.', ""Don't worry if you don't understand how using System, namespace and class works. Just think of it as something that (almost) always appears in your program, and that you will learn more about them in a later chapter."", ""Line 7: Another thing that always appear in a C# program, is the Main method. Any code inside its curly brackets {} will be executed.You don't have to understand the keywords before and after Main. You will get to know them bit by bit while reading this tutorial."", 'Line 9: Console is a class of the System namespace, which has a WriteLine() method that is used to output/print text. In our example it will output ""Hello World!"". ', 'Note: Unlike Java, the name of the C# file does not have to match the class name, but they often do (for better organization).When saving the file, save it using a proper name and add "".cs"" to the end of the filename. To run the example above on your computer, make sure that C# is properly installed: Go to the Get Started Chapter for how to install C#. The output should be:', 'The difference is that WriteLine() prints the output on a new line each time, while Write() prints on the same line (note that you should remember to add spaces when needed, for better readability):']",[],[],[]
4,['C# Comments'],"['C# Comments', 'Single-line Comments', 'C# Multi-line Comments', 'C# Exercises', 'Test Yourself With Exercises', 'Exercise:']","['Example', 'Example', 'Example']","['https://www.w3schools.com/cs/cs_syntax.php', 'https://www.w3schools.com/cs/cs_variables.php', 'https://www.w3schools.com/cs/trycs.php?filename=demo_single_comment', 'https://www.w3schools.com/cs/trycs.php?filename=demo_single_comment_end', 'https://www.w3schools.com/cs/trycs.php?filename=demo_multi_comment', 'https://www.w3schools.com/cs/exercise.php?filename=exercise_comments1', 'https://www.w3schools.com/cs/cs_syntax.php', 'https://www.w3schools.com/cs/cs_variables.php']",[],"['Single-line comments start with two forward slashes (//).', 'This example uses a single-line comment before a line of code:', 'Try it Yourself »', 'This example uses a single-line comment at the end of a line of code:', 'Try it Yourself »', 'Multi-line comments start with /* and ends with */.', 'Any text between /* and */ will be ignored by C#.', 'This example uses a multi-line comment (a comment block) to explain the code:', 'Try it Yourself »', 'Insert the missing parts to create two types of comments.', 'Start the Exercise']","['Any text between // and the end of the line is ignored by C# (will not be executed).', 'It is up to you which you want to use. Normally, we use // for short comments, and /* */ for longer.']","['Comments can be used to explain C# code, and to make it more readable. It can also be used to prevent execution when testing alternative code.']",[],[],[]
5,['C# Variables'],"['C# Variables', 'Declaring (Creating) Variables', 'Constants', 'Other Types', 'Display Variables', 'Declare Many Variables', 'C# Identifiers', 'C# Exercises', 'Test Yourself With Exercises', 'Exercise:']","['Syntax', 'Example', 'Example', 'Example', 'Example', 'Example', 'Example', 'Example', 'Example', 'Example', 'Example', 'Example']","['https://www.w3schools.com/cs/cs_comments.php', 'https://www.w3schools.com/cs/cs_data_types.php', 'https://www.w3schools.com/cs/trycs.php?filename=demo_variables', 'https://www.w3schools.com/cs/trycs.php?filename=demo_variables_int', 'https://www.w3schools.com/cs/trycs.php?filename=demo_variables_int2', 'https://www.w3schools.com/cs/trycs.php?filename=demo_variables_override', 'https://www.w3schools.com/cs/cs_data_types.asp', 'https://www.w3schools.com/cs/trycs.php?filename=demo_variables2', 'https://www.w3schools.com/cs/trycs.php?filename=demo_variables3', 'https://www.w3schools.com/cs/trycs.php?filename=demo_variables4', 'https://www.w3schools.com/cs/trycs.php?filename=demo_variables5', 'https://www.w3schools.com/cs/trycs.php?filename=demo_variables_identifiers', 'https://www.w3schools.com/cs/exercise.php?filename=exercise_variables1', 'https://www.w3schools.com/cs/cs_comments.php', 'https://www.w3schools.com/cs/cs_data_types.php']",[],"['Variables are containers for storing data values. ', 'To create a variable, you must specify the type and assign it a value:', 'To create a variable that should store text, look at the following example:', 'Create a variable called name of type string and assign it the value ""John"":', 'Try it Yourself »', 'To create a variable that should store a number, look at the following example:', 'Create a variable called myNum of type int and assign it the value 15:', 'Try it Yourself »', 'Try it Yourself »', 'Change the value of myNum to 20:', 'Try it Yourself »', 'A demonstration of how to declare variables of other types:', 'You will learn more about data types in the next chapter.', 'To combine both text and a variable, use the + character:', 'Try it Yourself »', 'You can also use the + character to add a variable to another variable:', 'Try it Yourself »', 'Try it Yourself »', 'From the example above, you can expect:', 'To declare more than one variable of the same type, use a comma-separated list:', 'Try it Yourself »', 'All C# variables must beidentified with unique names.', 'These unique names are called identifiers.', 'Try it Yourself »', 'The general rules for naming variables are:', 'Create a variable named myNum and assign the value 50 to it.', 'Start the Exercise']","['In C#, there are different types of variables (defined with different keywords), for example:', 'You can also declare a variable without assigning the value, and assign the value later:', 'Note that if you assign a new value to an existing variable, it will overwrite the previous value:', 'The WriteLine() method is often used to display variable values to the console window.', 'For numeric values, the + character works as a mathematical operator (notice that we use int (integer) variables here):', 'Identifiers can be short names (like x and y) or more descriptive names (age, sum, totalVolume).', 'Note: It is recommended to use descriptive names in order to create understandable and maintainable code:']","['Where type is a C# type (such as int or string), and variableName is the name of the variable (such as x orname). The equal sign is used to assign values to the variable.', 'However, you can add the const keyword if you don\'t want others (or yourself) to overwrite existing values (this will declare the variable as ""constant"", which means unchangeable and read-only):', ""The const keyword is useful when you want a variable to always store the same value, so that others (or yourself) won't mess up your code. An example that is often referred to as a constant, is PI (3.14159...)."", 'Note: You cannot declare a constant variable without assigning the value. If you do, an error will occur: A const field requires a value to be provided.']",[],[],"['int - stores integers (whole numbers), without decimals, such as 123 or -123|||double - stores floating point numbers, with decimals, such as 19.99 or -19.99|||char - stores single characters, such as \'a\' or \'B\'. ||| Char values are surrounded by single quotes|||string - stores text, such as ""Hello World"". ||| String values are surrounded by double quotes|||bool - stores values with two states: ||| true or false|||x stores the value 5|||y stores the value 6|||Then we use the WriteLine() method to display the value of x + y, ||| which is 11|||Names can contain letters, digits and the underscore character (_)|||Names must begin with a letter|||Names should start with a lowercase letter and it cannot contain whitespace|||Names are case sensitive (""myVar"" and ""myvar"" are different variables)|||Reserved words (like C# keywords, such as int or |||  double) cannot be used as names|||']"
6,['C# Data Types'],"['C# Data Types', 'Numbers', 'Integer Types', 'Floating Point Types', 'Booleans', 'Characters', 'Strings', 'C# Exercises', 'Test Yourself With Exercises', 'Exercise:']","['Example', 'Int', 'Example', 'Long', 'Example', 'Float', 'Example', 'Double', 'Example', 'Scientific Numbers', 'Example', 'Example', 'Example', 'Example']","['https://www.w3schools.com/cs/cs_variables.php', 'https://www.w3schools.com/cs/cs_type_casting.php', 'https://www.w3schools.com/cs/trycs.php?filename=demo_data_types', 'https://www.w3schools.com/cs/trycs.php?filename=demo_type_int', 'https://www.w3schools.com/cs/trycs.php?filename=demo_type_long', 'https://www.w3schools.com/cs/trycs.php?filename=demo_type_float', 'https://www.w3schools.com/cs/trycs.php?filename=demo_type_double', 'https://www.w3schools.com/cs/trycs.php?filename=demo_type_scientific', 'https://www.w3schools.com/cs/trycs.php?filename=demo_type_bool', 'https://www.w3schools.com/cs/trycs.php?filename=demo_type_char', 'https://www.w3schools.com/cs/trycs.php?filename=demo_type_string', 'https://www.w3schools.com/cs/exercise.php?filename=exercise_data_types1', 'https://www.w3schools.com/cs/cs_variables.php', 'https://www.w3schools.com/cs/cs_type_casting.php']",[],"['Try it Yourself »', 'Number types are divided into two groups:', 'Try it Yourself »', 'Try it Yourself »', 'Try it Yourself »', 'Try it Yourself »', 'Use float or double?', 'Try it Yourself »', 'Try it Yourself »', 'Try it Yourself »', 'Try it Yourself »', 'Add the correct data type for the following variables:', 'Start the Exercise']","['As explained in the variables chapter, a variable in C# must be a specified data type:', 'You should use a floating point type whenever you need a number with a decimal, such as 9.99 or 3.14515.', 'A floating point number can also be a scientific number with an ""e"" to indicate the power of 10:', 'A boolean data type is declared with the bool keyword and can only take the values true or false:', 'Boolean values are mostly used for conditional testing, which you will learn more about in a later chapter.']","['A data type specifies the size and type of variable values. It is important to use the correct data type for the corresponding variable; to avoid errors, to save time and memory, but it will also make your code more maintainable and readable. The most common data types are:', 'Integer types stores whole numbers, positive or negative (such as 123 or -456), without decimals. Valid types are int and long. Which type you should use, depends on the numeric value.', 'Floating point types represents numbers with a fractional part, containing one or more decimals. Valid types are float and double.', 'Even though there are many numeric types in C#, the most used for numbers are int (for whole numbers) and double (for floating point numbers). However, we will describe them all as you continue to read.', 'The int data type can store whole numbers from -2147483648 to 2147483647.  In general, and in our tutorial, the int data type is the preferred data type when we create variables with a numeric value.', 'The long data type can store whole numbers from -9223372036854775808 to 9223372036854775807. This is used when int is not large enough to store the value. Note that you should end the value with an ""L"":', 'The float data type can store fractional numbers from 3.4e−038 to 3.4e+038. Note that you should end the value with an ""F"":', 'The double data type can store fractional numbers from 1.7e−308 to 1.7e+308. Note that you can end the value with a ""D"" (although not required):', 'The precision of a floating point value indicates how many digits the value can have after the decimal point.The precision of float is only six or seven decimal digits, while double variables have a precision of about 15 digits. Therefore it is safer to use double for most calculations.', ""The char data type is used to store a single character. The character must be surrounded by single quotes, like 'A' or 'c':"", 'The string data type is used to store a sequence of characters (text). String values must be surrounded by double quotes:']",[],"['Data Type|||Size|||Description&&&int|||4 bytes|||Stores whole numbers from -2,147,483,648 to 2,147,483,647&&&long|||8 bytes|||Stores whole numbers from -9,223,372,036,854,775,808 to |||9,223,372,036,854,775,807&&&float|||4 bytes|||Stores fractional numbers. Sufficient for |||storing 6 to 7 decimal digits&&&double|||8 bytes|||Stores fractional numbers. Sufficient for |||storing 15 decimal digits&&&bool|||1 bit|||Stores true or false values&&&char|||2 bytes|||Stores a single character/letter, surrounded by single quotes&&&string|||2 bytes per character|||Stores a sequence of characters, surrounded by double quotes']",[]
7,['C# Type Casting'],"['C# Type Casting', 'Implicit Casting', 'Explicit Casting', 'Type Conversion Methods']","['Example', 'Example', 'Example', 'Why Conversion?']","['https://www.w3schools.com/cs/cs_data_types.php', 'https://www.w3schools.com/cs/cs_user_input.php', 'https://www.w3schools.com/cs/trycs.php?filename=demo_casting_impl', 'https://www.w3schools.com/cs/trycs.php?filename=demo_casting_expl', 'https://www.w3schools.com/cs/trycs.php?filename=demo_convertto', 'https://www.w3schools.com/cs/cs_user_input.asp', 'https://www.w3schools.com/cs/cs_data_types.php', 'https://www.w3schools.com/cs/cs_user_input.php']",[],"['Type casting is when you assign a value of one data type to another type.', 'In C#, there are two types of casting:', 'Try it Yourself »', 'Try it Yourself »', 'Try it Yourself »']","['Implicit casting is done automatically when passing a smaller size type to a larger size type:', 'Explicit casting must be done manually by placing the type in parentheses in front of the value:']","['It is also possible to convert data types explicitly by using built-in methods, such as Convert.ToBoolean, Convert.ToDouble, Convert.ToString, Convert.ToInt32 (int) and Convert.ToInt64 (long):', ""Many times, there's no need for type conversion. But sometimes you have to. Take a look at the next chapter, when working with user input, to see an example of this.""]",[],[],['Implicit Casting (automatically) - converting a smaller type |||to a larger type size|||char -> int -> long -> float -> double|||Explicit Casting (manually) - converting a larger type |||to a smaller size type|||double -> float -> long -> int -> char']
8,['C# User Input'],"['Get User Input', 'User Input and Numbers', 'C# Exercises', 'Test Yourself With Exercises', 'Exercise:']","['Example', 'Example', 'Example']","['https://www.w3schools.com/cs/cs_type_casting.php', 'https://www.w3schools.com/cs/cs_operators.php', 'https://www.w3schools.com/cs/showjava.asp?filename=demo_user_input', 'https://www.w3schools.com/cs/cs_type_casting.asp', 'https://www.w3schools.com/cs/showjava.asp?filename=demo_user_input2', 'https://www.w3schools.com/cs/cs_exceptions.asp', 'https://www.w3schools.com/cs/exercise.php?filename=exercise_user_input1', 'https://www.w3schools.com/cs/cs_type_casting.php', 'https://www.w3schools.com/cs/cs_operators.php']",[],"['Run example »', 'The error message will be something like this:', 'Run example »', 'Fill in the missing parts to get user input, stored in the variable userName:', 'Start the Exercise']","[""Like the error message says, you cannot implicitly convert type 'string' to 'int'. "", 'You will learn more about Exceptions and how to handle errors in a later chapter.']","['You have already learned that Console.WriteLine() is used to output (print) values. Now we will use Console.ReadLine() to get user input.', 'In the following example, the user can input his or hers username, which is stored in the variable userName. Then we print the value of userName:', 'The Console.ReadLine() method returns a string. Therefore, you cannot get information from another data type, such as int. The following program will cause an error:', 'Luckily, for you, you just learned from the previous chapter (Type Casting), that you can convert any type explicitly, by using one of the Convert.To methods:', ""Note: If you enter wrong input (e.g. text in a numerical input), you will get an exception/error message (like System.FormatException: 'Input string was not in a correct format.').""]",[],[],[]
9,['C# Operators'],"['C# Operators', 'Arithmetic Operators', 'C# Assignment Operators', 'C# Comparison Operators', 'C# Logical Operators', 'C# Exercises', 'Test Yourself With Exercises', 'Exercise:']","['Example', 'Example', 'Example', 'Example']","['https://www.w3schools.com/cs/cs_user_input.php', 'https://www.w3schools.com/cs/cs_math.php', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper2', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_add', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_sub', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_mult', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_div', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_mod', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_inc', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_dec', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_assignment1', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_assignment2', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_ass1', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_ass2', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_ass3', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_ass4', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_ass5', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_ass6', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_ass7', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_ass8', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_ass9', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_ass10', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_ass11', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_comp1', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_comp2', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_comp3', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_comp4', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_comp5', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_comp6', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_logical1', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_logical2', 'https://www.w3schools.com/cs/trycs.php?filename=demo_oper_logical3', 'https://www.w3schools.com/cs/cs_booleans.asp', 'https://www.w3schools.com/cs/cs_conditions.asp', 'https://www.w3schools.com/cs/exercise.php?filename=exercise_operators1', 'https://www.w3schools.com/cs/cs_user_input.php', 'https://www.w3schools.com/cs/cs_math.php']",[],"['Operators are used to perform operations on variables and values.', 'In the example below, we use the+ operator to add together two values:', 'Try it Yourself »', 'Try it Yourself »', 'Arithmetic operators are used to perform common mathematical operations:', 'Assignment operators are used to assign values to variables.', 'Try it Yourself »', 'The addition assignment operator (+=) adds a value to a variable:', 'Try it Yourself »', 'A list of all assignment operators:', 'Comparison operators are used to compare two values:', 'Logical operators are used to determine the logic between variables or values:', 'Multiply 10 with 5, and print the result.', 'Start the Exercise']","['In the example below, we use the assignment operator (=) to assign the value 10 to a variable called x:', 'You will learn more about comparison and logical operators in the Booleans and If...Else chapters.']","['Although the + operator is often used to add together two values, like in the example above, it can also be used to add together a variable and a value, or a variable and another variable:']",[],"['Operator|||Name|||Description|||Example|||Try it&&&+|||Addition|||Adds together two values|||x + y|||Try it »&&&-|||Subtraction|||Subtracts one value from another|||x - y|||Try it »&&&*|||Multiplication|||Multiplies two values|||x * y|||Try it »&&&/|||Division|||Divides one value by another|||x / y|||Try it »&&&%|||Modulus|||Returns the division remainder|||x % y|||Try it »&&&++|||Increment|||Increases the value of a variable by 1|||x++|||Try it »&&&--|||Decrement|||Decreases the value of a variable by 1|||x--|||Try it »', 'Operator|||Example|||Same As|||Try it&&&=|||x = 5|||x = 5|||Try it »&&&+=|||x += 3|||x = x + 3|||Try it »&&&-=|||x -= 3|||x = x - 3|||Try it »&&&*=|||x *= 3|||x = x * 3|||Try it »&&&/=|||x /= 3|||x = x / 3|||Try it »&&&%=|||x %= 3|||x = x % 3|||Try it »&&&&=|||x &= 3|||x = x & 3|||Try it »&&&|=|||x |= 3|||x = x | 3|||Try it »&&&^=|||x ^= 3|||x = x ^ 3|||Try it »&&&>>=|||x >>= 3|||x = x >> 3|||Try it »&&&<<=|||x <<= 3|||x = x << 3|||Try it »', 'Operator|||Name|||Example|||Try it&&&==|||Equal to|||x == y|||Try it »&&&!=|||Not equal|||x != y|||Try it »&&&>|||Greater than|||x > y|||Try it »&&&<|||Less than|||x < y|||Try it »&&&>=|||Greater than or equal to|||x >= y|||Try it »&&&<=|||Less than or equal to|||x <= y|||Try it »', 'Operator|||Name|||Description|||Example|||Try it&&&&&\xa0|||Logical and|||Returns true if both statements are true|||x < 5 &&\xa0 x < 10|||Try it »&&&||\xa0|||Logical or|||Returns true if one of the statements is true|||x < 5 || x < 4|||Try it »&&&!|||Logical not|||Reverse the result, returns false if the result is true|||!(x < 5 && x < 10)|||Try it »']",[]
