,main_headings,sub_headings_h2,sub_headings_h3,links,image_urls,facts,definitions,explanations,codes,table_data,list_items
0,['Go Tutorial'],"['Examples in Each Chapter', 'Go Exercises', 'Test Yourself With Exercises', 'Exercise:']",['Example'],"['https://www.w3schools.com/go//default.asp', 'https://www.w3schools.com/go/go_introduction.php', 'https://www.w3schools.com/go/go_introduction.php', 'https://www.w3schools.com/go/trygo.php?filename=demo_helloworld', 'https://www.w3schools.com/go/exercise.php?filename=exercise_syntax1', 'https://www.w3schools.com/go//default.asp', 'https://www.w3schools.com/go/go_introduction.php']",[],"['Go is a popular programming language.', 'Go is used to create computer programs.', 'Click on the ""Try it Yourself"" button to see how it works.', 'We recommend reading this tutorial, in the sequence listed in the left menu.', 'Insert the missing part of the code below to output ""Hello World"".', 'Start the Exercise']","['Our ""Try it Yourself"" editor makes it easy to learn Go. You can edit Go code and view the result in your browser.']",[],"['\n    package main\n    import (""fmt"")\n\n    func main() {\n    \xa0 fmt.Println(""Hello World!"")\n    }\n']",[],[]
1,['Go Introduction'],"['What is Go?', 'What is Go Used For?', 'Why Use Go?', 'Go Compared to Python and C++', 'Get Started']",[],"['https://www.w3schools.com/go/index.php', 'https://www.w3schools.com/go/go_getting_started.php', 'https://www.w3schools.com/go//python/default.asp', 'https://www.w3schools.com/go//cpp/default.asp', 'https://www.w3schools.com/go/go_getting_started.php', 'https://www.w3schools.com/go/index.php', 'https://www.w3schools.com/go/go_getting_started.php']",[],"['This tutorial will teach you the basics of Go.', 'It is not necessary to have any prior programming experience.']",[],"['Notes:Compilation time refers to translating the code into an executable           programConcurrency is performing multiple things out-of-order, or at the           same time, without affecting the final outcomeStatically typed means that the variable types are known at           compile time']",[],['Go|||Python|||C++&&&Statically typed|||Dynamically typed|||Statically typed&&&Fast run time|||Slow run time|||Fast run time&&&Compiled|||Interpreted|||Compiled&&&Fast compile time|||Interpreted|||Slow compile time&&&Supports concurrency through goroutines and channel|||No built-in concurrency mechanism|||Supports concurrency through threads&&&Has automatic garbage collection|||Has automatic garbage collection|||Does not have automatic garbage collection&&&Does not support classes and objects|||Has classes and objects|||Has classes and objects&&&Does not support inheritance|||Supports inheritance|||Supports inheritance'],"[""Go is a cross-platform, open source programming languageGo can be used |||  to create high-performance applications|||Go is a fast, statically typed, compiled language that feels like a |||  dynamically typed, interpreted language|||Go was developed at Google by Robert Griesemer, Rob Pike, and Ken Thompson in 2007|||Go's syntax is similar to C++|||Web development (server-side)|||Developing network-based programs|||Developing cross-platform enterprise applications|||Cloud-native development|||Go is fun and easy to learn|||Go has fast run time and compilation time|||Go supports concurrency|||Go has memory management|||Go works on different platforms (Windows, Mac, Linux, Raspberry Pi, etc.)|||Compilation time refers to translating the code into an executable |||          program|||Concurrency is performing multiple things out-of-order, or at the |||          same time, without affecting the final outcome|||Statically typed means that the variable types are known at |||          compile time|||""]"
2,['Go Getting Started'],"['Go Get Started', 'Go Install', 'Go Install IDE', 'Go Quickstart', 'Learning Go At W3Schools']",['helloworld.go'],"['https://www.w3schools.com/go/go_introduction.php', 'https://www.w3schools.com/go/go_syntax.php', 'https://golang.org/dl/', 'https://code.visualstudio.com/', 'https://www.w3schools.com/go/trygo.php?filename=demo_helloworld', 'https://www.w3schools.com/go/go_introduction.php', 'https://www.w3schools.com/go/go_syntax.php']",[],"['To start using Go, you need two things:', 'You can find the relevant installation files at https://golang.org/dl/.', 'Which should show the version of your Go installation.', ""Note: Web-based IDE's can work as well, but functionality is limited."", 'We will use VS Code in our tutorial, which we believe is a good place to start.', 'You can find the latest version of VS Code at https://code.visualstudio.com/.', ""Let's create our first Go program."", 'VS Code is now configured to use Go.', 'Open up a terminal window and type:', 'Now, run the code: Open a terminal in VS Code and type:', 'Congratulations! You have now written and executed your first Go program.', 'If you want to save the program as an executable, type and run:']","['There are many text editors and compilers to choose from. In this tutorial, we will use an IDE (see below).', 'An IDE (Integrated Development Environment) is used to edit AND compile the code.']","['Follow the instructions related to your operating system. To check if Go was installed successfully, you can run the following command in a terminal window:', ""Popular IDE's include Visual Studio Code (VS Code), Vim, Eclipse, and Notepad. These are all free, and they can be used to both edit and debug Go code."", 'Do not worry if you do not understand why we type the above command. Just think of it as something that you always do, and that you will learn more about in a later chapter.', 'Create a new file (File > New File). Copy and paste the following code and save the file as helloworld.go (File > Save As):', 'When learning Go at W3Schools.com, you can use our ""Try it Yourself"" tool. It shows both the code and the result. This will make it easier for you to understand every part as we move forward:']","['\ngo version\n', '\n  go mod init example.com/hello', '\n      package main\n      import (""fmt"")\n\n      func main() { \n        \xa0 fmt.Println(""Hello World!"") \n      } \n', '\n  go run .\\helloworld.go\n', '\n  go build .\\helloworld.go\n', '\n      package main\n      \n      import (""fmt"")\n      \n\n      func main() {\n      \n      \xa0fmt.Println(""Hello World!"")\n      \n      }\n    ']",[],"['A text editor, like VS Code, to write Go code|||A compiler, like GCC, to translate the Go code into a language that the computer will understand|||Launch the VS Code editor|||Open the extension manager or alternatively, press Ctrl + Shift + x|||In the search box, type ""go"" and hit enter|||Find the Go extension by the GO team at Google and install the extension|||After the installation is complete, open the command palette by pressing Ctrl + Shift + p|||Run the Go: Install/Update Tools command|||Select all the provided tools and click OK|||']"
3,['Go Syntax'],"['Go Syntax', 'Go Statements', 'Go Compact Code', 'Go Exercises', 'Test Yourself With Exercises', 'Exercise:']","['Example', 'Example explained', 'Example', 'Example']","['https://www.w3schools.com/go/go_getting_started.php', 'https://www.w3schools.com/go/go_comments.php', 'https://www.w3schools.com/go/trygo.php?filename=demo_helloworld', 'https://www.w3schools.com/go/trygo.php?filename=demo_helloworld2', 'https://www.w3schools.com/go/trygo.php?filename=demo_helloworld3', 'https://www.w3schools.com/go/exercise.php?filename=exercise_syntax1', 'https://www.w3schools.com/go/go_getting_started.php', 'https://www.w3schools.com/go/go_comments.php']",[],"['A Go file consists of the following parts:', 'Look at the following code, to understand it better:', 'Line 2: import (""fmt"") lets us import files included in the fmt package.', 'Note: In Go, any executable code belongs to the   main   package.', 'fmt.Println(""Hello World!"") is a statement.', 'The left curly bracket { cannot come at the start of a line.', 'Run the following code and see what happens:', 'Insert the missing part of the code below to output ""Hello World"".', 'Start the Exercise']","['Line 3: A blank line. Go ignores white space. Having white spaces in code makes it more readable.', 'Line 4: func main() {} is a function. Any code inside its curly brackets {} will be executed.', 'Hitting the Enter key adds "";"" to the end of the line implicitly (does not show up in the source code). ']","['Line 1: In Go, every program is part of a package. We define this using the package keyword. In this example, the program belongs to the main package.', 'Line 5: fmt.Println() is a function made available from the fmt package. It is used to output/print text. In our example it will output ""Hello World!"". ', 'In Go, statements are separated by ending a line (hitting the Enter key) or by a semicolon "";"". Hitting the Enter key adds "";"" to the end of the line implicitly (does not show up in the source code). The left curly bracket { cannot come at the start of a line.Run the following code and see what happens:Example      package main      import (""fmt"")      func main() {       \xa0\xa0fmt.Println(""Hello World!"")       } Try it Yourself »Go Compact CodeYou can write more compact code, like shown below (this is not recommended because it makes the code more difficult to read):Example      package main; import (""fmt""); func main() { fmt.Println(""Hello World!"");}Try it Yourself »Go ExercisesTest Yourself With ExercisesExercise:Insert the missing part of the code below to output ""Hello World"".package main   import (""fmt"")func main() {    (""Hello World!"")}Submit Answer »Start the Exercise❮ PreviousNext ❯', 'You can write more compact code, like shown below (this is not recommended because it makes the code more difficult to read):']","['\n      package main\n      import (""fmt"")\n\n      func main() { \n      \xa0\xa0fmt.Println(""Hello World!"") \n      }\n', '\n      package main\n      import (""fmt"")\n\n      func main() { \n      \xa0\xa0fmt.Println(""Hello World!"") \n      } \n', '\n      package main; import (""fmt""); func main() { fmt.Println(""Hello World!"");}\n']",[],['Package declaration|||Import packages|||Functions|||Statements and expressions|||']
4,['Go Comments'],"['Go Comments', 'Go Single-line Comments', 'Go Multi-line Comments', 'Comment to Prevent Code Execution', 'Go Exercises', 'Test Yourself With Exercises', 'Exercise:']","['Example', 'Example', 'Example', 'Example']","['https://www.w3schools.com/go/go_syntax.php', 'https://www.w3schools.com/go/go_variables.php', 'https://www.w3schools.com/go/trygo.php?filename=demo_helloworld4', 'https://www.w3schools.com/go/trygo.php?filename=demo_helloworld5', 'https://www.w3schools.com/go/trygo.php?filename=demo_helloworld6', 'https://www.w3schools.com/go/trygo.php?filename=demo_helloworld7', 'https://www.w3schools.com/go/exercise.php?filename=exercise_comments1', 'https://www.w3schools.com/go/go_syntax.php', 'https://www.w3schools.com/go/go_variables.php']",[],"['A comment is a text that is ignored upon execution.', 'Comments can be used to explain the code, and to make it more readable.', 'Go supports single-line or multi-line comments.', 'Single-line comments start with two forward slashes (//).', 'The following example uses a single-line comment at the end of a code line:', 'Multi-line comments start with /* and ends with */.', 'Any text between /* and */ will be ignored by the compiler:', 'You can also use comments to prevent the code from being executed. ', 'The commented code can be saved for later reference and troubleshooting.', 'Comments in Go are written with a special character, which one?', 'Start the Exercise']","['Comments can also be used to prevent code execution when testing an alternative code.', 'Any text between // and the end of the line is ignored by the compiler (will not be executed).', 'Tip: It is up to you which you want to use. Normally, we use // for short comments, and /* */ for longer comments.']",[],"['\n// This is a comment\n      package main\n      import (""fmt"")\n\n      func main() {\n        \xa0\xa0// This is a comment\n        \xa0\xa0fmt.Println(""Hello World!"")\n      }\n', '\n      package main\n      import (""fmt"")\n\n      func main() {\n        \xa0\xa0fmt.Println(""Hello World!"") // This is a comment\n      }\n', '\n      package main\n      import (""fmt"")\n\n      func main() {\n        \xa0\xa0/* The code below will print Hello World\n        \xa0\xa0to the screen, and it is amazing */\n        \xa0\xa0fmt.Println(""Hello World!"")\n      }\n', '\n      package main\n      import (""fmt"")\n\n      func main() {\n        \xa0\xa0fmt.Println(""Hello World!"")\n        \xa0\xa0// fmt.Println(""This line does not execute"")\n      }\n']",[],[]
5,['Go Variables'],"['Go Variable Types', 'Declaring (Creating) Variables', 'Variable Declaration With Initial Value', 'Variable Declaration Without Initial Value', 'Value Assignment After Declaration', 'Difference Between var and :=', 'Go Exercises', 'Test Yourself With Exercises', 'Exercise:']","['Syntax', 'Syntax', 'Example', 'Example', 'Example', 'Example', 'Example']","['https://www.w3schools.com/go/go_comments.php', 'https://www.w3schools.com/go/go_variable_multi.php', 'https://www.w3schools.com/go/go_data_types.php', 'https://www.w3schools.com/go/trygo.php?filename=demo_variable_declaration1', 'https://www.w3schools.com/go/trygo.php?filename=demo_variable_declaration2', 'https://www.w3schools.com/go/trygo.php?filename=demo_variable_declaration3', 'https://www.w3schools.com/go/trygo.php?filename=demo_variable_declaration4', 'https://www.w3schools.com/go/trygo.php?filename=demo_variable_declaration5', 'https://www.w3schools.com/go/exercise.php?filename=exercise_variables1', 'https://www.w3schools.com/go/go_comments.php', 'https://www.w3schools.com/go/go_variable_multi.php']",[],"['Variables are containers for storing data values.', 'In Go, there are different types of variables, for example:', 'In Go, there are two ways to declare a variable:', 'Use the var keyword, followed by variable name and type:', 'Note: You always have to specify either type or value (or both).', 'Use the := sign, followed by the variable value:', 'Note: The variable types of student2 and x is inferred from their values.', 'In this example there are 3 variables:', 'These variables are declared but they have not been assigned initial values.', 'There are some small differences between the var var :=:', 'Create a variable named myNum and assign the value 50 to it.', 'Start the Exercise']","['More about different variable types, will be explained in the Go Data Types chapter.', 'Note: It is not possible to declare a variable using  :=, without assigning a value to it.', 'If the value of a variable is known from the start, you can declare the variable and assign a value to it on one line:', 'By running the code, we can see that they already have the default values of their respective types:', 'Note: It is not possible to declare a variable using "":="" without assigning a value to it.', 'This example shows declaring variables outside of a function, with the var   keyword:', 'Since := is used outside of a function, running the program results in an error. ']","['Note:  In this case, the type of the variable is inferred from the value (means that the compiler decides the type of the variable, based on the value).', 'In Go, all variables are initialized. So, if you declare a variable without an initial value, its value will be set to the default value of its type: ', 'It is possible to assign a value to a variable after it is declared. This is helpful for cases the value is not initially known.']","['\n        var variablename type = value\n', '\nvariablename  := value\n', '\n    package main\n    import (""fmt"")\n    func main() {\n    \xa0\xa0var student1 string = ""John"" //type is \n    string \n    \xa0\xa0var student2 = ""Jane"" //type is inferred\n    \xa0\xa0x := 2 //type is inferred\n\xa0\xa0fmt.Println(student1)\n    \xa0\xa0fmt.Println(student2)\n    \xa0\xa0fmt.Println(x)\n    }\n  ', '\n    package main\n    import (""fmt"")\n    func main() {\n    \xa0\xa0var a string\n    \xa0\xa0var b int\n    \xa0\xa0var c bool\n\n    \xa0\xa0fmt.Println(a)\n    \xa0\xa0fmt.Println(b)\n    \xa0\xa0fmt.Println(c)\n    }\n  ', '\n    package main\n    import (""fmt"")\n    func main() {\n    \xa0\xa0var student1 string\n    \xa0\xa0student1 = ""John""\n    \xa0\xa0fmt.Println(student1)\n    }\n  ', '\n    package main\n    import (""fmt"")\n\n    var a int\n    var b int = 2\n    var c = 3\n\n    func main() {\n    \xa0\xa0a = 1\n    \xa0\xa0fmt.Println(a)\n    \xa0\xa0fmt.Println(b)\n    \xa0\xa0fmt.Println(c)\n    }\n  ', '\n    package main\n    import (""fmt"")\n\n    a :=  1\n\n    func main() {\n    \xa0\xa0fmt.Println(a)   \n  }\n  ']",['var|||:=&&&Can be used inside  and outside of functions|||Can only be used inside functions&&&Variable declaration and value assignment can be done separately|||Variable declaration and value assignment cannot be done separately |||    (must be done in the same line)'],"['int- stores integers (whole numbers), such as 123 or -123|||float32- stores floating point numbers, with decimals, such as 19.99 or -19.99|||string - stores text, such as ""Hello World"". String values are surrounded by double quotes|||bool- stores values with two states: true or false|||a|||b|||c|||a is """"|||b is 0|||c is false|||']"
6,['Go Variables'],"['Go Variable Types', 'Declaring (Creating) Variables', 'Variable Declaration With Initial Value', 'Variable Declaration Without Initial Value', 'Value Assignment After Declaration', 'Difference Between var and :=', 'Go Exercises', 'Test Yourself With Exercises', 'Exercise:']","['Syntax', 'Syntax', 'Example', 'Example', 'Example', 'Example', 'Example']","['https://www.w3schools.com/go/go_comments.php', 'https://www.w3schools.com/go/go_variable_multi.php', 'https://www.w3schools.com/go/go_data_types.php', 'https://www.w3schools.com/go/trygo.php?filename=demo_variable_declaration1', 'https://www.w3schools.com/go/trygo.php?filename=demo_variable_declaration2', 'https://www.w3schools.com/go/trygo.php?filename=demo_variable_declaration3', 'https://www.w3schools.com/go/trygo.php?filename=demo_variable_declaration4', 'https://www.w3schools.com/go/trygo.php?filename=demo_variable_declaration5', 'https://www.w3schools.com/go/exercise.php?filename=exercise_variables1', 'https://www.w3schools.com/go/go_comments.php', 'https://www.w3schools.com/go/go_variable_multi.php']",[],"['Variables are containers for storing data values.', 'In Go, there are different types of variables, for example:', 'In Go, there are two ways to declare a variable:', 'Use the var keyword, followed by variable name and type:', 'Note: You always have to specify either type or value (or both).', 'Use the := sign, followed by the variable value:', 'Note: The variable types of student2 and x is inferred from their values.', 'In this example there are 3 variables:', 'These variables are declared but they have not been assigned initial values.', 'There are some small differences between the var var :=:', 'Create a variable named myNum and assign the value 50 to it.', 'Start the Exercise']","['More about different variable types, will be explained in the Go Data Types chapter.', 'Note: It is not possible to declare a variable using  :=, without assigning a value to it.', 'If the value of a variable is known from the start, you can declare the variable and assign a value to it on one line:', 'By running the code, we can see that they already have the default values of their respective types:', 'Note: It is not possible to declare a variable using "":="" without assigning a value to it.', 'This example shows declaring variables outside of a function, with the var   keyword:', 'Since := is used outside of a function, running the program results in an error. ']","['Note:  In this case, the type of the variable is inferred from the value (means that the compiler decides the type of the variable, based on the value).', 'In Go, all variables are initialized. So, if you declare a variable without an initial value, its value will be set to the default value of its type: ', 'It is possible to assign a value to a variable after it is declared. This is helpful for cases the value is not initially known.']","['\n        var variablename type = value\n', '\nvariablename  := value\n', '\n    package main\n    import (""fmt"")\n    func main() {\n    \xa0\xa0var student1 string = ""John"" //type is \n    string \n    \xa0\xa0var student2 = ""Jane"" //type is inferred\n    \xa0\xa0x := 2 //type is inferred\n\xa0\xa0fmt.Println(student1)\n    \xa0\xa0fmt.Println(student2)\n    \xa0\xa0fmt.Println(x)\n    }\n  ', '\n    package main\n    import (""fmt"")\n    func main() {\n    \xa0\xa0var a string\n    \xa0\xa0var b int\n    \xa0\xa0var c bool\n\n    \xa0\xa0fmt.Println(a)\n    \xa0\xa0fmt.Println(b)\n    \xa0\xa0fmt.Println(c)\n    }\n  ', '\n    package main\n    import (""fmt"")\n    func main() {\n    \xa0\xa0var student1 string\n    \xa0\xa0student1 = ""John""\n    \xa0\xa0fmt.Println(student1)\n    }\n  ', '\n    package main\n    import (""fmt"")\n\n    var a int\n    var b int = 2\n    var c = 3\n\n    func main() {\n    \xa0\xa0a = 1\n    \xa0\xa0fmt.Println(a)\n    \xa0\xa0fmt.Println(b)\n    \xa0\xa0fmt.Println(c)\n    }\n  ', '\n    package main\n    import (""fmt"")\n\n    a :=  1\n\n    func main() {\n    \xa0\xa0fmt.Println(a)   \n  }\n  ']",['var|||:=&&&Can be used inside  and outside of functions|||Can only be used inside functions&&&Variable declaration and value assignment can be done separately|||Variable declaration and value assignment cannot be done separately |||    (must be done in the same line)'],"['int- stores integers (whole numbers), such as 123 or -123|||float32- stores floating point numbers, with decimals, such as 19.99 or -19.99|||string - stores text, such as ""Hello World"". String values are surrounded by double quotes|||bool- stores values with two states: true or false|||a|||b|||c|||a is """"|||b is 0|||c is false|||']"
7,['Go Multiple Variable Declaration'],"['Go Multiple Variable Declaration', 'Go Variable Declaration in a Block']","['Example', 'Example', 'Example']","['https://www.w3schools.com/go/go_variables.php', 'https://www.w3schools.com/go/go_variable_naming_rules.php', 'https://www.w3schools.com/go/trygo.php?filename=demo_variable_declaration6', 'https://www.w3schools.com/go/trygo.php?filename=demo_variable_declaration7', 'https://www.w3schools.com/go/trygo.php?filename=demo_variable_declaration8', 'https://www.w3schools.com/go/go_variables.php', 'https://www.w3schools.com/go/go_variable_naming_rules.php']",[],"['In Go, it is possible to declare multiple variables in the same line.', 'This example shows how to declare multiple variables in the same line:']","['Note: If you use the type keyword, it is only possible to declare one type of variable per line.', 'If the type keyword is not specified, you can declare different types of variables in the same line:', 'Multiple variable declarations can also be grouped together into a block for greater readability:']",[],"['\n    package main\n    import (""fmt"")\n    func main() {\n    \xa0\xa0var a, b, c, d int = 1, 3, 5, 7\n  \n    \xa0\xa0fmt.Println(a)\n    \xa0\xa0fmt.Println(b)\n    \xa0\xa0fmt.Println(c)\n    \xa0\xa0fmt.Println(d)\n    }\n  ', '\n    package main\n    import (""fmt"")\n    func main() {\n    \xa0\xa0var a, b = 6, ""Hello""\n    \xa0\xa0c, d := 7, ""World!""\n  \n    \xa0\xa0fmt.Println(a)\n    \xa0\xa0fmt.Println(b)\n    \xa0\xa0fmt.Println(c)\n    \xa0\xa0fmt.Println(d)\n    }\n  ', '\n    package main\n    import (""fmt"")\n    func main() {\n    \xa0\xa0 var (\n    \xa0\xa0\xa0\xa0 a int\n    \xa0\xa0\xa0\xa0 b int = 1 \n    \xa0\xa0\xa0\xa0 c string = ""hello""\n    \xa0\xa0 )\n  \n    \xa0\xa0fmt.Println(a)\n    \xa0\xa0fmt.Println(b)\n    \xa0\xa0fmt.Println(c)\n    }\n  ']",[],[]
8,['Go Variable Naming Rules'],"['Go Variable Naming Rules ', 'Multi-Word Variable Names', 'Camel Case', 'Pascal Case', 'Snake Case']",[],"['https://www.w3schools.com/go/go_variable_multi.php', 'https://www.w3schools.com/go/go_constants.php', 'https://www.w3schools.com/go/go_variable_multi.php', 'https://www.w3schools.com/go/go_constants.php']",[],"['Go variable naming rules:', 'Variable names with more than one word can be difficult to read.', 'There are several techniques you can use to make them more readable:', 'Each word, except the first, starts with a capital letter:', 'Each word starts with a capital letter:', 'Each word is separated by an underscore character:']","['A variable can have a short name (like x and y) or a more descriptive name (age, price, carname, etc.).']",[],"['\nmyVariableName = ""John""\n', '\nMyVariableName = ""John""\n', '\nmy_variable_name = ""John"" \n']",[],"['A variable name must start with a letter or an underscore character (_)|||A variable name cannot start with a digit|||A variable name can only contain alpha-numeric characters and underscores (a-z, A-Z, 0-9, and _ )|||Variable names are case-sensitive (age, Age and AGE are three different variables)|||There is no limit on the length of the variable name|||A variable name cannot contain spaces|||The variable name cannot be any Go keywords|||']"
9,['Go Constants'],"['Go Constants', 'Declaring a Constant', 'Constant Rules', 'Constant Types', 'Typed Constants', 'Untyped Constants', 'Constants: Unchangeable and Read-only', 'Multiple Constants Declaration']","['Syntax', 'Example', 'Example', 'Example', 'Example', 'Example']","['https://www.w3schools.com/go/go_variable_naming_rules.php', 'https://www.w3schools.com/go/go_output.php', 'https://www.w3schools.com/go/trygo.php?filename=demo_variable_constants', 'https://www.w3schools.com/go/go_variable_naming_rules.php', 'https://www.w3schools.com/go/trygo.php?filename=demo_variable_constants1', 'https://www.w3schools.com/go/trygo.php?filename=demo_variable_constants2', 'https://www.w3schools.com/go/trygo.php?filename=demo_variable_constants3', 'https://www.w3schools.com/go/trygo.php?filename=demo_variable_constants4', 'https://www.w3schools.com/go/go_variable_naming_rules.php', 'https://www.w3schools.com/go/go_output.php']",[],"['Note: The value of a constant must be assigned when you declare it. ', 'Here is an example of declaring a constant in Go:', 'There are two types of constants:', 'Typed constants are declared with a defined type:', 'Untyped constants are declared without a type:', 'When a constant is declared, it is not possible to change the value later:', 'Multiple constants can be grouped together into a block for readability:']","['If a variable should have a fixed value that cannot be changed, you can use the const keyword.', 'The const keyword declares the variable as ""constant"", which means that it is unchangeable and read-only.']","['Note: In this case, the type of the constant is inferred from the value (means the compiler decides the type of the constant, based on the value).']","['\nconst CONSTNAME type = value\n', '\n    package main\n    import (""fmt"")\n    const PI = 3.14\n    func main() {\n    \xa0\xa0fmt.Println(PI)\n    }\n  ', '\n    package main\n    import (""fmt"")\n    const A int = 1\n    func main() {\n    \xa0\xa0fmt.Println(A)\n    }\n  ', '\n    package main\n    import (""fmt"")\n    const A = 1\n    func main() {\n    \xa0\xa0fmt.Println(A)\n    }\n  ', '\n    package main   \n    import (""fmt"") \n    func main() {  \n    \xa0\xa0const A = 1\n    \xa0\xa0A = 2\n    \xa0\xa0fmt.Println(A)\n    }\n  ', '\npackage main   \nimport (""fmt"") \nconst (  \n\xa0\xa0A int = 1\n\xa0\xa0B = 3.14\n\xa0\xa0C = ""Hi!""\n)\nfunc main() {  \n\xa0\xa0fmt.Println(A) \n\xa0\xa0fmt.Println(B) \n\xa0\xa0fmt.Println(C) \n}\n']",[],['Constant names follow the same naming rules as variables|||Constant names are usually written in uppercase letters (for easy identification and differentiation from variables)|||Constants can be declared both inside and outside of a function|||Typed constants|||Untyped constants|||']
